step mean std sem n
0.0452 88.023 7.393 5.228 2
0.0503 85.230 12.081 6.040 4
0.0553 90.683 8.497 4.248 4
0.0603 94.265 4.869 2.434 4
0.0653 91.849 10.686 5.343 4
0.0704 85.722 18.002 9.001 4
0.0754 88.088 20.014 10.007 4
0.0804 87.414 20.378 10.189 4
0.0854 99.331 32.328 16.164 4
0.0905 101.332 33.663 16.832 4
0.0955 104.873 33.861 16.931 4
0.1005 108.740 33.029 16.515 4
0.1055 111.018 33.925 16.962 4
0.1106 121.759 39.241 19.621 4
0.1156 122.308 43.434 21.717 4
0.1206 135.495 50.454 25.227 4
0.1256 149.968 46.960 23.480 4
0.1307 153.093 25.935 12.967 4
0.1357 167.204 35.862 17.931 4
0.1407 180.213 43.863 21.932 4
0.1457 180.647 45.197 22.599 4
0.1508 186.238 44.631 22.315 4
0.1558 190.306 44.989 22.495 4
0.1608 199.174 40.566 20.283 4
0.1658 197.961 41.535 20.768 4
0.1709 182.057 30.353 15.177 4
0.1759 183.505 15.713 7.857 4
0.1809 190.274 21.825 10.913 4
0.1859 196.028 18.719 9.359 4
0.1910 214.528 48.154 24.077 4
0.1960 220.633 57.831 28.915 4
0.2010 216.503 69.337 34.668 4
0.2060 214.181 73.782 36.891 4
0.2111 217.898 62.442 31.221 4
0.2161 214.841 74.754 37.377 4
0.2211 219.435 68.844 34.422 4
0.2261 218.013 68.100 34.050 4
0.2312 220.904 69.471 34.736 4
0.2362 217.609 52.502 26.251 4
0.2412 218.354 43.864 21.932 4
0.2462 210.120 15.574 7.787 4
0.2513 209.413 19.481 9.740 4
0.2563 206.402 22.439 11.219 4
0.2613 214.361 17.059 8.530 4
0.2663 216.052 11.956 5.978 4
0.2714 219.968 10.361 5.180 4
0.2764 219.078 19.192 9.596 4
0.2814 216.758 17.836 8.918 4
0.2864 208.030 8.837 4.419 4
0.2915 220.390 22.607 11.304 4
0.2965 215.974 40.768 20.384 4
0.3015 211.365 40.859 20.429 4
0.3065 205.816 35.326 17.663 4
0.3116 214.536 46.494 23.247 4
0.3166 219.022 45.321 22.660 4
0.3216 236.621 43.229 21.615 4
0.3266 239.328 48.873 24.436 4
0.3317 238.519 56.352 28.176 4
0.3367 243.022 65.217 32.608 4
0.3417 236.899 50.575 25.288 4
0.3467 251.064 46.231 23.115 4
0.3518 255.321 45.600 22.800 4
0.3568 265.425 55.170 27.585 4
0.3618 254.594 62.169 31.085 4
0.3668 246.437 45.863 22.932 4
0.3719 245.075 48.344 24.172 4
0.3769 240.102 46.852 23.426 4
0.3819 234.342 34.890 17.445 4
0.3869 226.202 29.638 14.819 4
0.3920 250.030 52.035 26.018 4
0.3970 238.191 41.926 20.963 4
0.4020 237.368 46.455 23.227 4
0.4070 241.815 53.213 26.607 4
0.4121 233.954 35.145 17.572 4
0.4171 236.062 42.430 21.215 4
0.4221 233.972 32.935 16.468 4
0.4271 231.005 36.624 18.312 4
0.4322 243.427 44.580 22.290 4
0.4372 234.139 41.186 20.593 4
0.4422 242.778 50.558 25.279 4
0.4472 231.634 36.168 18.084 4
0.4523 228.121 23.765 11.883 4
0.4573 229.466 22.596 11.298 4
0.4623 236.733 21.171 10.585 4
0.4673 238.821 22.671 11.335 4
0.4724 244.686 38.989 19.494 4
0.4774 248.617 45.184 22.592 4
0.4824 248.921 39.323 19.661 4
0.4874 231.392 21.334 10.667 4
0.4925 230.267 23.139 11.570 4
0.4975 227.990 18.568 9.284 4
0.5025 218.758 24.867 12.433 4
0.5075 219.977 29.572 14.786 4
0.5126 227.014 49.857 24.929 4
0.5176 231.731 44.214 22.107 4
0.5226 230.596 36.120 18.060 4
0.5276 224.473 38.776 19.388 4
0.5327 252.175 50.899 25.449 4
0.5377 258.095 62.968 31.484 4
0.5427 263.384 62.614 31.307 4
0.5477 270.759 55.481 27.741 4
0.5528 278.928 54.312 27.156 4
0.5578 282.023 60.730 30.365 4
0.5628 289.915 48.094 24.047 4
0.5678 282.382 44.225 22.112 4
0.5729 286.713 40.850 20.425 4
0.5779 285.640 53.464 26.732 4
0.5829 281.145 51.146 25.573 4
0.5879 272.451 53.111 26.556 4
0.5930 256.630 23.907 11.953 4
0.5980 253.158 8.582 4.291 4
0.6030 248.521 23.324 11.662 4
0.6080 253.459 34.775 17.388 4
0.6131 253.062 35.085 17.542 4
