step mean std sem n
0.0402 76.189 0.000 0.000 1
0.0452 85.496 10.146 5.858 3
0.0503 77.439 11.225 5.613 4
0.0553 82.333 6.479 3.239 4
0.0603 84.788 2.661 1.330 4
0.0653 85.848 7.508 3.754 4
0.0704 87.162 17.255 8.628 4
0.0754 89.815 16.813 8.406 4
0.0804 89.510 18.929 9.464 4
0.0854 98.575 23.298 11.649 4
0.0905 104.953 24.662 12.331 4
0.0955 109.104 23.760 11.880 4
0.1005 114.842 20.036 10.018 4
0.1055 116.439 17.436 8.718 4
0.1106 125.448 17.451 8.726 4
0.1156 129.155 17.171 8.586 4
0.1206 134.061 13.530 6.765 4
0.1256 137.117 19.024 9.512 4
0.1307 135.296 18.748 9.374 4
0.1357 143.049 17.668 8.834 4
0.1407 143.841 17.991 8.995 4
0.1457 138.956 24.599 12.299 4
0.1508 136.700 26.780 13.390 4
0.1558 140.550 23.062 11.531 4
0.1608 140.539 23.930 11.965 4
0.1658 146.858 18.839 9.420 4
0.1709 155.082 20.821 10.411 4
0.1759 158.103 21.705 10.853 4
0.1809 163.455 29.436 14.718 4
0.1859 164.418 34.356 17.178 4
0.1910 168.401 32.855 16.428 4
0.1960 165.046 39.340 19.670 4
0.2010 167.598 40.897 20.449 4
0.2060 166.485 39.001 19.500 4
0.2111 167.236 39.316 19.658 4
0.2161 170.055 37.148 18.574 4
0.2211 175.275 24.820 12.410 4
0.2261 181.579 22.481 11.241 4
0.2312 176.320 15.092 7.546 4
0.2362 181.838 13.763 6.882 4
0.2412 185.541 24.301 12.150 4
0.2462 190.811 33.206 16.603 4
0.2513 195.746 31.525 15.763 4
0.2563 205.285 55.723 27.861 4
0.2613 203.233 58.368 29.184 4
0.2663 202.613 67.186 33.593 4
0.2714 192.252 51.743 25.871 4
0.2764 197.916 58.993 29.497 4
0.2814 197.831 54.450 27.225 4
0.2864 194.268 44.175 22.087 4
0.2915 187.838 29.699 14.850 4
0.2965 179.516 19.806 9.903 4
0.3015 188.163 18.929 9.465 4
0.3065 182.487 9.824 4.912 4
0.3116 189.638 19.476 9.738 4
0.3166 182.667 14.935 7.468 4
0.3216 186.163 16.265 8.132 4
0.3266 192.180 20.224 10.112 4
0.3317 199.575 39.361 19.681 4
0.3367 196.789 41.394 20.697 4
0.3417 194.212 43.746 21.873 4
0.3467 199.150 58.228 29.114 4
0.3518 207.110 65.069 32.534 4
0.3568 213.601 63.850 31.925 4
0.3618 206.737 63.597 31.798 4
0.3668 211.791 71.163 35.581 4
0.3719 223.328 80.377 40.189 4
0.3769 220.073 77.442 38.721 4
0.3819 210.327 63.712 31.856 4
0.3869 216.421 69.443 34.721 4
0.3920 217.911 68.309 34.155 4
0.3970 214.679 56.226 28.113 4
0.4020 215.897 46.493 23.247 4
0.4070 218.027 57.492 28.746 4
0.4121 216.643 54.928 27.464 4
0.4171 212.818 42.402 21.201 4
0.4221 217.702 41.221 20.610 4
0.4271 232.215 51.731 25.865 4
0.4322 234.252 45.191 22.595 4
0.4372 225.601 51.084 25.542 4
0.4422 225.312 54.248 27.124 4
0.4472 228.485 48.923 24.462 4
0.4523 233.729 44.616 22.308 4
0.4573 235.850 55.739 27.870 4
0.4623 230.683 60.239 30.120 4
0.4673 216.305 58.929 29.465 4
0.4724 216.398 62.294 31.147 4
0.4774 216.862 46.197 23.098 4
0.4824 225.153 61.610 30.805 4
0.4874 218.130 56.162 28.081 4
0.4925 220.019 64.687 32.344 4
0.4975 210.553 58.279 29.139 4
0.5025 213.144 56.993 28.496 4
0.5075 211.342 54.213 27.107 4
0.5126 209.038 52.757 26.378 4
0.5176 206.841 59.584 29.792 4
0.5226 210.543 31.587 15.793 4
0.5276 215.734 26.357 13.178 4
0.5327 219.757 25.358 12.679 4
0.5377 227.090 36.635 18.318 4
0.5427 232.998 37.848 18.924 4
0.5477 224.037 32.951 16.475 4
0.5528 232.220 39.084 19.542 4
0.5578 235.143 44.634 22.317 4
0.5628 251.797 23.023 11.511 4
0.5678 255.125 9.184 4.592 4
0.5729 245.626 17.097 8.548 4
0.5779 249.319 39.442 19.721 4
0.5829 247.578 28.721 14.360 4
0.5879 241.430 31.564 15.782 4
0.5930 236.577 27.568 13.784 4
0.5980 237.040 44.308 22.154 4
0.6030 224.554 46.085 23.042 4
