step mean std sem n
0.0302 2.122 1.216 0.702 3
0.0352 3.578 2.055 1.027 4
0.0402 4.467 2.456 1.228 4
0.0452 6.348 2.322 1.161 4
0.0503 7.963 2.640 1.320 4
0.0553 9.469 2.567 1.284 4
0.0603 11.344 3.797 1.899 4
0.0653 12.283 3.080 1.540 4
0.0704 14.211 5.383 2.691 4
0.0754 14.157 5.778 2.889 4
0.0804 14.634 6.949 3.475 4
0.0854 16.429 8.248 4.124 4
0.0905 17.584 7.946 3.973 4
0.0955 17.300 7.853 3.926 4
0.1005 18.540 7.639 3.819 4
0.1055 18.607 7.203 3.602 4
0.1106 19.447 4.547 2.273 4
0.1156 20.793 2.320 1.160 4
0.1206 19.116 1.537 0.769 4
0.1256 17.918 1.897 0.948 4
0.1307 18.148 4.796 2.398 4
0.1357 18.362 3.692 1.846 4
0.1407 17.235 3.656 1.828 4
0.1457 17.016 3.920 1.960 4
0.1508 16.221 3.629 1.814 4
0.1558 16.784 3.137 1.568 4
0.1608 15.249 1.168 0.584 4
0.1658 15.977 1.012 0.506 4
0.1709 17.144 1.916 0.958 4
0.1759 18.997 3.043 1.521 4
0.1809 18.821 3.255 1.627 4
0.1859 19.290 2.396 1.198 4
0.1910 20.691 1.068 0.534 4
0.1960 21.140 1.582 0.791 4
0.2010 22.168 2.043 1.022 4
0.2060 22.888 1.753 0.877 4
0.2111 23.514 3.984 1.992 4
0.2161 23.174 5.027 2.513 4
0.2211 22.360 3.807 1.904 4
0.2261 22.591 3.273 1.637 4
0.2312 21.448 2.452 1.226 4
0.2362 20.972 2.159 1.079 4
0.2412 21.476 2.510 1.255 4
0.2462 21.341 3.979 1.989 4
0.2513 23.971 3.592 1.796 4
0.2563 21.592 2.362 1.181 4
0.2613 23.092 3.615 1.808 4
0.2663 24.040 5.392 2.696 4
0.2714 26.350 5.558 2.779 4
0.2764 27.018 4.965 2.483 4
0.2814 26.789 5.137 2.569 4
0.2864 26.981 3.844 1.922 4
0.2915 26.201 6.278 3.139 4
0.2965 25.781 4.280 2.140 4
0.3015 25.744 5.226 2.613 4
0.3065 26.114 4.461 2.230 4
0.3116 24.562 6.260 3.130 4
0.3166 24.754 8.070 4.035 4
0.3216 24.914 6.253 3.126 4
0.3266 26.746 3.817 1.909 4
0.3317 26.385 1.427 0.714 4
0.3367 26.011 2.674 1.337 4
0.3417 26.378 2.909 1.454 4
0.3467 27.364 2.867 1.434 4
0.3518 27.902 1.872 0.936 4
0.3568 27.243 3.103 1.551 4
0.3618 25.328 6.468 3.234 4
0.3668 23.786 5.603 2.802 4
0.3719 22.216 3.887 1.944 4
0.3769 22.928 4.849 2.424 4
0.3819 22.861 4.186 2.093 4
0.3869 23.085 5.532 2.766 4
0.3920 24.027 6.042 3.021 4
0.3970 24.459 4.466 2.233 4
0.4020 25.124 3.989 1.994 4
0.4070 26.577 4.338 2.169 4
0.4121 28.248 5.027 2.513 4
0.4171 28.824 5.180 2.590 4
0.4221 28.128 6.551 3.275 4
0.4271 26.706 6.823 3.411 4
0.4322 25.711 6.766 3.383 4
0.4372 24.556 8.320 4.160 4
0.4422 25.599 7.733 3.867 4
0.4472 25.451 7.061 3.530 4
0.4523 24.397 5.824 2.912 4
0.4573 24.288 4.690 2.345 4
0.4623 25.259 3.692 1.846 4
0.4673 26.826 4.397 2.199 4
0.4724 27.005 3.775 1.888 4
0.4774 27.797 2.077 1.039 4
0.4824 29.004 3.118 1.559 4
0.4874 30.228 4.788 2.394 4
0.4925 30.653 4.831 2.416 4
0.4975 29.883 4.818 2.409 4
0.5025 28.780 3.651 1.825 4
0.5075 28.711 5.147 2.573 4
0.5126 27.988 4.319 2.159 4
0.5176 28.932 4.544 2.272 4
0.5226 30.771 4.271 2.135 4
0.5276 30.416 4.660 2.330 4
0.5327 29.418 4.184 2.092 4
0.5377 29.286 4.328 2.164 4
0.5427 28.955 4.011 2.005 4
0.5477 28.255 6.845 3.422 4
0.5528 28.472 6.479 3.239 4
0.5578 30.424 6.479 3.239 4
0.5628 29.493 5.464 2.732 4
0.5678 29.901 5.505 2.752 4
0.5729 29.448 5.249 2.624 4
0.5779 28.998 6.701 3.351 4
0.5829 30.095 7.909 3.955 4
0.5879 30.631 8.931 4.466 4
0.5930 30.895 9.544 4.772 4
0.5980 32.134 9.368 4.684 4
0.6030 31.362 8.526 4.263 4
0.6080 34.055 8.448 4.224 4
0.6131 33.486 8.512 4.256 4
0.6181 32.708 9.273 4.637 4
0.6231 33.780 8.195 4.098 4
0.6281 34.582 8.886 4.443 4
0.6332 35.747 7.867 3.933 4
0.6382 36.737 7.536 3.768 4
0.6432 36.424 8.120 4.060 4
0.6482 38.664 9.453 4.727 4
0.6533 37.664 8.360 4.180 4
0.6583 38.832 6.770 3.385 4
0.6633 35.701 10.640 5.320 4
0.6683 36.520 9.970 4.985 4
0.6734 37.893 11.704 5.852 4
0.6784 38.116 10.898 5.449 4
0.6834 37.092 10.497 5.249 4
0.6884 38.335 10.000 5.000 4
0.6935 38.492 8.772 4.386 4
0.6985 35.830 8.663 4.332 4
0.7035 35.478 8.255 4.127 4
0.7085 35.664 8.159 4.080 4
0.7136 35.300 7.935 3.968 4
0.7186 34.701 9.085 4.542 4
0.7236 35.409 7.945 3.972 4
0.7286 35.420 7.730 3.865 4
0.7337 36.389 4.496 2.248 4
0.7387 34.917 2.643 1.322 4
0.7437 32.831 4.383 2.191 4
0.7487 32.399 6.766 3.383 4
0.7538 30.137 4.489 2.245 4
0.7588 31.557 4.889 2.444 4
0.7638 32.959 5.255 2.627 4
0.7688 34.454 3.959 1.980 4
0.7739 33.794 3.830 1.915 4
0.7789 32.947 3.320 1.660 4
0.7839 30.252 3.743 1.871 4
0.7889 29.493 2.178 1.089 4
0.7940 32.835 2.513 1.257 4
0.7990 32.462 3.867 1.934 4
0.8040 33.527 3.774 1.887 4
0.8090 33.546 4.683 2.341 4
0.8141 37.454 4.605 2.302 4
0.8191 34.454 1.717 0.859 4
0.8241 34.515 1.789 0.895 4
0.8291 33.796 1.715 0.857 4
0.8342 33.087 2.631 1.316 4
0.8392 33.631 4.549 2.275 4
