step mean std sem n
0.0302 0.909 0.082 0.058 2
0.0352 4.213 2.786 1.393 4
0.0402 5.604 3.687 1.844 4
0.0452 6.954 4.939 2.470 4
0.0503 8.081 5.801 2.901 4
0.0553 8.822 6.242 3.121 4
0.0603 9.140 5.632 2.816 4
0.0653 8.918 6.027 3.013 4
0.0704 9.661 5.514 2.757 4
0.0754 10.046 4.805 2.402 4
0.0804 9.768 3.888 1.944 4
0.0854 10.674 3.805 1.903 4
0.0905 11.023 3.349 1.674 4
0.0955 12.109 3.449 1.724 4
0.1005 12.482 2.910 1.455 4
0.1055 13.188 2.008 1.004 4
0.1106 14.583 1.090 0.545 4
0.1156 16.810 0.443 0.221 4
0.1206 17.414 1.242 0.621 4
0.1256 18.857 2.969 1.484 4
0.1307 21.302 4.139 2.070 4
0.1357 22.803 4.973 2.486 4
0.1407 23.130 5.240 2.620 4
0.1457 23.909 6.062 3.031 4
0.1508 24.829 6.396 3.198 4
0.1558 25.363 7.214 3.607 4
0.1608 25.322 7.783 3.892 4
0.1658 25.282 9.087 4.543 4
0.1709 25.247 8.393 4.196 4
0.1759 24.347 6.968 3.484 4
0.1809 25.250 6.927 3.463 4
0.1859 24.935 6.460 3.230 4
0.1910 25.473 7.533 3.767 4
0.1960 26.550 8.375 4.188 4
0.2010 25.243 7.210 3.605 4
0.2060 25.176 5.789 2.895 4
0.2111 24.037 5.449 2.724 4
0.2161 23.373 5.525 2.763 4
0.2211 21.970 5.125 2.562 4
0.2261 21.937 5.289 2.645 4
0.2312 19.595 3.852 1.926 4
0.2362 19.450 3.213 1.606 4
0.2412 19.266 0.760 0.380 4
0.2462 20.880 1.949 0.974 4
0.2513 23.453 4.138 2.069 4
0.2563 23.520 4.240 2.120 4
0.2613 22.131 3.416 1.708 4
0.2663 23.950 4.709 2.355 4
0.2714 25.750 3.793 1.896 4
0.2764 26.086 3.979 1.990 4
0.2814 26.481 3.607 1.804 4
0.2864 26.396 5.824 2.912 4
0.2915 25.629 7.091 3.546 4
0.2965 28.558 4.953 2.477 4
0.3015 27.853 2.375 1.187 4
0.3065 26.366 4.384 2.192 4
0.3116 26.044 5.357 2.679 4
0.3166 26.790 3.716 1.858 4
0.3216 27.373 4.691 2.345 4
0.3266 28.252 3.558 1.779 4
0.3317 29.816 3.322 1.661 4
0.3367 30.561 3.583 1.791 4
0.3417 30.282 8.276 4.138 4
0.3467 29.629 4.605 2.303 4
0.3518 32.032 4.377 2.189 4
0.3568 32.494 3.988 1.994 4
0.3618 33.323 5.069 2.535 4
0.3668 33.393 5.668 2.834 4
0.3719 33.812 6.568 3.284 4
0.3769 33.157 7.637 3.818 4
0.3819 33.143 8.884 4.442 4
0.3869 33.642 9.931 4.966 4
0.3920 34.113 7.735 3.868 4
0.3970 35.930 6.786 3.393 4
0.4020 36.223 7.703 3.852 4
0.4070 35.354 7.347 3.674 4
0.4121 35.342 6.058 3.029 4
0.4171 34.245 6.548 3.274 4
0.4221 33.499 6.243 3.122 4
0.4271 32.851 6.369 3.184 4
0.4322 30.260 6.961 3.480 4
0.4372 28.451 9.650 4.825 4
0.4422 27.925 10.926 5.463 4
0.4472 26.006 8.851 4.426 4
0.4523 27.446 9.153 4.577 4
0.4573 27.338 8.101 4.050 4
0.4623 29.699 9.923 4.962 4
0.4673 31.023 9.986 4.993 4
0.4724 31.946 9.978 4.989 4
0.4774 33.951 8.803 4.402 4
0.4824 35.040 8.152 4.076 4
0.4874 34.273 6.589 3.294 4
0.4925 35.114 5.253 2.626 4
0.4975 35.975 4.573 2.286 4
0.5025 33.881 5.913 2.956 4
0.5075 34.089 7.555 3.777 4
0.5126 34.278 6.615 3.307 4
0.5176 33.871 3.832 1.916 4
0.5226 33.667 4.650 2.325 4
0.5276 32.744 1.881 0.941 4
0.5327 32.006 1.530 0.765 4
0.5377 32.389 3.320 1.660 4
0.5427 31.282 2.356 1.178 4
0.5477 32.148 3.010 1.505 4
0.5528 32.031 1.962 0.981 4
0.5578 31.942 2.445 1.223 4
0.5628 31.063 0.480 0.240 4
0.5678 29.359 1.928 0.964 4
0.5729 30.820 3.140 1.570 4
0.5779 29.896 3.331 1.666 4
0.5829 30.043 1.419 0.709 4
0.5879 30.300 2.668 1.334 4
0.5930 31.089 1.429 0.715 4
0.5980 31.785 1.863 0.931 4
0.6030 32.155 1.176 0.588 4
0.6080 32.805 2.247 1.124 4
0.6131 32.801 1.911 0.956 4
0.6181 32.376 3.620 1.810 4
0.6231 32.852 4.545 2.273 4
0.6281 31.878 4.888 2.444 4
0.6332 33.671 5.774 2.887 4
0.6382 34.975 9.114 4.557 4
0.6432 34.807 9.343 4.671 4
0.6482 34.060 8.319 4.159 4
0.6533 32.954 10.537 5.268 4
0.6583 31.943 10.730 5.365 4
0.6633 29.956 11.845 5.922 4
0.6683 31.259 12.699 6.350 4
0.6734 32.561 11.286 5.643 4
0.6784 32.546 11.032 5.516 4
0.6834 34.599 12.289 6.144 4
0.6884 34.721 11.224 5.612 4
0.6935 32.413 6.204 3.102 4
0.6985 32.878 6.117 3.059 4
0.7035 33.471 4.894 2.447 4
0.7085 34.094 3.726 1.863 4
0.7136 36.491 2.795 1.397 4
0.7186 37.725 6.796 3.398 4
0.7236 38.258 6.957 3.478 4
0.7286 37.488 7.011 3.505 4
0.7337 36.629 7.871 3.935 4
0.7387 37.035 6.415 3.208 4
0.7437 37.511 5.779 2.889 4
0.7487 37.785 6.951 3.476 4
0.7538 38.987 6.460 3.230 4
