step mean std sem n
0.0251 64.627 0.000 0.000 1
0.0302 63.691 4.914 2.837 3
0.0352 67.860 8.000 4.000 4
0.0402 70.451 10.434 5.217 4
0.0452 72.892 14.249 7.125 4
0.0503 74.911 14.270 7.135 4
0.0553 77.263 17.203 8.602 4
0.0603 81.266 15.981 7.990 4
0.0653 83.773 18.140 9.070 4
0.0704 86.809 20.509 10.255 4
0.0754 89.647 23.177 11.588 4
0.0804 93.048 23.728 11.864 4
0.0854 96.822 21.090 10.545 4
0.0905 100.394 17.504 8.752 4
0.0955 105.466 17.254 8.627 4
0.1005 108.897 18.055 9.028 4
0.1055 110.241 17.491 8.745 4
0.1106 111.804 17.814 8.907 4
0.1156 113.481 16.913 8.456 4
0.1206 116.813 21.752 10.876 4
0.1256 120.980 20.633 10.316 4
0.1307 121.512 18.914 9.457 4
0.1357 116.407 15.666 7.833 4
0.1407 120.681 15.878 7.939 4
0.1457 125.238 18.374 9.187 4
0.1508 128.110 23.200 11.600 4
0.1558 123.056 19.070 9.535 4
0.1608 125.915 19.427 9.714 4
0.1658 130.065 19.571 9.785 4
0.1709 127.542 23.605 11.803 4
0.1759 129.575 21.822 10.911 4
0.1809 133.076 24.441 12.220 4
0.1859 134.336 26.582 13.291 4
0.1910 133.435 24.886 12.443 4
0.1960 129.335 28.877 14.439 4
0.2010 130.654 29.948 14.974 4
0.2060 134.014 30.054 15.027 4
0.2111 140.246 30.150 15.075 4
0.2161 141.486 28.318 14.159 4
0.2211 144.567 28.302 14.151 4
0.2261 145.063 25.223 12.612 4
0.2312 152.373 23.078 11.539 4
0.2362 155.373 19.600 9.800 4
0.2412 150.553 25.013 12.506 4
0.2462 150.304 24.518 12.259 4
0.2513 154.996 25.192 12.596 4
0.2563 150.422 23.924 11.962 4
0.2613 148.770 21.293 10.647 4
0.2663 143.915 22.490 11.245 4
0.2714 138.589 16.636 8.318 4
0.2764 138.131 17.984 8.992 4
0.2814 135.322 24.075 12.037 4
0.2864 132.460 24.579 12.290 4
0.2915 134.109 27.533 13.766 4
0.2965 132.445 23.444 11.722 4
0.3015 137.690 24.160 12.080 4
0.3065 138.196 31.856 15.928 4
0.3116 136.472 25.343 12.671 4
0.3166 136.674 19.533 9.766 4
0.3216 141.675 19.996 9.998 4
0.3266 143.389 18.862 9.431 4
0.3317 146.615 18.675 9.337 4
0.3367 140.648 15.190 7.595 4
0.3417 138.047 16.415 8.208 4
0.3467 144.555 16.053 8.027 4
0.3518 148.644 19.233 9.617 4
0.3568 151.306 23.792 11.896 4
0.3618 151.094 24.430 12.215 4
0.3668 146.215 16.540 8.270 4
0.3719 144.446 26.493 13.246 4
0.3769 147.991 29.394 14.697 4
0.3819 152.977 28.391 14.196 4
0.3869 153.835 25.036 12.518 4
0.3920 161.173 32.189 16.094 4
0.3970 164.149 33.834 16.917 4
0.4020 165.762 31.894 15.947 4
0.4070 160.100 27.084 13.542 4
0.4121 163.109 24.394 12.197 4
0.4171 169.385 23.076 11.538 4
0.4221 170.878 25.940 12.970 4
0.4271 162.614 18.234 9.117 4
0.4322 164.558 18.050 9.025 4
0.4372 166.165 20.616 10.308 4
0.4422 166.729 18.378 9.189 4
0.4472 163.262 12.028 6.014 4
0.4523 158.180 11.437 5.718 4
0.4573 163.921 9.617 4.809 4
0.4623 164.303 11.893 5.947 4
0.4673 153.945 14.292 7.146 4
0.4724 155.012 17.461 8.731 4
0.4774 152.611 16.674 8.337 4
0.4824 154.762 12.710 6.355 4
0.4874 149.985 9.012 4.506 4
0.4925 146.624 12.519 6.259 4
0.4975 146.881 6.049 3.024 4
0.5025 138.245 15.027 7.514 4
0.5075 132.461 14.235 7.118 4
0.5126 131.395 17.145 8.572 4
0.5176 132.941 16.385 8.193 4
0.5226 130.636 23.161 11.580 4
0.5276 128.197 27.880 13.940 4
0.5327 125.544 26.421 13.211 4
0.5377 128.408 21.068 10.534 4
0.5427 125.942 16.269 8.135 4
0.5477 130.208 17.167 8.584 4
0.5528 128.022 17.288 8.644 4
0.5578 130.893 14.819 7.410 4
0.5628 130.533 16.097 8.049 4
0.5678 135.692 15.571 7.786 4
0.5729 132.537 16.144 8.072 4
0.5779 137.073 15.714 7.857 4
0.5829 144.834 15.459 7.729 4
0.5879 147.132 16.593 8.297 4
0.5930 144.145 10.277 5.138 4
0.5980 145.168 17.282 8.641 4
0.6030 146.607 14.998 7.499 4
0.6080 146.780 19.013 9.507 4
0.6131 150.078 17.832 8.916 4
0.6181 151.301 13.359 6.680 4
0.6231 154.776 16.460 8.230 4
0.6281 151.044 25.139 12.570 4
0.6332 152.506 19.522 9.761 4
0.6382 154.951 23.844 11.922 4
0.6432 159.592 26.466 13.233 4
0.6482 158.847 26.543 13.272 4
0.6533 156.893 25.306 12.653 4
0.6583 161.552 21.105 10.553 4
0.6633 153.173 31.779 15.890 4
0.6683 149.727 34.473 17.237 4
0.6734 140.337 28.735 14.367 4
0.6784 134.379 25.821 12.910 4
0.6834 132.038 22.160 11.080 4
0.6884 135.981 23.257 11.629 4
0.6935 134.724 26.113 13.056 4
0.6985 137.633 26.279 13.140 4
0.7035 133.189 24.516 12.258 4
0.7085 133.119 19.851 9.925 4
0.7136 139.082 17.373 8.687 4
0.7186 141.712 12.819 6.409 4
0.7236 138.029 11.881 5.940 4
0.7286 138.689 13.767 6.884 4
0.7337 141.153 7.703 3.852 4
0.7387 144.143 5.505 2.752 4
0.7437 148.165 9.880 4.940 4
0.7487 151.788 8.836 4.418 4
0.7538 152.019 7.663 3.832 4
0.7588 146.982 14.258 7.129 4
0.7638 149.678 16.142 8.071 4
0.7688 147.953 12.743 6.371 4
0.7739 145.242 9.901 4.951 4
0.7789 137.351 12.646 6.323 4
0.7839 135.768 12.629 6.314 4
0.7889 134.248 17.658 8.829 4
0.7940 137.089 19.402 9.701 4
0.7990 136.406 19.016 9.508 4
0.8040 136.173 13.540 6.770 4
