step mean std sem n
0.0302 67.692 4.276 2.469 3
0.0352 78.412 2.277 1.139 4
0.0402 83.959 4.588 2.294 4
0.0452 90.278 6.758 3.379 4
0.0503 92.789 5.794 2.897 4
0.0553 95.700 4.858 2.429 4
0.0603 97.032 3.566 1.783 4
0.0653 100.960 4.648 2.324 4
0.0704 107.913 3.949 1.974 4
0.0754 112.286 3.785 1.892 4
0.0804 115.284 5.364 2.682 4
0.0854 119.006 7.895 3.948 4
0.0905 122.168 12.580 6.290 4
0.0955 123.771 11.964 5.982 4
0.1005 121.352 13.528 6.764 4
0.1055 116.319 23.829 11.914 4
0.1106 120.080 24.637 12.318 4
0.1156 119.088 21.695 10.848 4
0.1206 124.852 22.233 11.116 4
0.1256 130.161 20.991 10.495 4
0.1307 127.995 19.781 9.890 4
0.1357 132.086 15.157 7.578 4
0.1407 127.270 10.889 5.445 4
0.1457 127.811 17.775 8.888 4
0.1508 130.747 15.892 7.946 4
0.1558 133.641 9.771 4.885 4
0.1608 134.141 14.173 7.086 4
0.1658 138.166 11.571 5.786 4
0.1709 137.221 12.769 6.384 4
0.1759 133.389 7.174 3.587 4
0.1809 136.188 6.825 3.412 4
0.1859 132.680 10.865 5.432 4
0.1910 137.344 13.632 6.816 4
0.1960 137.246 11.077 5.538 4
0.2010 134.652 14.159 7.080 4
0.2060 135.729 15.957 7.978 4
0.2111 134.765 8.895 4.447 4
0.2161 140.197 13.465 6.732 4
0.2211 139.459 7.384 3.692 4
0.2261 133.786 7.867 3.934 4
0.2312 136.188 8.904 4.452 4
0.2362 144.756 6.759 3.379 4
0.2412 149.837 9.213 4.607 4
0.2462 153.605 13.125 6.563 4
0.2513 153.785 14.933 7.467 4
0.2563 158.129 16.311 8.155 4
0.2613 152.688 12.584 6.292 4
0.2663 160.356 10.605 5.302 4
0.2714 158.751 15.664 7.832 4
0.2764 160.708 7.393 3.697 4
0.2814 158.805 18.115 9.058 4
0.2864 156.015 12.982 6.491 4
0.2915 146.389 13.991 6.996 4
0.2965 143.729 14.654 7.327 4
0.3015 146.824 14.046 7.023 4
0.3065 145.440 9.580 4.790 4
0.3116 137.864 7.586 3.793 4
0.3166 137.993 11.299 5.650 4
0.3216 137.391 10.031 5.016 4
0.3266 138.535 9.743 4.872 4
0.3317 135.190 11.582 5.791 4
0.3367 138.416 18.076 9.038 4
0.3417 138.769 16.233 8.116 4
0.3467 142.372 20.523 10.261 4
0.3518 142.341 25.081 12.540 4
0.3568 146.868 27.898 13.949 4
0.3618 147.226 30.161 15.081 4
0.3668 147.673 25.072 12.536 4
0.3719 143.011 24.474 12.237 4
0.3769 143.752 23.850 11.925 4
0.3819 140.493 21.352 10.676 4
0.3869 140.202 13.113 6.557 4
0.3920 145.097 9.708 4.854 4
0.3970 153.386 11.280 5.640 4
0.4020 155.730 21.224 10.612 4
0.4070 148.847 13.476 6.738 4
0.4121 150.814 8.643 4.321 4
0.4171 146.466 9.937 4.969 4
0.4221 140.563 7.259 3.629 4
0.4271 146.608 10.006 5.003 4
0.4322 148.739 5.210 2.605 4
0.4372 152.557 9.369 4.684 4
0.4422 158.740 11.613 5.807 4
0.4472 159.844 19.772 9.886 4
0.4523 152.497 27.201 13.601 4
0.4573 152.345 29.537 14.769 4
0.4623 155.009 18.318 9.159 4
0.4673 154.698 23.960 11.980 4
0.4724 155.349 16.389 8.195 4
0.4774 159.774 18.907 9.454 4
0.4824 157.790 28.978 14.489 4
0.4874 159.017 27.281 13.641 4
0.4925 155.990 22.801 11.400 4
0.4975 157.441 25.869 12.935 4
0.5025 153.686 24.486 12.243 4
0.5075 151.667 13.195 6.597 4
0.5126 154.757 9.939 4.970 4
0.5176 157.233 18.472 9.236 4
0.5226 158.436 23.952 11.976 4
0.5276 160.646 22.921 11.460 4
0.5327 160.639 18.552 9.276 4
0.5377 158.057 14.617 7.308 4
0.5427 154.702 13.182 6.591 4
0.5477 150.644 17.889 8.945 4
0.5528 154.755 20.415 10.208 4
0.5578 157.614 24.650 12.325 4
0.5628 152.390 23.619 11.809 4
0.5678 151.632 14.553 7.277 4
0.5729 150.960 20.973 10.487 4
0.5779 158.187 23.257 11.628 4
0.5829 156.780 7.661 3.830 4
