step mean std sem n
0.0151 91.492 0.000 0.000 1
0.0201 69.408 6.700 3.350 4
0.0251 72.747 6.396 3.198 4
0.0302 81.560 6.417 3.209 4
0.0352 75.853 10.137 5.069 4
0.0402 73.572 16.198 8.099 4
0.0452 84.592 14.818 7.409 4
0.0503 82.060 5.849 2.925 4
0.0553 101.768 1.902 0.951 4
0.0603 107.457 12.985 6.492 4
0.0653 115.989 11.901 5.950 4
0.0704 105.429 16.030 8.015 4
0.0754 104.563 13.918 6.959 4
0.0804 109.238 16.775 8.388 4
0.0854 108.374 22.814 11.407 4
0.0905 123.733 35.033 17.517 4
0.0955 125.399 33.428 16.714 4
0.1005 130.588 56.793 28.396 4
0.1055 139.730 51.992 25.996 4
0.1106 141.734 47.986 23.993 4
0.1156 132.624 40.961 20.481 4
0.1206 140.694 45.279 22.639 4
0.1256 138.366 22.272 11.136 4
0.1307 151.993 27.790 13.895 4
0.1357 151.351 32.839 16.420 4
0.1407 161.249 40.317 20.159 4
0.1457 156.217 33.195 16.597 4
0.1508 154.578 28.352 14.176 4
0.1558 160.607 33.728 16.864 4
0.1608 168.190 21.595 10.798 4
0.1658 162.787 23.655 11.828 4
0.1709 153.811 10.117 5.059 4
0.1759 142.156 10.615 5.307 4
0.1809 125.066 26.484 13.242 4
0.1859 132.324 31.432 15.716 4
0.1910 140.930 29.502 14.751 4
0.1960 158.461 39.441 19.720 4
0.2010 160.449 41.733 20.866 4
0.2060 168.545 54.874 27.437 4
0.2111 154.525 34.140 17.070 4
0.2161 140.885 30.683 15.342 4
0.2211 148.722 34.571 17.286 4
0.2261 149.925 45.604 22.802 4
0.2312 147.886 42.622 21.311 4
0.2362 153.069 50.952 25.476 4
0.2412 162.540 57.229 28.615 4
0.2462 155.664 40.396 20.198 4
0.2513 161.889 33.310 16.655 4
0.2563 160.136 28.366 14.183 4
0.2613 146.605 17.760 8.880 4
0.2663 149.767 38.184 19.092 4
0.2714 153.042 45.706 22.853 4
0.2764 153.618 42.973 21.487 4
0.2814 171.870 56.614 28.307 4
0.2864 183.452 58.059 29.029 4
0.2915 178.552 45.296 22.648 4
0.2965 179.167 33.131 16.566 4
0.3015 178.613 42.546 21.273 4
0.3065 169.580 43.006 21.503 4
0.3116 162.247 30.243 15.121 4
0.3166 163.669 24.817 12.408 4
0.3216 155.274 29.506 14.753 4
0.3266 164.647 40.225 20.113 4
0.3317 174.706 44.923 22.461 4
