step mean std sem n
0.0151 67.500 0.000 0.000 1
0.0201 80.056 24.199 12.099 4
0.0251 70.952 17.153 8.576 4
0.0302 66.395 20.004 10.002 4
0.0352 63.343 17.901 8.950 4
0.0402 62.171 10.356 5.178 4
0.0452 64.083 19.617 9.808 4
0.0503 70.350 16.136 8.068 4
0.0553 81.099 18.277 9.139 4
0.0603 84.622 7.544 3.772 4
0.0653 97.590 13.767 6.884 4
0.0704 103.976 20.336 10.168 4
0.0754 110.853 13.890 6.945 4
0.0804 112.439 13.775 6.888 4
0.0854 109.672 17.116 8.558 4
0.0905 104.138 16.450 8.225 4
0.0955 101.935 20.561 10.281 4
0.1005 104.708 38.355 19.178 4
0.1055 104.024 37.787 18.893 4
0.1106 106.220 17.489 8.744 4
0.1156 110.482 22.355 11.177 4
0.1206 109.917 14.808 7.404 4
0.1256 108.098 18.613 9.306 4
0.1307 127.187 25.217 12.609 4
0.1357 125.995 9.496 4.748 4
0.1407 128.987 16.008 8.004 4
0.1457 131.337 15.327 7.664 4
0.1508 113.187 16.876 8.438 4
0.1558 121.169 26.120 13.060 4
0.1608 121.478 22.409 11.204 4
0.1658 116.426 21.365 10.683 4
0.1709 122.339 22.478 11.239 4
0.1759 125.328 22.734 11.367 4
0.1809 136.877 21.680 10.840 4
0.1859 154.203 28.377 14.189 4
0.1910 158.534 41.213 20.607 4
0.1960 163.837 32.068 16.034 4
0.2010 158.103 23.642 11.821 4
0.2060 154.519 28.910 14.455 4
0.2111 153.021 33.493 16.746 4
0.2161 134.847 29.114 14.557 4
0.2211 134.237 32.678 16.339 4
0.2261 130.615 39.734 19.867 4
0.2312 131.204 25.889 12.944 4
0.2362 128.902 8.254 4.127 4
0.2412 139.293 18.040 9.020 4
0.2462 158.084 17.905 8.952 4
0.2513 175.326 28.041 14.020 4
0.2563 172.676 36.546 18.273 4
0.2613 177.248 45.022 22.511 4
0.2663 185.121 58.793 29.397 4
0.2714 176.870 46.973 23.487 4
0.2764 173.022 22.426 11.213 4
0.2814 173.731 27.786 13.893 4
0.2864 169.130 10.926 5.463 4
0.2915 180.104 18.411 9.206 4
0.2965 161.271 7.906 3.953 4
0.3015 158.525 18.102 9.051 4
0.3065 154.610 18.586 9.293 4
0.3116 149.541 21.080 10.540 4
0.3166 160.795 20.723 10.361 4
0.3216 161.585 31.468 15.734 4
0.3266 168.645 38.863 19.431 4
0.3317 170.415 19.303 9.652 4
0.3367 184.724 26.370 13.185 4
0.3417 181.534 30.963 15.481 4
0.3467 189.398 34.740 17.370 4
0.3518 196.113 21.948 10.974 4
0.3568 198.336 30.864 15.432 4
0.3618 204.126 16.818 8.409 4
0.3668 199.594 20.185 10.093 4
0.3719 199.529 11.026 5.513 4
0.3769 196.261 19.916 9.958 4
0.3819 210.624 18.995 9.498 4
0.3869 214.346 7.469 3.734 4
0.3920 226.434 18.163 9.081 4
0.3970 219.487 12.707 6.354 4
0.4020 222.767 13.641 6.820 4
0.4070 221.705 36.939 18.470 4
0.4121 211.962 54.840 27.420 4
0.4171 205.379 45.263 22.631 4
0.4221 209.382 32.274 16.137 4
0.4271 196.228 32.130 16.065 4
0.4322 188.017 19.846 9.923 4
0.4372 197.402 21.373 10.686 4
0.4422 190.966 16.988 8.494 4
0.4472 192.572 14.376 7.188 4
0.4523 187.644 31.469 15.734 4
0.4573 197.182 57.314 28.657 4
0.4623 204.040 56.616 28.308 4
0.4673 202.244 51.705 25.853 4
0.4724 210.152 33.873 16.936 4
0.4774 207.178 32.111 16.056 4
0.4824 227.411 34.247 17.124 4
0.4874 223.207 14.713 7.357 4
0.4925 225.251 29.704 14.852 4
0.4975 227.563 33.708 16.854 4
0.5025 251.696 27.937 13.968 4
0.5075 221.571 19.457 9.728 4
0.5126 226.257 32.707 16.354 4
0.5176 229.984 19.290 9.645 4
0.5226 229.934 19.267 9.633 4
0.5276 226.964 14.619 7.310 4
0.5327 211.848 18.611 9.306 4
0.5377 234.914 27.753 13.877 4
0.5427 223.046 31.802 15.901 4
0.5477 215.267 48.345 24.173 4
0.5528 223.964 44.804 22.402 4
0.5578 228.989 30.562 15.281 4
0.5628 232.363 25.362 12.681 4
0.5678 217.408 11.013 5.506 4
0.5729 232.963 17.570 8.785 4
0.5779 232.143 34.567 17.284 4
0.5829 217.642 10.973 5.487 4
0.5879 216.912 18.271 9.135 4
0.5930 200.488 25.555 12.778 4
0.5980 215.227 22.065 11.033 4
0.6030 224.498 39.682 19.841 4
0.6080 222.104 32.975 16.488 4
0.6131 239.655 38.604 19.302 4
0.6181 247.929 36.093 18.047 4
0.6231 248.599 24.418 12.209 4
0.6281 253.383 12.319 6.159 4
0.6332 260.711 20.578 10.289 4
0.6382 261.057 19.135 9.568 4
0.6432 256.220 21.826 10.913 4
0.6482 276.691 24.870 12.435 4
0.6533 268.866 27.761 13.881 4
0.6583 261.971 27.632 13.816 4
0.6633 258.390 13.290 6.645 4
0.6683 250.108 22.025 11.012 4
0.6734 252.614 27.700 13.850 4
0.6784 231.868 21.959 10.979 4
0.6834 247.928 27.941 13.970 4
0.6884 243.526 34.734 17.367 4
0.6935 245.306 37.870 18.935 4
0.6985 247.824 34.264 17.132 4
0.7035 245.462 11.478 5.739 4
0.7085 232.935 18.979 9.489 4
0.7136 216.689 39.125 19.563 4
0.7186 218.966 64.220 32.110 4
0.7236 208.410 95.184 47.592 4
0.7286 224.979 85.764 42.882 4
0.7337 221.078 53.628 26.814 4
0.7387 234.600 50.393 25.197 4
0.7437 228.820 29.313 14.656 4
0.7487 226.680 23.747 11.873 4
0.7538 238.790 36.538 18.269 4
0.7588 242.795 40.941 20.470 4
0.7638 248.801 16.290 8.145 4
0.7688 266.250 34.809 17.404 4
0.7739 270.123 42.013 21.006 4
0.7789 264.797 44.949 22.474 4
0.7839 253.604 35.579 17.789 4
0.7889 247.435 42.171 21.085 4
0.7940 262.008 11.965 5.982 4
0.7990 275.991 22.695 11.347 4
0.8040 270.445 17.343 8.672 4
0.8090 287.098 14.040 7.020 4
0.8141 293.754 37.332 18.666 4
0.8191 270.542 60.335 30.168 4
0.8241 272.375 75.681 37.840 4
0.8291 254.531 47.857 23.929 4
0.8342 262.293 45.552 22.776 4
0.8392 247.135 14.935 7.467 4
0.8442 267.793 24.357 12.178 4
0.8492 253.922 32.608 16.304 4
0.8543 257.678 46.326 23.163 4
0.8593 249.619 40.794 20.397 4
0.8643 241.950 41.176 20.588 4
0.8693 259.851 49.951 24.975 4
0.8744 247.993 30.027 15.014 4
0.8794 258.409 27.319 13.660 4
0.8844 266.935 53.527 26.764 4
0.8894 252.311 43.843 21.922 4
0.8945 266.427 54.047 27.024 4
0.8995 273.178 35.511 17.755 4
0.9045 277.528 34.308 17.154 4
0.9095 293.415 32.277 16.138 4
0.9146 296.067 35.093 17.546 4
0.9196 313.476 46.927 23.464 4
0.9246 302.406 27.014 13.507 4
0.9296 316.524 22.618 11.309 4
0.9347 311.067 15.622 7.811 4
0.9397 302.487 22.716 11.358 4
0.9447 304.611 30.522 15.261 4
0.9497 282.698 44.468 22.234 4
0.9548 290.563 59.246 29.623 4
0.9598 284.871 57.186 28.593 4
0.9648 270.763 30.782 15.391 4
0.9698 272.216 30.948 15.474 4
0.9749 273.789 17.516 8.758 4
0.9799 257.029 29.293 14.647 4
0.9849 248.206 43.762 21.881 4
0.9899 256.345 34.225 17.112 4
0.9950 263.397 33.572 16.786 4
1.0000 264.375 37.046 18.523 4
