step mean std sem n
0.0302 3.250 1.258 0.629 4
0.0352 3.246 1.048 0.524 4
0.0402 2.755 0.583 0.291 4
0.0452 2.495 0.408 0.204 4
0.0503 2.464 0.573 0.287 4
0.0553 2.375 0.629 0.315 4
0.0603 2.368 0.627 0.314 4
0.0653 1.836 1.210 0.605 4
0.0704 1.536 1.422 0.711 4
0.0754 1.375 1.601 0.800 4
0.0804 1.449 0.955 0.477 4
0.0854 1.625 1.031 0.515 4
0.0905 1.428 0.949 0.475 4
0.0955 1.551 0.902 0.451 4
0.1005 1.494 0.807 0.404 4
0.1055 1.366 0.617 0.309 4
0.1106 1.215 0.481 0.241 4
0.1156 0.861 0.494 0.247 4
0.1206 0.674 0.396 0.198 4
0.1256 1.125 0.629 0.315 4
0.1307 1.117 0.393 0.197 4
0.1357 1.000 0.408 0.204 4
0.1407 1.000 0.408 0.204 4
0.1457 1.084 0.442 0.221 4
0.1508 1.697 0.545 0.273 4
0.1558 1.875 0.479 0.239 4
0.1608 1.750 0.645 0.323 4
0.1658 1.926 0.537 0.268 4
0.1709 1.769 0.652 0.326 4
0.1759 2.076 0.605 0.303 4
0.1809 2.809 0.559 0.280 4
0.1859 2.875 0.479 0.239 4
0.1910 3.000 0.913 0.456 4
0.1960 3.230 1.254 0.627 4
0.2010 3.081 1.360 0.680 4
0.2060 2.843 1.702 0.851 4
0.2111 2.836 1.830 0.915 4
0.2161 2.963 1.781 0.891 4
0.2211 2.865 1.790 0.895 4
0.2261 2.620 1.456 0.728 4
0.2312 2.716 1.730 0.865 4
0.2362 3.290 2.304 1.152 4
0.2412 3.448 2.719 1.360 4
0.2462 3.579 2.603 1.302 4
0.2513 4.458 1.974 0.987 4
0.2563 4.691 1.978 0.989 4
0.2613 5.149 1.764 0.882 4
0.2663 4.915 2.420 1.210 4
0.2714 5.442 1.086 0.543 4
0.2764 5.201 1.558 0.779 4
0.2814 5.659 2.228 1.114 4
0.2864 5.560 2.314 1.157 4
0.2915 5.625 2.287 1.143 4
0.2965 6.282 1.984 0.992 4
0.3015 6.053 0.969 0.484 4
0.3065 5.724 1.816 0.908 4
0.3116 6.432 3.263 1.631 4
0.3166 6.942 2.535 1.267 4
0.3216 6.849 3.548 1.774 4
0.3266 6.734 4.066 2.033 4
0.3317 6.685 4.200 2.100 4
0.3367 7.175 4.470 2.235 4
0.3417 6.944 4.149 2.075 4
0.3467 7.094 4.001 2.000 4
0.3518 7.125 3.945 1.972 4
0.3568 7.672 4.939 2.469 4
0.3618 7.804 4.996 2.498 4
0.3668 7.620 4.678 2.339 4
0.3719 7.058 4.715 2.357 4
0.3769 7.250 4.444 2.222 4
0.3819 7.542 4.199 2.099 4
0.3869 6.946 3.656 1.828 4
0.3920 6.438 3.490 1.745 4
0.3970 6.500 3.317 1.658 4
0.4020 6.541 3.120 1.560 4
0.4070 6.035 2.789 1.394 4
0.4121 5.720 2.752 1.376 4
0.4171 5.442 2.876 1.438 4
0.4221 5.146 2.682 1.341 4
0.4271 4.810 2.791 1.396 4
0.4322 4.965 2.996 1.498 4
0.4372 4.852 2.903 1.452 4
0.4422 4.970 3.224 1.612 4
0.4472 5.479 3.283 1.641 4
0.4523 5.536 2.782 1.391 4
0.4573 5.521 2.804 1.402 4
0.4623 5.670 2.753 1.377 4
0.4673 6.911 3.278 1.639 4
0.4724 6.948 3.299 1.650 4
0.4774 6.980 3.015 1.507 4
0.4824 6.880 2.874 1.437 4
0.4874 6.375 2.869 1.434 4
0.4925 5.707 2.518 1.259 4
0.4975 5.127 3.062 1.531 4
0.5025 5.476 2.906 1.453 4
0.5075 4.540 2.042 1.021 4
0.5126 3.972 1.753 0.876 4
0.5176 4.072 1.343 0.671 4
0.5226 4.201 0.877 0.438 4
0.5276 4.939 1.056 0.528 4
0.5327 5.000 0.707 0.354 4
0.5377 5.121 1.141 0.571 4
0.5427 5.876 1.933 0.966 4
0.5477 6.556 2.154 1.077 4
0.5528 6.867 2.275 1.137 4
0.5578 6.804 2.485 1.243 4
0.5628 6.680 2.100 1.050 4
0.5678 6.719 1.831 0.916 4
0.5729 7.119 1.969 0.985 4
0.5779 7.111 1.910 0.955 4
0.5829 7.099 1.936 0.968 4
0.5879 7.632 2.698 1.349 4
0.5930 7.199 2.847 1.423 4
0.5980 6.803 1.962 0.981 4
0.6030 7.241 2.434 1.217 4
0.6080 7.696 2.698 1.349 4
0.6131 7.895 3.426 1.713 4
0.6181 7.577 3.593 1.797 4
0.6231 7.759 3.445 1.722 4
0.6281 8.195 2.647 1.324 4
0.6332 8.324 3.757 1.878 4
0.6382 7.729 3.268 1.634 4
0.6432 7.539 2.992 1.496 4
0.6482 7.087 2.845 1.423 4
0.6533 6.865 2.547 1.274 4
0.6583 6.389 2.554 1.277 4
0.6633 6.390 1.670 0.835 4
0.6683 6.275 0.825 0.412 4
0.6734 6.105 0.844 0.422 4
0.6784 6.025 0.332 0.166 4
0.6834 6.393 0.448 0.224 4
0.6884 6.793 0.439 0.219 4
0.6935 6.870 0.698 0.349 4
0.6985 7.194 1.102 0.551 4
0.7035 7.329 1.513 0.756 4
0.7085 7.314 1.650 0.825 4
0.7136 6.978 1.355 0.678 4
0.7186 7.375 1.315 0.657 4
0.7236 8.023 1.313 0.657 4
0.7286 8.189 1.724 0.862 4
0.7337 7.978 1.394 0.697 4
0.7387 8.162 1.165 0.582 4
0.7437 8.057 1.721 0.861 4
0.7487 8.897 2.573 1.286 4
0.7538 8.461 2.678 1.339 4
0.7588 8.257 3.296 1.648 4
0.7638 8.776 3.584 1.792 4
0.7688 8.801 3.355 1.678 4
0.7739 8.465 3.846 1.923 4
0.7789 7.761 3.683 1.842 4
0.7839 8.170 3.690 1.845 4
0.7889 7.000 1.414 0.707 4
0.7940 7.285 1.041 0.520 4
0.7990 7.156 1.297 0.648 4
0.8040 6.951 0.953 0.477 4
0.8090 7.830 1.187 0.594 4
0.8141 7.700 1.061 0.531 4
0.8191 7.719 1.494 0.747 4
0.8241 9.012 1.757 0.879 4
0.8291 9.748 2.570 1.285 4
0.8342 9.678 2.723 1.362 4
0.8392 9.792 2.975 1.487 4
0.8442 9.396 2.903 1.451 4
0.8492 9.390 3.132 1.566 4
0.8543 9.820 3.384 1.692 4
0.8593 9.805 2.868 1.434 4
0.8643 10.237 3.444 1.722 4
0.8693 9.627 3.604 1.802 4
0.8744 10.135 3.793 1.896 4
0.8794 10.145 4.194 2.097 4
0.8844 10.690 4.548 2.274 4
0.8894 12.001 4.567 2.283 4
0.8945 12.003 4.155 2.077 4
0.8995 12.804 3.886 1.943 4
0.9045 12.657 2.809 1.405 4
0.9095 13.351 3.696 1.848 4
0.9146 13.319 3.479 1.739 4
0.9196 13.822 3.378 1.689 4
0.9246 13.720 3.392 1.696 4
0.9296 12.929 2.765 1.382 4
0.9347 13.124 2.187 1.094 4
0.9397 12.330 2.043 1.022 4
0.9447 13.088 2.028 1.014 4
0.9497 13.595 1.072 0.536 4
0.9548 13.334 2.281 1.140 4
0.9598 13.472 3.067 1.533 4
0.9648 13.810 3.334 1.667 4
0.9698 13.442 4.065 2.032 4
0.9749 13.501 4.125 2.063 4
0.9799 14.065 3.841 1.921 4
0.9849 14.285 3.764 1.882 4
0.9899 13.750 3.571 1.785 4
0.9950 13.496 2.948 1.474 4
1.0000 13.750 2.754 1.377 4
