step mean std sem n
0.0251 2.818 0.000 0.000 1
0.0302 2.316 0.582 0.336 3
0.0352 2.888 0.607 0.304 4
0.0402 2.495 0.818 0.409 4
0.0452 2.228 1.296 0.648 4
0.0503 2.529 2.143 1.072 4
0.0553 2.375 2.175 1.087 4
0.0603 2.370 2.181 1.090 4
0.0653 2.446 2.826 1.413 4
0.0704 2.431 2.758 1.379 4
0.0754 1.987 2.428 1.214 4
0.0804 1.898 2.742 1.371 4
0.0854 1.812 2.794 1.397 4
0.0905 2.000 2.677 1.339 4
0.0955 1.375 1.181 0.591 4
0.1005 1.250 0.957 0.479 4
0.1055 1.031 0.615 0.308 4
0.1106 1.150 0.768 0.384 4
0.1156 1.250 0.866 0.433 4
0.1206 1.125 0.750 0.375 4
0.1256 1.015 0.595 0.298 4
0.1307 1.000 0.577 0.289 4
0.1357 0.915 0.442 0.221 4
0.1407 1.111 0.450 0.225 4
0.1457 1.507 0.832 0.416 4
0.1508 1.723 0.878 0.439 4
0.1558 1.708 0.885 0.442 4
0.1608 1.607 1.101 0.551 4
0.1658 1.500 1.080 0.540 4
0.1709 1.500 1.080 0.540 4
0.1759 1.528 0.993 0.497 4
0.1809 1.367 0.755 0.378 4
0.1859 1.047 0.693 0.346 4
0.1910 0.698 0.244 0.122 4
0.1960 0.927 0.786 0.393 4
0.2010 0.855 0.649 0.325 4
0.2060 0.875 0.629 0.315 4
0.2111 0.921 0.648 0.324 4
0.2161 1.477 1.052 0.526 4
0.2211 1.736 1.260 0.630 4
0.2261 2.086 1.094 0.547 4
0.2312 2.353 1.087 0.544 4
0.2362 2.728 0.841 0.420 4
0.2412 3.095 1.608 0.804 4
0.2462 3.100 1.814 0.907 4
0.2513 3.495 2.112 1.056 4
0.2563 3.484 1.994 0.997 4
0.2613 3.562 1.849 0.924 4
0.2663 3.692 2.252 1.126 4
0.2714 3.521 2.013 1.006 4
0.2764 3.648 2.491 1.245 4
0.2814 3.875 2.852 1.426 4
0.2864 3.674 2.817 1.408 4
0.2915 3.734 2.651 1.326 4
0.2965 3.269 2.323 1.162 4
0.3015 3.400 2.531 1.265 4
0.3065 3.500 2.614 1.307 4
0.3116 3.625 2.750 1.375 4
0.3166 3.750 2.901 1.451 4
0.3216 3.567 2.701 1.351 4
0.3266 3.851 3.043 1.522 4
0.3317 3.188 2.583 1.291 4
0.3367 2.967 2.202 1.101 4
0.3417 3.015 2.599 1.299 4
0.3467 3.176 2.375 1.188 4
0.3518 3.724 2.351 1.176 4
0.3568 3.980 3.149 1.574 4
0.3618 4.638 3.283 1.642 4
0.3668 5.000 3.189 1.594 4
0.3719 5.252 3.977 1.988 4
0.3769 6.354 3.839 1.919 4
0.3819 7.137 4.003 2.002 4
0.3869 7.173 3.789 1.895 4
0.3920 7.428 4.360 2.180 4
0.3970 7.925 5.112 2.556 4
0.4020 7.447 4.989 2.494 4
0.4070 7.736 5.082 2.541 4
0.4121 7.856 5.189 2.595 4
0.4171 8.450 5.897 2.948 4
0.4221 8.215 5.892 2.946 4
0.4271 9.248 6.604 3.302 4
0.4322 9.265 7.761 3.880 4
0.4372 9.364 7.121 3.561 4
0.4422 10.521 8.525 4.262 4
0.4472 11.706 8.937 4.468 4
0.4523 11.497 7.795 3.898 4
0.4573 13.123 8.658 4.329 4
0.4623 13.627 8.514 4.257 4
0.4673 13.671 8.495 4.247 4
0.4724 14.311 9.062 4.531 4
0.4774 14.018 8.196 4.098 4
0.4824 15.009 9.586 4.793 4
0.4874 15.350 10.260 5.130 4
0.4925 15.143 9.562 4.781 4
0.4975 14.539 7.757 3.879 4
0.5025 13.438 8.091 4.046 4
0.5075 13.395 9.714 4.857 4
0.5126 13.357 11.020 5.510 4
0.5176 13.283 10.036 5.018 4
0.5226 13.732 9.612 4.806 4
0.5276 13.049 9.071 4.536 4
0.5327 13.469 9.057 4.529 4
0.5377 13.950 8.118 4.059 4
0.5427 14.356 9.756 4.878 4
0.5477 14.906 10.290 5.145 4
0.5528 14.343 9.833 4.916 4
0.5578 14.151 10.202 5.101 4
0.5628 15.034 9.982 4.991 4
0.5678 14.953 10.300 5.150 4
0.5729 14.442 9.825 4.913 4
0.5779 14.335 9.166 4.583 4
0.5829 14.083 9.179 4.589 4
0.5879 14.131 8.921 4.460 4
0.5930 14.713 9.291 4.646 4
0.5980 13.546 9.027 4.514 4
0.6030 13.589 8.658 4.329 4
0.6080 13.233 9.879 4.939 4
0.6131 13.134 9.886 4.943 4
0.6181 14.484 11.686 5.843 4
0.6231 14.923 12.347 6.173 4
0.6281 15.471 12.263 6.132 4
0.6332 15.443 12.775 6.387 4
0.6382 14.562 11.979 5.989 4
0.6432 15.008 12.497 6.249 4
0.6482 14.832 12.699 6.349 4
0.6533 15.325 12.918 6.459 4
0.6583 15.321 12.817 6.409 4
0.6633 14.912 12.128 6.064 4
0.6683 14.899 11.826 5.913 4
0.6734 14.086 11.940 5.970 4
0.6784 14.662 11.704 5.852 4
0.6834 14.815 12.063 6.032 4
0.6884 15.365 13.086 6.543 4
0.6935 15.493 13.191 6.595 4
0.6985 16.173 15.096 7.548 4
0.7035 16.688 14.981 7.491 4
0.7085 16.936 15.760 7.880 4
0.7136 17.738 15.716 7.858 4
0.7186 18.836 15.307 7.653 4
0.7236 18.350 14.472 7.236 4
0.7286 18.625 13.720 6.860 4
0.7337 19.255 15.209 7.604 4
0.7387 18.341 15.764 7.882 4
0.7437 19.516 16.413 8.207 4
0.7487 19.855 16.987 8.493 4
0.7538 18.871 17.218 8.609 4
0.7588 17.382 16.566 8.283 4
0.7638 17.457 18.599 9.300 4
0.7688 18.238 20.204 10.102 4
0.7739 18.742 20.063 10.031 4
0.7789 19.030 19.129 9.565 4
0.7839 19.250 18.210 9.105 4
0.7889 18.900 19.440 9.720 4
0.7940 19.959 20.695 10.347 4
0.7990 22.052 21.919 10.959 4
0.8040 24.283 25.508 12.754 4
0.8090 24.585 25.415 12.707 4
0.8141 24.893 25.244 12.622 4
0.8191 25.286 28.323 14.162 4
0.8241 25.680 28.902 14.451 4
0.8291 25.568 29.049 14.525 4
0.8342 26.294 29.997 14.999 4
0.8392 27.135 29.679 14.839 4
0.8442 26.977 29.723 14.862 4
0.8492 27.296 30.670 15.335 4
0.8543 27.368 30.798 15.399 4
0.8593 28.930 32.402 16.201 4
0.8643 27.676 30.413 15.206 4
0.8693 29.264 32.929 16.465 4
0.8744 26.387 27.271 13.635 4
0.8794 26.432 27.758 13.879 4
0.8844 26.062 26.428 13.214 4
0.8894 24.371 25.798 12.899 4
0.8945 26.721 27.258 13.629 4
0.8995 26.267 26.276 13.138 4
0.9045 26.548 25.586 12.793 4
0.9095 25.910 25.345 12.672 4
0.9146 25.386 26.249 13.125 4
0.9196 27.879 27.800 13.900 4
0.9246 29.011 29.542 14.771 4
0.9296 25.889 25.354 12.677 4
0.9347 26.939 28.221 14.111 4
0.9397 27.412 29.737 14.869 4
0.9447 29.913 31.139 15.569 4
0.9497 32.494 32.724 16.362 4
0.9548 31.846 29.687 14.844 4
0.9598 31.435 26.786 13.393 4
0.9648 30.358 27.058 13.529 4
0.9698 32.312 27.639 13.820 4
0.9749 36.165 31.639 15.819 4
0.9799 36.446 33.970 16.985 4
0.9849 36.403 36.066 18.033 4
0.9899 37.793 39.378 19.689 4
0.9950 35.534 35.189 17.595 4
1.0000 36.000 37.171 18.585 4
