step mean std sem n
0.0553 313.085 0.000 0.000 1
0.0603 343.577 0.000 0.000 1
0.0653 300.293 0.000 0.000 1
0.0704 418.484 167.562 118.484 2
0.0754 389.492 126.561 89.492 2
0.0804 480.665 166.244 95.981 3
0.0854 451.707 174.702 100.864 3
0.0905 419.676 130.630 75.419 3
0.0955 408.496 137.355 79.302 3
0.1005 418.820 137.361 79.305 3
0.1055 493.367 80.899 46.707 3
0.1106 515.680 70.649 40.789 3
0.1156 541.248 65.687 37.925 3
0.1206 620.428 149.640 86.395 3
0.1256 608.635 100.190 57.845 3
0.1307 679.683 191.285 110.438 3
0.1357 707.226 210.414 121.482 3
0.1407 800.337 343.890 198.545 3
0.1457 828.833 365.062 210.769 3
0.1508 825.219 325.870 188.141 3
0.1558 825.360 325.299 187.811 3
0.1608 774.428 329.707 190.356 3
0.1658 677.355 176.735 88.367 4
0.1709 656.468 199.240 99.620 4
0.1759 659.661 227.325 113.663 4
0.1809 641.466 235.615 117.807 4
0.1859 587.310 149.198 74.599 4
0.1910 601.256 147.785 73.893 4
0.1960 605.836 148.570 74.285 4
0.2010 616.649 150.915 75.458 4
0.2060 577.496 123.649 61.824 4
0.2111 544.542 140.009 70.004 4
0.2161 514.775 135.043 67.522 4
0.2211 530.623 137.564 68.782 4
0.2261 531.097 143.219 71.609 4
0.2312 547.415 205.600 102.800 4
0.2362 531.699 195.323 97.662 4
0.2412 518.958 203.082 101.541 4
0.2462 502.005 182.052 91.026 4
0.2513 455.909 172.119 86.059 4
0.2563 417.820 178.245 89.123 4
0.2613 397.016 190.933 95.467 4
0.2663 407.904 184.087 92.043 4
0.2714 411.082 189.342 94.671 4
0.2764 383.061 240.220 120.110 4
0.2814 414.731 290.371 145.185 4
0.2864 420.803 291.134 145.567 4
0.2915 449.482 257.154 128.577 4
0.2965 479.492 233.052 116.526 4
0.3015 494.285 231.160 115.580 4
0.3065 549.290 250.426 125.213 4
0.3116 591.135 272.833 136.417 4
0.3166 621.441 285.437 142.718 4
0.3216 637.068 301.291 150.646 4
0.3266 659.811 319.201 159.601 4
0.3317 653.293 334.348 167.174 4
0.3367 701.872 352.617 176.309 4
0.3417 724.366 372.377 186.188 4
0.3467 712.289 372.215 186.108 4
0.3518 826.545 539.316 269.658 4
0.3568 783.342 502.749 251.375 4
0.3618 795.547 525.002 262.501 4
0.3668 847.232 549.963 274.981 4
0.3719 835.345 548.341 274.171 4
0.3769 855.509 575.624 287.812 4
0.3819 867.901 607.041 303.520 4
0.3869 906.785 654.230 327.115 4
0.3920 965.549 664.958 332.479 4
0.3970 943.567 654.747 327.373 4
0.4020 949.584 619.320 309.660 4
0.4070 1026.193 699.528 349.764 4
0.4121 1102.393 791.084 395.542 4
0.4171 1204.052 879.731 439.865 4
0.4221 1204.123 685.122 342.561 4
0.4271 1325.237 587.229 293.615 4
0.4322 1328.265 530.724 265.362 4
0.4372 1381.909 574.409 287.204 4
0.4422 1518.092 638.954 319.477 4
0.4472 1584.079 703.250 351.625 4
0.4523 1739.211 813.521 406.760 4
0.4573 1760.427 848.722 424.361 4
0.4623 1851.736 922.055 461.027 4
0.4673 1902.700 976.936 488.468 4
0.4724 1837.554 910.030 455.015 4
0.4774 1863.755 905.363 452.682 4
0.4824 1879.529 922.134 461.067 4
0.4874 1840.799 982.073 491.036 4
0.4925 1897.334 1022.998 511.499 4
0.4975 1923.164 1102.478 551.239 4
0.5025 1960.731 1309.597 654.799 4
0.5075 2082.024 1466.132 733.066 4
0.5126 2181.217 1625.111 812.556 4
0.5176 2157.727 1473.213 736.606 4
0.5226 2163.436 1468.774 734.387 4
0.5276 2222.157 1488.076 744.038 4
0.5327 2245.999 1408.278 704.139 4
0.5377 2284.073 1337.598 668.799 4
0.5427 2263.411 1277.213 638.606 4
0.5477 2287.054 1306.936 653.468 4
0.5528 2412.576 1422.901 711.450 4
0.5578 2536.470 1514.490 757.245 4
0.5628 2508.920 1439.610 719.805 4
0.5678 2507.614 1460.336 730.168 4
0.5729 2381.952 1315.967 657.984 4
0.5779 2237.125 1095.766 547.883 4
0.5829 2143.548 1169.237 584.619 4
0.5879 2186.841 1217.991 608.996 4
0.5930 2256.548 1245.871 622.935 4
0.5980 2247.191 1222.417 611.209 4
0.6030 2237.648 1371.222 685.611 4
0.6080 2222.978 1487.014 743.507 4
0.6131 2273.136 1642.183 821.091 4
0.6181 2191.746 1332.156 666.078 4
0.6231 2277.473 1431.822 715.911 4
0.6281 2297.412 1617.415 808.707 4
0.6332 2277.763 1515.898 757.949 4
0.6382 2306.997 1346.587 673.294 4
0.6432 2476.148 1409.727 704.863 4
0.6482 2593.330 1512.904 756.452 4
0.6533 2510.659 1476.800 738.400 4
0.6583 2669.365 1580.351 790.176 4
0.6633 2780.096 1667.394 833.697 4
0.6683 2946.970 1897.098 948.549 4
0.6734 2919.414 1773.980 886.990 4
0.6784 2986.176 1607.235 803.617 4
0.6834 3043.154 1710.887 855.444 4
0.6884 3078.267 1674.224 837.112 4
0.6935 3254.846 1837.270 918.635 4
0.6985 3362.275 1976.696 988.348 4
0.7035 3334.232 2022.057 1011.028 4
0.7085 3353.915 2204.970 1102.485 4
0.7136 3510.210 2386.751 1193.376 4
0.7186 3601.335 2410.734 1205.367 4
0.7236 3669.481 2473.761 1236.881 4
0.7286 3723.929 2374.598 1187.299 4
0.7337 3722.835 2366.426 1183.213 4
0.7387 3796.595 2482.834 1241.417 4
0.7437 3858.142 2517.075 1258.537 4
0.7487 3731.085 2287.152 1143.576 4
0.7538 3732.128 2315.933 1157.967 4
0.7588 3771.219 2474.135 1237.068 4
0.7638 3781.546 2352.389 1176.194 4
0.7688 3709.392 2260.507 1130.253 4
0.7739 3195.329 1611.270 805.635 4
0.7789 3047.066 1602.611 801.306 4
0.7839 3256.253 1743.219 871.609 4
0.7889 3023.632 1613.638 806.819 4
0.7940 2921.640 1772.129 886.065 4
0.7990 3012.878 1811.332 905.666 4
0.8040 2899.465 1548.218 774.109 4
0.8090 3041.276 1685.342 842.671 4
0.8141 3153.664 1789.755 894.877 4
0.8191 3022.635 1867.149 933.575 4
0.8241 3098.628 1863.370 931.685 4
0.8291 3173.387 1943.499 971.750 4
0.8342 3264.110 1981.112 990.556 4
0.8392 3304.074 1778.466 889.233 4
0.8442 3367.728 1843.590 921.795 4
0.8492 3365.190 1898.618 949.309 4
0.8543 3488.529 1952.876 976.438 4
0.8593 3608.015 2070.848 1035.424 4
0.8643 3639.055 2191.263 1095.631 4
0.8693 3840.897 2307.814 1153.907 4
0.8744 3695.788 2098.507 1049.254 4
0.8794 3626.533 2106.640 1053.320 4
0.8844 3631.752 2106.063 1053.032 4
0.8894 3586.028 2070.298 1035.149 4
