step mean std sem n
0.0603 918.394 0.000 0.000 1
0.0653 650.000 353.553 250.000 2
0.0704 655.456 390.773 276.318 2
0.0754 645.657 488.833 345.657 2
0.0804 670.440 523.882 370.440 2
0.0854 625.000 530.330 375.000 2
0.0905 724.605 603.305 426.601 2
0.0955 722.954 533.224 377.046 2
0.1005 660.028 497.824 352.014 2
0.1055 676.260 387.126 273.740 2
0.1106 1015.800 355.892 205.474 3
0.1156 1029.952 345.076 199.230 3
0.1206 1001.407 390.571 225.496 3
0.1256 994.770 485.913 280.542 3
0.1307 967.080 486.308 280.770 3
0.1357 909.289 541.374 312.563 3
0.1407 890.933 528.305 305.017 3
0.1457 783.333 650.641 375.648 3
0.1508 716.667 652.559 376.755 3
0.1558 633.252 571.176 329.769 3
0.1608 632.381 446.497 257.785 3
0.1658 552.731 404.993 233.823 3
0.1709 477.751 372.758 215.212 3
0.1759 418.208 308.028 177.840 3
0.1809 416.667 305.505 176.383 3
0.1859 442.621 285.136 164.623 3
0.1910 287.174 200.393 115.697 3
0.1960 362.492 333.293 192.427 3
0.2010 425.332 405.217 233.952 3
0.2060 485.140 520.540 300.534 3
0.2111 564.080 517.880 298.998 3
0.2161 682.761 454.320 262.302 3
0.2211 691.766 444.538 256.654 3
0.2261 772.219 421.033 210.517 4
0.2312 847.275 547.823 273.911 4
0.2362 856.324 558.335 279.167 4
0.2412 913.808 590.228 295.114 4
0.2462 932.588 627.208 313.604 4
0.2513 869.473 557.691 278.845 4
0.2563 783.205 449.088 224.544 4
0.2613 736.732 425.452 212.726 4
0.2663 756.811 512.129 256.064 4
0.2714 722.612 459.464 229.732 4
0.2764 688.189 397.210 198.605 4
0.2814 577.686 359.536 179.768 4
0.2864 582.238 347.660 173.830 4
0.2915 560.212 376.961 188.481 4
0.2965 578.433 424.428 212.214 4
0.3015 646.354 509.237 254.619 4
0.3065 721.308 600.506 300.253 4
0.3116 824.888 766.302 383.151 4
0.3166 942.421 938.615 469.307 4
0.3216 979.615 989.607 494.804 4
0.3266 1027.024 1025.353 512.677 4
0.3317 1089.861 1026.004 513.002 4
0.3367 1094.231 1112.652 556.326 4
0.3417 1166.754 1201.402 600.701 4
0.3467 1271.107 1273.333 636.667 4
0.3518 1318.532 1369.377 684.688 4
0.3568 1403.070 1457.724 728.862 4
0.3618 1380.655 1420.927 710.464 4
