step mean std sem n
0.3568 -2.624 5.240 2.620 4
0.3618 -2.610 5.286 2.643 4
0.3668 -2.595 5.332 2.666 4
0.3719 -2.581 5.380 2.690 4
0.3769 -2.448 5.486 2.743 4
0.3819 -2.215 5.642 2.821 4
0.3869 -1.982 5.799 2.899 4
0.3920 -1.749 5.954 2.977 4
0.3970 -1.392 5.760 2.880 4
0.4020 -1.036 5.566 2.783 4
0.4070 -0.679 5.372 2.686 4
0.4121 -0.411 5.301 2.651 4
0.4171 -0.245 5.374 2.687 4
0.4221 -0.080 5.448 2.724 4
0.4271 0.085 5.524 2.762 4
0.4322 0.414 5.614 2.807 4
0.4372 0.760 5.711 2.856 4
0.4422 1.105 5.815 2.907 4
0.4472 1.387 5.915 2.958 4
0.4523 1.556 6.002 3.001 4
0.4573 1.726 6.091 3.045 4
0.4623 1.895 6.180 3.090 4
0.4673 2.053 6.141 3.070 4
0.4724 2.208 6.080 3.040 4
0.4774 2.363 6.027 3.013 4
0.4824 2.518 5.994 2.997 4
0.4874 2.673 5.997 2.998 4
0.4925 2.828 6.003 3.001 4
0.4975 2.983 6.012 3.006 4
0.5025 3.208 6.031 3.016 4
0.5075 3.458 6.059 3.029 4
0.5126 3.707 6.090 3.045 4
0.5176 3.944 6.124 3.062 4
0.5226 4.116 6.155 3.077 4
0.5276 4.289 6.187 3.093 4
0.5327 4.462 6.221 3.111 4
0.5377 4.596 6.222 3.111 4
0.5427 4.709 6.202 3.101 4
0.5477 4.822 6.183 3.091 4
0.5528 4.925 6.157 3.079 4
0.5578 4.928 6.066 3.033 4
0.5628 4.932 5.978 2.989 4
0.5678 4.936 5.893 2.947 4
0.5729 5.028 5.845 2.922 4
0.5779 5.194 5.829 2.914 4
0.5829 5.360 5.816 2.908 4
0.5879 5.525 5.806 2.903 4
0.5930 5.518 5.841 2.920 4
0.5980 5.511 5.877 2.939 4
0.6030 5.504 5.915 2.957 4
0.6080 5.569 5.902 2.951 4
0.6131 5.721 5.828 2.914 4
0.6181 5.872 5.756 2.878 4
0.6231 6.023 5.684 2.842 4
0.6281 6.118 5.685 2.843 4
0.6332 6.206 5.696 2.848 4
0.6382 6.294 5.709 2.854 4
0.6432 6.410 5.714 2.857 4
0.6482 6.575 5.704 2.852 4
0.6533 6.740 5.696 2.848 4
0.6583 6.906 5.689 2.845 4
0.6633 7.078 5.648 2.824 4
0.6683 7.251 5.605 2.802 4
0.6734 7.424 5.568 2.784 4
0.6784 7.543 5.549 2.774 4
0.6834 7.514 5.566 2.783 4
0.6884 7.486 5.587 2.794 4
0.6935 7.458 5.613 2.807 4
0.6985 7.539 5.576 2.788 4
0.7035 7.662 5.515 2.758 4
0.7085 7.785 5.455 2.728 4
0.7136 7.924 5.406 2.703 4
0.7186 8.138 5.400 2.700 4
0.7236 8.353 5.395 2.698 4
0.7286 8.568 5.391 2.695 4
0.7337 8.657 5.356 2.678 4
0.7387 8.668 5.306 2.653 4
0.7437 8.678 5.261 2.631 4
0.7487 8.685 5.234 2.617 4
0.7538 8.649 5.347 2.673 4
0.7588 8.614 5.461 2.730 4
0.7638 8.579 5.576 2.788 4
0.7688 8.593 5.632 2.816 4
0.7739 8.649 5.635 2.818 4
0.7789 8.706 5.641 2.821 4
0.7839 8.762 5.650 2.825 4
0.7889 8.627 5.625 2.812 4
0.7940 8.490 5.603 2.801 4
0.7990 8.353 5.585 2.792 4
0.8040 8.316 5.535 2.767 4
0.8090 8.408 5.454 2.727 4
0.8141 8.499 5.397 2.698 4
0.8191 8.591 5.362 2.681 4
0.8241 8.566 5.326 2.663 4
0.8291 8.527 5.289 2.645 4
0.8342 8.488 5.253 2.627 4
0.8392 8.479 5.211 2.606 4
0.8442 8.528 5.156 2.578 4
0.8492 8.578 5.101 2.550 4
0.8543 8.627 5.047 2.523 4
0.8593 8.680 4.919 2.459 4
0.8643 8.733 4.778 2.389 4
0.8693 8.786 4.644 2.322 4
0.8744 8.836 4.568 2.284 4
0.8794 8.878 4.646 2.323 4
0.8844 8.920 4.725 2.363 4
0.8894 8.963 4.804 2.402 4
0.8945 8.970 4.802 2.401 4
0.8995 8.963 4.768 2.384 4
0.9045 8.956 4.736 2.368 4
0.9095 8.982 4.743 2.371 4
0.9146 9.187 4.942 2.471 4
0.9196 9.391 5.142 2.571 4
0.9246 9.596 5.343 2.672 4
0.9296 9.651 5.395 2.697 4
0.9347 9.612 5.351 2.675 4
0.9397 9.573 5.308 2.654 4
0.9447 9.547 5.268 2.634 4
0.9497 9.685 5.266 2.633 4
0.9548 9.823 5.269 2.635 4
0.9598 9.960 5.278 2.639 4
0.9648 10.007 5.282 2.641 4
0.9698 9.971 5.279 2.639 4
0.9749 9.936 5.277 2.639 4
0.9799 9.901 5.277 2.638 4
0.9849 9.928 5.202 2.601 4
0.9899 9.956 5.126 2.563 4
0.9950 9.984 5.051 2.526 4
1.0000 9.513 4.837 2.419 4
