step mean std sem n
0.3568 -0.070 4.292 2.146 4
0.3618 0.131 4.432 2.216 4
0.3668 0.332 4.574 2.287 4
0.3719 0.534 4.717 2.359 4
0.3769 0.757 4.704 2.352 4
0.3819 0.997 4.571 2.286 4
0.3869 1.236 4.448 2.224 4
0.3920 1.475 4.336 2.168 4
0.3970 1.744 4.394 2.197 4
0.4020 2.012 4.455 2.227 4
0.4070 2.281 4.518 2.259 4
0.4121 2.553 4.581 2.291 4
0.4171 2.831 4.649 2.324 4
0.4221 3.109 4.723 2.361 4
0.4271 3.387 4.804 2.402 4
0.4322 3.525 4.914 2.457 4
0.4372 3.648 5.028 2.514 4
0.4422 3.772 5.145 2.572 4
0.4472 3.954 5.193 2.596 4
0.4523 4.236 5.125 2.562 4
0.4573 4.518 5.061 2.530 4
0.4623 4.800 5.001 2.500 4
0.4673 4.960 5.059 2.529 4
0.4724 5.094 5.140 2.570 4
0.4774 5.228 5.222 2.611 4
0.4824 5.373 5.302 2.651 4
0.4874 5.549 5.379 2.690 4
0.4925 5.725 5.462 2.731 4
0.4975 5.902 5.549 2.774 4
0.5025 6.032 5.582 2.791 4
0.5075 6.145 5.595 2.797 4
0.5126 6.257 5.609 2.804 4
0.5176 6.364 5.650 2.825 4
0.5226 6.445 5.810 2.905 4
0.5276 6.526 5.972 2.986 4
0.5327 6.608 6.135 3.067 4
0.5377 6.626 6.212 3.106 4
0.5427 6.609 6.239 3.120 4
0.5477 6.591 6.267 3.134 4
0.5528 6.570 6.287 3.143 4
0.5578 6.506 6.221 3.111 4
0.5628 6.443 6.158 3.079 4
0.5678 6.379 6.097 3.049 4
0.5729 6.381 6.105 3.052 4
0.5779 6.437 6.170 3.085 4
0.5829 6.494 6.236 3.118 4
0.5879 6.550 6.303 3.152 4
0.5930 6.705 6.342 3.171 4
0.5980 6.861 6.382 3.191 4
0.6030 7.016 6.422 3.211 4
0.6080 7.110 6.453 3.226 4
0.6131 7.131 6.473 3.237 4
0.6181 7.152 6.497 3.249 4
0.6231 7.173 6.524 3.262 4
0.6281 7.268 6.518 3.259 4
0.6332 7.370 6.509 3.254 4
0.6382 7.472 6.499 3.250 4
0.6432 7.556 6.546 3.273 4
0.6482 7.609 6.692 3.346 4
0.6533 7.662 6.837 3.419 4
0.6583 7.715 6.983 3.492 4
0.6633 7.663 7.003 3.501 4
0.6683 7.585 6.995 3.498 4
0.6734 7.507 6.990 3.495 4
0.6784 7.463 6.983 3.492 4
0.6834 7.508 6.964 3.482 4
0.6884 7.554 6.948 3.474 4
0.6935 7.600 6.935 3.467 4
0.6985 7.787 7.046 3.523 4
0.7035 8.030 7.206 3.603 4
0.7085 8.273 7.368 3.684 4
0.7136 8.472 7.500 3.750 4
0.7186 8.451 7.485 3.743 4
0.7236 8.430 7.475 3.737 4
0.7286 8.409 7.468 3.734 4
0.7337 8.478 7.496 3.748 4
0.7387 8.605 7.545 3.773 4
0.7437 8.732 7.597 3.798 4
0.7487 8.865 7.652 3.826 4
0.7538 9.073 7.744 3.872 4
0.7588 9.281 7.837 3.919 4
0.7638 9.489 7.932 3.966 4
0.7688 9.628 7.936 3.968 4
0.7739 9.706 7.858 3.929 4
0.7789 9.783 7.782 3.891 4
0.7839 9.861 7.708 3.854 4
0.7889 10.057 7.642 3.821 4
0.7940 10.254 7.581 3.791 4
0.7990 10.451 7.524 3.762 4
0.8040 10.586 7.529 3.764 4
0.8090 10.639 7.616 3.808 4
0.8141 10.692 7.713 3.857 4
0.8191 10.745 7.820 3.910 4
0.8241 10.729 7.728 3.864 4
0.8291 10.704 7.612 3.806 4
0.8342 10.680 7.501 3.751 4
0.8392 10.682 7.431 3.715 4
0.8442 10.738 7.436 3.718 4
0.8492 10.795 7.442 3.721 4
0.8543 10.851 7.449 3.725 4
0.8593 10.933 7.493 3.747 4
0.8643 11.021 7.554 3.777 4
0.8693 11.109 7.625 3.813 4
0.8744 11.184 7.653 3.826 4
0.8794 11.215 7.533 3.767 4
0.8844 11.247 7.419 3.709 4
0.8894 11.279 7.311 3.655 4
0.8945 11.355 7.298 3.649 4
0.8995 11.448 7.350 3.675 4
0.9045 11.541 7.436 3.718 4
0.9095 11.661 7.529 3.764 4
0.9146 11.957 7.537 3.768 4
0.9196 12.253 7.545 3.773 4
0.9246 12.549 7.555 3.777 4
0.9296 12.700 7.541 3.771 4
0.9347 12.763 7.523 3.761 4
0.9397 12.827 7.509 3.755 4
0.9447 12.895 7.493 3.747 4
0.9497 13.015 7.339 3.669 4
0.9548 13.135 7.189 3.594 4
0.9598 13.255 7.044 3.522 4
0.9648 13.406 6.949 3.475 4
0.9698 13.586 6.902 3.451 4
0.9749 13.765 6.864 3.432 4
0.9799 13.946 6.834 3.417 4
0.9849 14.116 6.949 3.475 4
0.9899 14.283 7.067 3.533 4
0.9950 14.450 7.185 3.593 4
1.0000 14.138 6.799 3.400 4
