step mean std sem n
0.0101 0.335 0.101 0.051 4
0.0151 0.096 0.094 0.047 4
0.0201 0.220 0.051 0.026 4
0.0251 0.282 0.121 0.061 4
0.0302 0.350 0.124 0.062 4
0.0352 0.183 0.191 0.095 4
0.0402 0.243 0.306 0.153 4
0.0452 0.283 0.197 0.099 4
0.0503 0.479 0.214 0.107 4
0.0553 0.609 0.266 0.133 4
0.0603 0.588 0.247 0.124 4
0.0653 0.579 0.255 0.128 4
0.0704 0.614 0.227 0.113 4
0.0754 0.697 0.282 0.141 4
0.0804 0.827 0.239 0.120 4
0.0854 0.816 0.206 0.103 4
0.0905 0.740 0.076 0.038 4
0.0955 0.899 0.270 0.135 4
0.1005 0.905 0.271 0.136 4
0.1055 1.022 0.281 0.140 4
0.1106 0.917 0.209 0.105 4
0.1156 0.873 0.478 0.239 4
0.1206 0.926 0.355 0.178 4
0.1256 0.953 0.166 0.083 4
0.1307 0.841 0.308 0.154 4
0.1357 0.864 0.409 0.204 4
0.1407 0.921 0.456 0.228 4
0.1457 0.984 0.767 0.383 4
0.1508 1.067 0.682 0.341 4
0.1558 1.142 0.772 0.386 4
0.1608 1.342 0.679 0.340 4
0.1658 1.310 0.513 0.257 4
0.1709 1.369 0.281 0.141 4
0.1759 1.552 0.291 0.146 4
0.1809 1.431 0.511 0.256 4
0.1859 1.578 0.356 0.178 4
0.1910 1.454 0.464 0.232 4
0.1960 1.647 0.432 0.216 4
0.2010 1.742 0.946 0.473 4
0.2060 1.774 0.815 0.407 4
0.2111 1.674 0.511 0.256 4
0.2161 1.773 0.490 0.245 4
0.2211 1.761 0.397 0.198 4
0.2261 1.657 0.381 0.190 4
0.2312 1.506 0.614 0.307 4
0.2362 1.489 0.670 0.335 4
0.2412 1.561 0.436 0.218 4
0.2462 1.573 0.560 0.280 4
0.2513 1.608 0.643 0.322 4
0.2563 1.584 0.601 0.301 4
0.2613 1.840 0.406 0.203 4
0.2663 1.840 0.309 0.154 4
0.2714 1.770 0.414 0.207 4
0.2764 1.929 0.340 0.170 4
0.2814 1.882 0.451 0.225 4
0.2864 1.803 0.443 0.222 4
0.2915 1.619 0.482 0.241 4
0.2965 1.553 0.622 0.311 4
0.3015 1.447 0.392 0.196 4
0.3065 1.303 0.521 0.261 4
0.3116 1.282 0.580 0.290 4
0.3166 1.473 0.645 0.323 4
0.3216 1.470 0.409 0.205 4
0.3266 1.452 0.150 0.075 4
0.3317 1.212 0.482 0.241 4
