step mean std sem n
0.0101 0.279 0.171 0.085 4
0.0151 0.222 0.092 0.046 4
0.0201 0.242 0.097 0.049 4
0.0251 0.296 0.133 0.067 4
0.0302 0.483 0.217 0.109 4
0.0352 0.317 0.263 0.132 4
0.0402 0.138 0.113 0.056 4
0.0452 0.062 0.048 0.024 4
0.0503 0.090 0.116 0.058 4
0.0553 0.127 0.102 0.051 4
0.0603 0.195 0.154 0.077 4
0.0653 0.227 0.126 0.063 4
0.0704 0.265 0.095 0.048 4
0.0754 0.311 0.068 0.034 4
0.0804 0.425 0.121 0.061 4
0.0854 0.518 0.173 0.086 4
0.0905 0.543 0.179 0.089 4
0.0955 0.538 0.224 0.112 4
0.1005 0.588 0.123 0.062 4
0.1055 0.569 0.092 0.046 4
0.1106 0.490 0.182 0.091 4
0.1156 0.556 0.155 0.077 4
0.1206 0.673 0.358 0.179 4
0.1256 0.815 0.447 0.224 4
0.1307 0.854 0.441 0.221 4
0.1357 0.833 0.408 0.204 4
0.1407 0.826 0.433 0.216 4
0.1457 0.655 0.589 0.295 4
0.1508 0.744 0.538 0.269 4
0.1558 0.711 0.460 0.230 4
0.1608 0.783 0.464 0.232 4
0.1658 0.882 0.357 0.178 4
0.1709 0.925 0.474 0.237 4
0.1759 1.019 0.498 0.249 4
0.1809 1.018 0.679 0.339 4
0.1859 1.234 0.792 0.396 4
0.1910 1.351 0.729 0.364 4
0.1960 1.364 0.461 0.231 4
0.2010 1.294 0.246 0.123 4
0.2060 1.071 0.238 0.119 4
0.2111 0.917 0.284 0.142 4
0.2161 0.832 0.191 0.095 4
0.2211 1.020 0.189 0.094 4
0.2261 1.052 0.249 0.125 4
0.2312 1.025 0.424 0.212 4
0.2362 1.097 0.473 0.236 4
0.2412 1.187 0.575 0.287 4
0.2462 1.334 0.607 0.303 4
0.2513 1.301 0.553 0.277 4
0.2563 1.194 0.587 0.294 4
0.2613 1.414 0.654 0.327 4
0.2663 1.281 0.382 0.191 4
0.2714 1.338 0.381 0.190 4
0.2764 1.315 0.473 0.236 4
0.2814 1.250 0.413 0.207 4
0.2864 1.349 0.329 0.164 4
0.2915 1.383 0.482 0.241 4
0.2965 1.433 0.489 0.244 4
0.3015 1.414 0.636 0.318 4
0.3065 1.391 0.535 0.268 4
0.3116 1.581 0.278 0.139 4
0.3166 1.768 0.287 0.143 4
0.3216 1.755 0.185 0.092 4
0.3266 1.756 0.501 0.250 4
0.3317 1.702 0.257 0.129 4
0.3367 1.825 0.639 0.319 4
0.3417 2.083 0.858 0.429 4
0.3467 1.895 0.849 0.424 4
0.3518 1.748 0.742 0.371 4
0.3568 1.828 0.845 0.423 4
0.3618 1.902 0.644 0.322 4
0.3668 1.859 0.549 0.275 4
0.3719 1.763 0.368 0.184 4
0.3769 1.909 0.276 0.138 4
0.3819 1.648 0.195 0.097 4
0.3869 1.951 0.257 0.128 4
0.3920 2.068 0.324 0.162 4
0.3970 2.135 0.459 0.230 4
0.4020 2.180 0.416 0.208 4
0.4070 2.378 0.301 0.150 4
0.4121 2.293 0.194 0.097 4
0.4171 2.119 0.121 0.060 4
0.4221 2.262 0.282 0.141 4
0.4271 2.073 0.195 0.098 4
0.4322 2.017 0.160 0.080 4
0.4372 2.218 0.134 0.067 4
0.4422 2.479 0.534 0.267 4
0.4472 2.616 0.540 0.270 4
0.4523 2.646 0.404 0.202 4
0.4573 2.914 0.289 0.145 4
0.4623 2.672 0.340 0.170 4
0.4673 2.685 0.531 0.266 4
0.4724 2.485 0.580 0.290 4
0.4774 2.504 0.218 0.109 4
0.4824 2.606 0.378 0.189 4
0.4874 2.707 0.281 0.140 4
0.4925 2.798 0.365 0.183 4
0.4975 2.890 0.461 0.231 4
0.5025 3.033 0.417 0.208 4
0.5075 3.234 0.734 0.367 4
0.5126 3.533 0.675 0.338 4
0.5176 3.472 0.386 0.193 4
0.5226 3.371 0.396 0.198 4
0.5276 2.765 0.617 0.308 4
0.5327 2.678 0.592 0.296 4
