step mean std sem n
0.0402 200.739 38.759 27.407 2
0.0452 214.647 49.370 24.685 4
0.0503 208.899 66.118 33.059 4
0.0553 206.857 81.481 40.740 4
0.0603 210.983 85.797 42.899 4
0.0653 201.391 90.893 45.446 4
0.0704 227.491 82.473 41.237 4
0.0754 251.858 66.287 33.144 4
0.0804 276.244 57.528 28.764 4
0.0854 280.850 58.956 29.478 4
0.0905 280.107 53.565 26.782 4
0.0955 299.075 67.952 33.976 4
0.1005 309.275 65.958 32.979 4
0.1055 301.732 53.719 26.860 4
0.1106 291.044 45.214 22.607 4
0.1156 278.192 37.385 18.692 4
0.1206 279.831 45.811 22.905 4
0.1256 270.382 50.063 25.032 4
0.1307 280.838 52.550 26.275 4
0.1357 272.645 38.572 19.286 4
0.1407 287.208 21.839 10.920 4
0.1457 301.094 31.598 15.799 4
0.1508 318.376 26.987 13.493 4
0.1558 316.422 20.173 10.086 4
0.1608 312.710 21.318 10.659 4
0.1658 319.933 19.230 9.615 4
0.1709 318.073 38.709 19.355 4
0.1759 311.932 48.333 24.166 4
0.1809 323.084 40.604 20.302 4
0.1859 314.450 68.116 34.058 4
0.1910 315.851 70.327 35.164 4
0.1960 319.314 59.924 29.962 4
0.2010 313.341 58.764 29.382 4
0.2060 327.753 47.294 23.647 4
0.2111 311.274 48.993 24.496 4
0.2161 308.731 49.065 24.532 4
0.2211 293.949 62.735 31.367 4
0.2261 308.907 63.000 31.500 4
0.2312 322.604 45.251 22.625 4
0.2362 322.724 38.932 19.466 4
0.2412 329.565 35.369 17.685 4
0.2462 330.486 31.550 15.775 4
0.2513 328.464 51.803 25.901 4
0.2563 304.457 75.540 37.770 4
0.2613 301.892 71.594 35.797 4
0.2663 310.381 54.376 27.188 4
0.2714 304.665 53.193 26.597 4
0.2764 301.579 52.043 26.022 4
0.2814 305.755 44.900 22.450 4
0.2864 293.823 30.295 15.148 4
0.2915 305.514 54.968 27.484 4
0.2965 307.996 55.903 27.951 4
0.3015 320.586 64.660 32.330 4
0.3065 328.791 69.532 34.766 4
0.3116 334.156 67.133 33.566 4
0.3166 345.220 60.236 30.118 4
0.3216 351.678 55.883 27.942 4
0.3266 352.683 65.340 32.670 4
0.3317 352.507 49.099 24.549 4
0.3367 351.738 67.610 33.805 4
0.3417 354.415 87.455 43.727 4
0.3467 338.896 93.340 46.670 4
0.3518 327.715 97.687 48.843 4
0.3568 340.720 103.007 51.504 4
0.3618 348.749 96.629 48.314 4
0.3668 341.183 108.308 54.154 4
0.3719 347.986 87.246 43.623 4
0.3769 362.555 86.621 43.311 4
0.3819 364.072 94.723 47.362 4
0.3869 370.253 99.021 49.510 4
0.3920 367.004 120.875 60.437 4
0.3970 358.134 123.712 61.856 4
0.4020 371.075 129.729 64.865 4
0.4070 350.271 104.356 52.178 4
0.4121 367.713 125.172 62.586 4
0.4171 371.162 125.616 62.808 4
0.4221 388.743 142.854 71.427 4
0.4271 396.857 176.725 88.363 4
0.4322 396.494 212.553 106.277 4
0.4372 389.602 209.322 104.661 4
0.4422 395.721 220.170 110.085 4
0.4472 402.640 221.858 110.929 4
0.4523 408.036 201.023 100.512 4
0.4573 420.235 225.990 112.995 4
0.4623 431.626 202.225 101.113 4
0.4673 444.276 190.849 95.425 4
0.4724 406.156 131.886 65.943 4
0.4774 404.377 145.746 72.873 4
0.4824 403.120 128.300 64.150 4
0.4874 395.738 121.780 60.890 4
0.4925 381.758 126.173 63.086 4
0.4975 340.199 80.835 40.417 4
0.5025 307.883 51.157 25.579 4
0.5075 313.222 43.015 21.507 4
0.5126 328.905 50.513 25.257 4
0.5176 341.655 49.988 24.994 4
0.5226 353.580 63.218 31.609 4
0.5276 352.590 49.440 24.720 4
0.5327 353.686 59.678 29.839 4
0.5377 342.856 68.937 34.468 4
0.5427 349.234 67.822 33.911 4
0.5477 352.673 67.577 33.788 4
0.5528 348.548 65.616 32.808 4
0.5578 328.117 70.220 35.110 4
0.5628 326.125 86.255 43.127 4
0.5678 338.674 87.697 43.848 4
0.5729 320.400 67.103 33.552 4
0.5779 324.859 50.533 25.267 4
0.5829 322.081 55.008 27.504 4
0.5879 328.758 59.250 29.625 4
0.5930 330.854 84.058 42.029 4
0.5980 343.195 84.363 42.181 4
0.6030 353.883 93.810 46.905 4
0.6080 376.625 99.537 49.768 4
0.6131 392.969 109.031 54.515 4
0.6181 392.683 117.186 58.593 4
0.6231 397.398 109.779 54.890 4
0.6281 386.351 85.713 42.856 4
0.6332 385.066 105.316 52.658 4
0.6382 392.994 107.571 53.786 4
0.6432 370.180 99.018 49.509 4
0.6482 368.083 99.350 49.675 4
0.6533 351.955 120.803 60.401 4
0.6583 350.063 118.908 59.454 4
0.6633 351.416 113.263 56.632 4
0.6683 360.336 102.227 51.113 4
0.6734 347.418 108.855 54.428 4
0.6784 339.702 101.556 50.778 4
0.6834 335.852 97.201 48.600 4
0.6884 342.945 100.374 50.187 4
0.6935 344.851 106.629 53.315 4
0.6985 348.358 106.328 53.164 4
0.7035 360.923 113.652 56.826 4
0.7085 371.256 134.279 67.140 4
0.7136 372.578 133.002 66.501 4
0.7186 377.029 127.369 63.684 4
0.7236 387.109 129.800 64.900 4
0.7286 384.067 120.769 60.384 4
0.7337 383.432 110.028 55.014 4
0.7387 384.139 109.344 54.672 4
0.7437 388.042 112.121 56.060 4
0.7487 394.805 122.327 61.164 4
0.7538 388.363 112.373 56.186 4
0.7588 366.041 96.925 48.462 4
0.7638 380.682 121.422 60.711 4
0.7688 379.939 107.312 53.656 4
0.7739 380.738 92.941 46.471 4
0.7789 392.649 91.411 45.706 4
0.7839 406.520 110.703 55.352 4
0.7889 406.144 103.882 51.941 4
0.7940 400.116 96.677 48.338 4
0.7990 421.136 97.326 48.663 4
0.8040 424.159 99.736 49.868 4
0.8090 434.261 99.869 49.935 4
0.8141 443.690 106.666 53.333 4
0.8191 427.557 106.610 53.305 4
0.8241 443.555 114.457 57.229 4
0.8291 450.112 126.401 63.201 4
0.8342 455.063 118.535 59.267 4
0.8392 455.419 136.122 68.061 4
0.8442 445.785 142.062 71.031 4
0.8492 443.281 141.621 70.811 4
0.8543 460.542 156.168 78.084 4
0.8593 462.922 143.301 71.651 4
0.8643 470.924 127.826 63.913 4
0.8693 465.575 117.604 58.802 4
0.8744 448.099 115.314 57.657 4
0.8794 438.121 111.211 55.606 4
0.8844 435.143 92.560 46.280 4
0.8894 429.433 88.070 44.035 4
0.8945 406.957 105.237 52.619 4
0.8995 411.640 105.618 52.809 4
0.9045 401.329 110.495 55.247 4
0.9095 419.220 122.648 61.324 4
0.9146 439.973 146.134 73.067 4
0.9196 434.734 127.379 63.689 4
0.9246 422.091 119.488 59.744 4
0.9296 412.356 125.490 62.745 4
0.9347 423.814 126.919 63.460 4
0.9397 430.342 122.907 61.453 4
0.9447 431.530 128.218 64.109 4
0.9497 444.208 145.972 72.986 4
0.9548 457.381 148.184 74.092 4
0.9598 456.675 160.537 80.269 4
0.9648 453.099 140.959 70.479 4
0.9698 455.960 110.971 55.485 4
0.9749 465.194 112.737 56.369 4
0.9799 462.099 109.443 54.721 4
0.9849 448.247 104.178 52.089 4
0.9899 415.181 86.228 43.114 4
0.9950 393.481 94.939 47.470 4
1.0000 382.500 67.639 33.819 4
