step mean std sem n
0.0402 169.892 35.508 25.108 2
0.0452 156.492 40.226 28.444 2
0.0503 196.337 51.266 29.599 3
0.0553 205.140 31.460 18.163 3
0.0603 239.620 52.790 26.395 4
0.0653 258.159 50.140 25.070 4
0.0704 273.327 69.296 34.648 4
0.0754 287.688 59.730 29.865 4
0.0804 286.499 53.817 26.908 4
0.0854 294.593 48.496 24.248 4
0.0905 299.022 43.572 21.786 4
0.0955 298.807 45.143 22.572 4
0.1005 304.817 33.100 16.550 4
0.1055 313.230 31.528 15.764 4
0.1106 309.322 49.394 24.697 4
0.1156 303.288 60.565 30.283 4
0.1206 301.739 40.103 20.052 4
0.1256 297.327 55.942 27.971 4
0.1307 309.152 34.715 17.358 4
0.1357 312.747 14.031 7.015 4
0.1407 297.374 23.805 11.903 4
0.1457 291.218 35.537 17.769 4
0.1508 288.277 39.527 19.764 4
0.1558 282.389 34.782 17.391 4
0.1608 266.590 28.735 14.368 4
0.1658 275.032 39.808 19.904 4
0.1709 275.324 54.795 27.397 4
0.1759 284.721 56.329 28.165 4
0.1809 297.341 64.123 32.061 4
0.1859 307.703 64.964 32.482 4
0.1910 303.653 66.760 33.380 4
0.1960 289.861 84.273 42.137 4
0.2010 297.317 75.172 37.586 4
0.2060 303.304 65.711 32.856 4
0.2111 296.729 74.856 37.428 4
0.2161 281.342 91.214 45.607 4
0.2211 281.519 90.663 45.332 4
0.2261 288.390 53.354 26.677 4
0.2312 284.627 39.358 19.679 4
0.2362 279.266 50.497 25.248 4
0.2412 285.545 44.020 22.010 4
0.2462 294.162 37.318 18.659 4
0.2513 293.335 38.372 19.186 4
0.2563 296.492 50.373 25.186 4
0.2613 311.529 39.679 19.839 4
0.2663 310.043 38.335 19.167 4
0.2714 296.803 45.024 22.512 4
0.2764 317.762 52.568 26.284 4
0.2814 320.459 68.203 34.102 4
0.2864 293.424 77.610 38.805 4
0.2915 279.945 99.910 49.955 4
0.2965 289.300 88.787 44.394 4
0.3015 295.485 97.857 48.928 4
0.3065 299.667 103.507 51.753 4
0.3116 303.776 114.480 57.240 4
0.3166 293.313 115.274 57.637 4
0.3216 312.400 110.147 55.074 4
0.3266 311.270 102.138 51.069 4
0.3317 317.972 111.771 55.886 4
0.3367 313.352 110.484 55.242 4
0.3417 311.090 125.275 62.637 4
0.3467 299.100 125.274 62.637 4
0.3518 290.849 86.230 43.115 4
0.3568 299.345 103.463 51.731 4
0.3618 304.004 97.546 48.773 4
0.3668 321.545 81.720 40.860 4
0.3719 329.417 66.979 33.490 4
0.3769 323.616 62.085 31.042 4
0.3819 339.270 73.866 36.933 4
0.3869 337.196 75.500 37.750 4
0.3920 342.186 83.263 41.631 4
0.3970 324.794 79.406 39.703 4
0.4020 320.286 74.053 37.026 4
0.4070 322.338 63.703 31.852 4
0.4121 338.700 75.561 37.781 4
0.4171 356.269 70.746 35.373 4
0.4221 353.597 59.805 29.902 4
0.4271 361.182 49.757 24.878 4
0.4322 362.181 48.268 24.134 4
0.4372 362.273 62.860 31.430 4
0.4422 366.624 69.097 34.548 4
0.4472 371.931 61.248 30.624 4
0.4523 375.238 44.730 22.365 4
0.4573 385.297 44.513 22.257 4
0.4623 390.841 48.094 24.047 4
0.4673 385.415 38.002 19.001 4
0.4724 387.169 47.780 23.890 4
0.4774 397.052 72.192 36.096 4
0.4824 392.881 61.026 30.513 4
0.4874 365.061 64.503 32.251 4
0.4925 372.704 55.216 27.608 4
0.4975 370.079 52.582 26.291 4
0.5025 361.551 57.065 28.533 4
0.5075 347.345 72.638 36.319 4
0.5126 343.852 97.446 48.723 4
0.5176 328.791 80.432 40.216 4
0.5226 306.790 88.293 44.147 4
0.5276 318.084 105.860 52.930 4
0.5327 319.289 108.575 54.288 4
0.5377 339.674 134.580 67.290 4
0.5427 358.612 128.517 64.259 4
0.5477 342.465 123.491 61.746 4
0.5528 364.380 125.687 62.844 4
0.5578 370.508 124.958 62.479 4
0.5628 377.619 129.694 64.847 4
0.5678 393.361 120.026 60.013 4
0.5729 376.636 100.623 50.312 4
0.5779 342.609 59.071 29.536 4
0.5829 341.388 35.697 17.848 4
0.5879 337.245 28.746 14.373 4
0.5930 335.925 28.277 14.138 4
0.5980 341.620 26.603 13.301 4
0.6030 346.907 32.242 16.121 4
0.6080 335.428 46.472 23.236 4
0.6131 342.358 55.182 27.591 4
0.6181 323.284 57.381 28.690 4
0.6231 322.495 88.696 44.348 4
0.6281 335.901 74.773 37.387 4
0.6332 344.002 83.292 41.646 4
0.6382 367.230 88.130 44.065 4
0.6432 389.971 107.988 53.994 4
0.6482 363.063 59.103 29.552 4
0.6533 352.898 55.308 27.654 4
