step mean std sem n
0.0955 896.458 0.000 0.000 1
0.1005 882.025 0.000 0.000 1
0.1055 1177.818 372.349 263.291 2
0.1106 1274.305 260.403 150.344 3
0.1156 1276.374 286.688 165.519 3
0.1206 1357.513 300.007 150.003 4
0.1256 1309.198 278.801 139.400 4
0.1307 1311.476 343.761 171.880 4
0.1357 1322.346 377.639 188.820 4
0.1407 1316.794 414.658 207.329 4
0.1457 1327.752 470.849 235.425 4
0.1508 1347.939 510.518 255.259 4
0.1558 1406.344 524.019 262.009 4
0.1608 1448.431 535.550 267.775 4
0.1658 1475.565 563.230 281.615 4
0.1709 1478.513 591.305 295.653 4
0.1759 1468.777 615.205 307.602 4
0.1809 1502.258 653.081 326.541 4
0.1859 1503.867 702.664 351.332 4
0.1910 1525.895 734.039 367.020 4
0.1960 1532.996 838.633 419.317 4
0.2010 1519.616 855.055 427.527 4
0.2060 1524.424 852.458 426.229 4
0.2111 1567.673 877.021 438.511 4
0.2161 1584.378 858.991 429.495 4
0.2211 1586.605 864.539 432.270 4
0.2261 1624.174 884.131 442.065 4
0.2312 1666.483 900.701 450.351 4
0.2362 1685.071 931.559 465.780 4
0.2412 1705.385 953.171 476.586 4
0.2462 1726.992 976.887 488.444 4
0.2513 1768.942 1015.549 507.775 4
0.2563 1831.367 1018.381 509.191 4
0.2613 1871.613 999.602 499.801 4
0.2663 1876.374 1011.441 505.720 4
0.2714 1886.877 1026.562 513.281 4
0.2764 1842.250 902.002 451.001 4
0.2814 1832.825 851.024 425.512 4
0.2864 1850.940 793.608 396.804 4
0.2915 1899.278 756.300 378.150 4
0.2965 1940.928 755.662 377.831 4
0.3015 1924.353 796.354 398.177 4
0.3065 1908.484 791.798 395.899 4
0.3116 1924.945 776.729 388.365 4
0.3166 1910.673 750.840 375.420 4
0.3216 1991.422 779.744 389.872 4
0.3266 2077.498 802.933 401.466 4
0.3317 2118.197 857.760 428.880 4
0.3367 2132.395 887.962 443.981 4
0.3417 2164.975 930.150 465.075 4
0.3467 2168.163 921.073 460.536 4
0.3518 2203.558 931.529 465.764 4
0.3568 2249.024 915.256 457.628 4
0.3618 2261.695 859.346 429.673 4
0.3668 2207.202 799.089 399.545 4
0.3719 2210.131 783.508 391.754 4
0.3769 2261.783 821.468 410.734 4
0.3819 2302.624 863.920 431.960 4
0.3869 2329.868 879.239 439.619 4
0.3920 2325.450 896.946 448.473 4
0.3970 2344.831 909.802 454.901 4
0.4020 2384.524 922.681 461.341 4
0.4070 2423.869 959.633 479.816 4
0.4121 2444.911 1009.198 504.599 4
0.4171 2526.038 1084.383 542.191 4
0.4221 2609.446 1128.258 564.129 4
0.4271 2623.161 1133.539 566.769 4
0.4322 2663.517 1173.062 586.531 4
0.4372 2698.503 1084.991 542.496 4
0.4422 2717.373 1054.933 527.466 4
0.4472 2690.799 1080.385 540.193 4
0.4523 2712.551 1089.220 544.610 4
0.4573 2711.528 1097.457 548.728 4
0.4623 2735.820 1129.310 564.655 4
0.4673 2832.320 1171.255 585.628 4
0.4724 2891.533 1208.951 604.475 4
0.4774 2980.564 1293.147 646.573 4
0.4824 3036.626 1299.162 649.581 4
0.4874 3043.432 1239.453 619.727 4
0.4925 3057.169 1224.028 612.014 4
0.4975 3044.944 1197.708 598.854 4
0.5025 3043.219 1137.832 568.916 4
0.5075 3041.052 1134.517 567.259 4
0.5126 3063.791 1206.847 603.423 4
0.5176 3106.918 1248.850 624.425 4
0.5226 3173.259 1294.186 647.093 4
0.5276 3204.811 1345.562 672.781 4
0.5327 3254.201 1422.764 711.382 4
0.5377 3286.431 1407.946 703.973 4
0.5427 3309.063 1403.764 701.882 4
0.5477 3314.592 1396.297 698.148 4
0.5528 3230.024 1337.433 668.717 4
0.5578 3193.701 1202.236 601.118 4
0.5628 3207.930 1153.234 576.617 4
0.5678 3226.281 1121.527 560.763 4
0.5729 3276.921 1092.366 546.183 4
0.5779 3357.235 1134.127 567.063 4
0.5829 3391.834 1225.953 612.976 4
0.5879 3398.523 1236.201 618.100 4
0.5930 3414.286 1247.341 623.670 4
