step mean std sem n
0.1106 1655.794 0.000 0.000 1
0.1156 1726.904 0.000 0.000 1
0.1206 1788.019 0.000 0.000 1
0.1256 1656.479 189.584 134.056 2
0.1307 1622.922 131.552 93.021 2
0.1357 1710.212 183.807 129.971 2
0.1407 1632.152 249.415 144.000 3
0.1457 1684.996 230.020 132.802 3
0.1508 1733.722 248.901 143.703 3
0.1558 1744.372 320.257 184.900 3
0.1608 1728.273 339.949 196.270 3
0.1658 1918.140 378.457 189.228 4
0.1709 1920.056 401.358 200.679 4
0.1759 1961.200 453.293 226.647 4
0.1809 2005.416 519.911 259.955 4
0.1859 2050.746 572.853 286.427 4
0.1910 2127.236 631.746 315.873 4
0.1960 2133.548 576.896 288.448 4
0.2010 2117.050 548.806 274.403 4
0.2060 2116.044 501.106 250.553 4
0.2111 2118.430 519.739 259.869 4
0.2161 2173.728 561.081 280.541 4
0.2211 2118.459 583.207 291.603 4
0.2261 2094.376 647.026 323.513 4
0.2312 2118.193 655.506 327.753 4
0.2362 2225.150 684.953 342.476 4
0.2412 2157.707 782.352 391.176 4
0.2462 2172.318 768.235 384.118 4
0.2513 2214.516 806.737 403.368 4
0.2563 2284.289 844.804 422.402 4
0.2613 2339.356 862.433 431.216 4
0.2663 2374.862 892.217 446.109 4
0.2714 2422.903 884.534 442.267 4
0.2764 2443.480 908.784 454.392 4
0.2814 2504.804 909.208 454.604 4
0.2864 2608.888 945.688 472.844 4
0.2915 2676.235 998.237 499.119 4
0.2965 2752.706 1031.498 515.749 4
0.3015 2764.920 1047.808 523.904 4
0.3065 2723.218 953.414 476.707 4
0.3116 2777.351 930.597 465.298 4
0.3166 2881.971 954.450 477.225 4
0.3216 2967.657 1001.121 500.560 4
0.3266 3051.027 1049.514 524.757 4
0.3317 3151.089 1047.948 523.974 4
0.3367 3279.226 1030.250 515.125 4
0.3417 3372.246 1043.893 521.946 4
0.3467 3418.363 1050.618 525.309 4
0.3518 3502.538 1052.437 526.218 4
0.3568 3604.468 1093.190 546.595 4
0.3618 3654.852 1074.966 537.483 4
0.3668 3675.530 1097.390 548.695 4
0.3719 3741.333 1078.510 539.255 4
0.3769 3786.047 1047.560 523.780 4
0.3819 3900.364 1099.912 549.956 4
0.3869 4028.678 1103.710 551.855 4
0.3920 4135.586 1071.217 535.609 4
0.3970 4193.505 990.721 495.361 4
0.4020 4313.334 1004.687 502.344 4
0.4070 4321.670 989.131 494.565 4
0.4121 4383.049 1013.970 506.985 4
0.4171 4340.090 883.430 441.715 4
0.4221 4395.403 799.292 399.646 4
0.4271 4458.244 845.102 422.551 4
0.4322 4466.271 906.384 453.192 4
0.4372 4495.908 924.216 462.108 4
0.4422 4540.133 973.928 486.964 4
0.4472 4586.931 1042.555 521.278 4
0.4523 4452.797 914.376 457.188 4
0.4573 4322.529 776.589 388.294 4
