step mean std sem n
0.0503 34.686 1.323 0.936 2
0.0553 31.125 0.107 0.075 2
0.0603 40.335 11.347 5.674 4
0.0653 36.740 7.117 3.558 4
0.0704 36.122 5.657 2.828 4
0.0754 37.164 5.329 2.664 4
0.0804 39.785 5.655 2.827 4
0.0854 41.690 5.994 2.997 4
0.0905 42.693 4.757 2.379 4
0.0955 43.071 3.739 1.869 4
0.1005 44.598 5.147 2.573 4
0.1055 47.157 6.154 3.077 4
0.1106 50.439 7.818 3.909 4
0.1156 52.319 8.675 4.337 4
0.1206 49.031 14.363 7.182 4
0.1256 50.797 14.148 7.074 4
0.1307 51.351 12.033 6.016 4
0.1357 53.455 9.952 4.976 4
0.1407 54.555 8.716 4.358 4
0.1457 59.201 7.109 3.555 4
0.1508 57.068 6.755 3.378 4
0.1558 54.782 10.999 5.499 4
0.1608 57.224 10.701 5.350 4
0.1658 59.406 9.866 4.933 4
0.1709 60.178 7.778 3.889 4
0.1759 61.040 13.840 6.920 4
0.1809 65.830 14.499 7.249 4
0.1859 66.602 15.187 7.593 4
0.1910 65.802 12.042 6.021 4
0.1960 64.074 8.642 4.321 4
0.2010 65.676 7.767 3.884 4
0.2060 68.159 5.991 2.996 4
0.2111 70.241 5.461 2.731 4
0.2161 72.687 7.426 3.713 4
0.2211 73.928 9.857 4.929 4
0.2261 77.020 11.139 5.570 4
0.2312 85.673 15.101 7.551 4
0.2362 94.388 17.226 8.613 4
0.2412 97.819 17.333 8.666 4
0.2462 105.372 12.921 6.460 4
0.2513 110.301 11.665 5.833 4
0.2563 110.602 15.291 7.645 4
0.2613 110.744 18.479 9.239 4
0.2663 113.932 15.479 7.739 4
0.2714 120.239 25.596 12.798 4
0.2764 122.416 28.204 14.102 4
0.2814 121.424 27.883 13.942 4
0.2864 117.037 34.028 17.014 4
0.2915 115.305 46.213 23.106 4
0.2965 118.732 53.288 26.644 4
0.3015 117.497 55.113 27.556 4
0.3065 122.382 61.390 30.695 4
0.3116 128.606 65.475 32.738 4
0.3166 114.286 58.637 29.319 4
0.3216 107.115 46.559 23.279 4
0.3266 108.449 40.285 20.142 4
0.3317 111.293 34.075 17.037 4
0.3367 109.797 31.758 15.879 4
0.3417 105.181 34.122 17.061 4
0.3467 107.750 30.077 15.039 4
0.3518 112.937 28.419 14.209 4
0.3568 123.442 34.830 17.415 4
0.3618 124.712 40.923 20.461 4
0.3668 134.207 37.821 18.910 4
0.3719 139.046 37.599 18.799 4
0.3769 141.401 24.659 12.329 4
0.3819 151.818 23.835 11.918 4
0.3869 159.177 19.712 9.856 4
0.3920 167.572 30.025 15.013 4
0.3970 174.338 40.519 20.259 4
0.4020 175.609 44.096 22.048 4
0.4070 183.856 41.816 20.908 4
0.4121 188.061 41.188 20.594 4
0.4171 194.135 47.205 23.602 4
0.4221 202.168 54.822 27.411 4
0.4271 203.647 55.614 27.807 4
0.4322 199.240 58.737 29.368 4
0.4372 190.775 63.434 31.717 4
0.4422 187.133 56.612 28.306 4
0.4472 186.597 43.375 21.687 4
0.4523 188.164 35.378 17.689 4
0.4573 186.118 49.810 24.905 4
0.4623 192.252 59.117 29.559 4
0.4673 197.997 61.012 30.506 4
0.4724 206.556 63.732 31.866 4
0.4774 207.816 64.683 32.341 4
0.4824 201.230 59.349 29.675 4
0.4874 199.032 62.121 31.060 4
0.4925 202.591 59.060 29.530 4
0.4975 193.234 47.061 23.530 4
0.5025 188.670 52.075 26.038 4
0.5075 193.683 53.875 26.937 4
0.5126 202.802 58.341 29.171 4
0.5176 204.109 58.606 29.303 4
0.5226 205.159 51.133 25.567 4
0.5276 206.577 51.473 25.737 4
0.5327 206.923 47.370 23.685 4
0.5377 206.433 46.299 23.149 4
0.5427 210.037 43.062 21.531 4
0.5477 203.510 32.528 16.264 4
0.5528 203.333 33.859 16.930 4
0.5578 175.627 57.312 28.656 4
0.5628 171.514 50.298 25.149 4
0.5678 173.888 50.699 25.349 4
