step mean std sem n
0.0302 21.500 0.000 0.000 1
0.0352 23.063 0.000 0.000 1
0.0402 28.703 0.000 0.000 1
0.0452 33.980 0.000 0.000 1
0.0503 35.027 4.260 2.460 3
0.0553 38.342 4.853 2.802 3
0.0603 40.700 7.376 4.258 3
0.0653 44.339 9.551 5.514 3
0.0704 47.795 12.236 6.118 4
0.0754 55.115 17.125 8.562 4
0.0804 62.725 24.983 12.491 4
0.0854 66.722 26.339 13.169 4
0.0905 68.786 27.039 13.520 4
0.0955 66.088 19.639 9.819 4
0.1005 66.219 21.039 10.520 4
0.1055 68.582 21.438 10.719 4
0.1106 69.181 23.975 11.987 4
0.1156 68.852 22.718 11.359 4
0.1206 69.898 22.698 11.349 4
0.1256 74.822 24.498 12.249 4
0.1307 73.882 26.239 13.119 4
0.1357 73.704 23.466 11.733 4
0.1407 71.363 24.367 12.183 4
0.1457 70.031 23.650 11.825 4
0.1508 70.892 21.737 10.869 4
0.1558 66.559 6.362 3.181 4
0.1608 66.716 8.038 4.019 4
0.1658 64.823 8.437 4.218 4
0.1709 67.989 7.627 3.814 4
0.1759 68.882 2.448 1.224 4
0.1809 69.668 5.041 2.521 4
0.1859 69.075 4.491 2.246 4
0.1910 73.777 13.845 6.922 4
0.1960 78.704 22.296 11.148 4
0.2010 85.053 31.801 15.901 4
0.2060 85.190 38.557 19.278 4
0.2111 94.580 45.183 22.591 4
0.2161 100.296 50.791 25.396 4
0.2211 102.113 48.190 24.095 4
0.2261 105.876 48.597 24.299 4
0.2312 111.286 51.706 25.853 4
0.2362 109.197 54.789 27.395 4
0.2412 107.220 50.946 25.473 4
0.2462 109.337 48.503 24.251 4
0.2513 108.331 46.838 23.419 4
0.2563 109.406 48.894 24.447 4
0.2613 101.646 53.231 26.616 4
0.2663 102.398 53.897 26.949 4
0.2714 104.969 45.290 22.645 4
0.2764 99.707 40.214 20.107 4
0.2814 94.718 30.137 15.069 4
0.2864 87.373 20.205 10.103 4
0.2915 87.689 19.619 9.810 4
0.2965 98.475 6.839 3.420 4
0.3015 97.636 14.862 7.431 4
0.3065 100.168 17.481 8.741 4
0.3116 113.013 29.288 14.644 4
