step mean std sem n
0.6683 88.377 17.747 10.246 3
0.6734 89.430 17.896 10.332 3
0.6784 90.482 18.045 10.418 3
0.6834 91.535 18.194 10.504 3
0.6884 92.587 18.343 10.591 3
0.6935 93.640 18.493 10.677 3
0.6985 94.367 15.233 7.616 4
0.7035 95.492 15.315 7.658 4
0.7085 96.617 15.398 7.699 4
0.7136 97.743 15.482 7.741 4
0.7186 98.868 15.566 7.783 4
0.7236 99.994 15.650 7.825 4
0.7286 101.119 15.735 7.867 4
0.7337 102.183 15.905 7.953 4
0.7387 103.177 16.177 8.088 4
0.7437 104.171 16.449 8.225 4
0.7487 105.165 16.724 8.362 4
0.7538 106.159 16.999 8.499 4
0.7588 107.154 17.275 8.638 4
0.7638 108.148 17.553 8.777 4
0.7688 109.256 17.636 8.818 4
0.7739 110.382 17.684 8.842 4
0.7789 111.508 17.732 8.866 4
0.7839 112.635 17.780 8.890 4
0.7889 113.761 17.829 8.914 4
0.7940 114.887 17.877 8.939 4
0.7990 115.975 17.936 8.968 4
0.8040 116.940 18.022 9.011 4
0.8090 117.904 18.108 9.054 4
0.8141 118.868 18.194 9.097 4
0.8191 119.832 18.281 9.141 4
0.8241 120.796 18.369 9.184 4
0.8291 121.761 18.456 9.228 4
0.8342 122.657 18.655 9.328 4
0.8392 123.514 18.926 9.463 4
0.8442 124.372 19.201 9.601 4
0.8492 125.229 19.482 9.741 4
0.8543 126.087 19.768 9.884 4
0.8593 126.944 20.058 10.029 4
0.8643 127.805 20.350 10.175 4
0.8693 128.965 20.512 10.256 4
0.8744 130.127 20.678 10.339 4
0.8794 131.288 20.844 10.422 4
0.8844 132.450 21.012 10.506 4
0.8894 133.611 21.181 10.591 4
0.8945 134.773 21.351 10.676 4
0.8995 135.809 21.630 10.815 4
0.9045 136.648 22.077 11.039 4
0.9095 137.488 22.526 11.263 4
0.9146 138.328 22.976 11.488 4
0.9196 139.168 23.428 11.714 4
0.9246 140.008 23.881 11.940 4
0.9296 140.848 24.336 12.168 4
0.9347 141.713 24.666 12.333 4
0.9397 142.584 24.960 12.480 4
0.9447 143.454 25.255 12.627 4
0.9497 144.325 25.550 12.775 4
0.9548 145.195 25.847 12.923 4
0.9598 146.066 26.144 13.072 4
0.9648 146.930 26.450 13.225 4
0.9698 147.757 26.802 13.401 4
0.9749 148.585 27.155 13.577 4
0.9799 149.412 27.508 13.754 4
0.9849 150.240 27.862 13.931 4
0.9899 151.067 28.216 14.108 4
0.9950 151.895 28.571 14.286 4
1.0000 148.463 28.748 14.374 4
