step mean std sem n
0.6683 58.370 8.343 4.817 3
0.6734 59.243 8.495 4.905 3
0.6784 60.115 8.648 4.993 3
0.6834 60.988 8.800 5.081 3
0.6884 61.860 8.953 5.169 3
0.6935 62.733 9.105 5.257 3
0.6985 67.700 11.123 5.562 4
0.7035 68.832 11.341 5.671 4
0.7085 69.964 11.562 5.781 4
0.7136 71.096 11.784 5.892 4
0.7186 72.227 12.008 6.004 4
0.7236 73.359 12.233 6.117 4
0.7286 74.491 12.461 6.230 4
0.7337 75.650 12.669 6.334 4
0.7387 76.839 12.857 6.428 4
0.7437 78.028 13.045 6.523 4
0.7487 79.218 13.234 6.617 4
0.7538 80.407 13.424 6.712 4
0.7588 81.596 13.614 6.807 4
0.7638 82.785 13.804 6.902 4
0.7688 83.817 13.944 6.972 4
0.7739 84.820 14.073 7.036 4
0.7789 85.823 14.204 7.102 4
0.7839 86.826 14.337 7.168 4
0.7889 87.829 14.471 7.236 4
0.7940 88.832 14.608 7.304 4
0.7990 89.818 14.768 7.384 4
0.8040 90.751 15.004 7.502 4
0.8090 91.684 15.244 7.622 4
0.8141 92.618 15.486 7.743 4
0.8191 93.551 15.732 7.866 4
0.8241 94.484 15.980 7.990 4
0.8291 95.417 16.231 8.116 4
0.8342 96.398 16.307 8.153 4
0.8392 97.405 16.272 8.136 4
0.8442 98.413 16.238 8.119 4
0.8492 99.420 16.204 8.102 4
0.8543 100.427 16.170 8.085 4
0.8593 101.435 16.136 8.068 4
0.8643 102.440 16.105 8.052 4
0.8693 103.324 16.271 8.135 4
0.8744 104.208 16.437 8.219 4
0.8794 105.092 16.603 8.302 4
0.8844 105.976 16.770 8.385 4
0.8894 106.859 16.937 8.468 4
0.8945 107.743 17.103 8.552 4
0.8995 108.630 17.249 8.624 4
0.9045 109.518 17.358 8.679 4
0.9095 110.406 17.472 8.736 4
0.9146 111.295 17.590 8.795 4
0.9196 112.183 17.712 8.856 4
0.9246 113.071 17.839 8.920 4
0.9296 113.959 17.970 8.985 4
0.9347 114.906 18.134 9.067 4
0.9397 115.870 18.311 9.155 4
0.9447 116.835 18.489 9.245 4
0.9497 117.800 18.668 9.334 4
0.9548 118.765 18.849 9.424 4
0.9598 119.730 19.030 9.515 4
0.9648 120.677 19.222 9.611 4
0.9698 121.526 19.465 9.732 4
0.9749 122.376 19.709 9.854 4
0.9799 123.225 19.954 9.977 4
0.9849 124.075 20.200 10.100 4
0.9899 124.925 20.446 10.223 4
0.9950 125.774 20.693 10.347 4
1.0000 124.688 22.883 11.441 4
