step mean std sem n
0.4121 15.097 10.082 5.041 4
0.4171 15.309 10.223 5.112 4
0.4221 15.522 10.364 5.182 4
0.4271 15.734 10.505 5.252 4
0.4322 15.883 10.601 5.301 4
0.4372 15.984 10.665 5.332 4
0.4422 16.085 10.729 5.365 4
0.4472 16.187 10.794 5.397 4
0.4523 16.262 10.843 5.421 4
0.4573 16.311 10.874 5.437 4
0.4623 16.360 10.907 5.454 4
0.4673 16.410 10.941 5.471 4
0.4724 16.463 10.949 5.475 4
0.4774 16.522 10.923 5.462 4
0.4824 16.580 10.897 5.448 4
0.4874 16.638 10.870 5.435 4
0.4925 16.706 10.811 5.405 4
0.4975 16.789 10.695 5.347 4
0.5025 16.872 10.579 5.290 4
0.5075 16.955 10.463 5.232 4
0.5126 17.033 10.354 5.177 4
0.5176 17.101 10.261 5.130 4
0.5226 17.168 10.167 5.084 4
0.5276 17.236 10.074 5.037 4
0.5327 17.321 9.980 4.990 4
0.5377 17.462 9.886 4.943 4
0.5427 17.603 9.792 4.896 4
0.5477 17.745 9.697 4.849 4
0.5528 17.878 9.599 4.800 4
0.5578 17.974 9.483 4.741 4
0.5628 18.069 9.366 4.683 4
0.5678 18.164 9.249 4.625 4
0.5729 18.264 9.134 4.567 4
0.5779 18.408 9.036 4.518 4
0.5829 18.552 8.937 4.468 4
0.5879 18.697 8.838 4.419 4
0.5930 18.840 8.739 4.370 4
0.5980 18.922 8.616 4.308 4
0.6030 19.005 8.494 4.247 4
0.6080 19.088 8.372 4.186 4
0.6131 19.171 8.250 4.125 4
0.6181 19.289 8.124 4.062 4
0.6231 19.409 7.999 4.000 4
0.6281 19.529 7.874 3.937 4
0.6332 19.649 7.748 3.874 4
0.6382 19.736 7.631 3.815 4
0.6432 19.819 7.515 3.757 4
0.6482 19.902 7.399 3.699 4
0.6533 19.985 7.282 3.641 4
0.6583 20.060 7.154 3.577 4
0.6633 20.134 7.022 3.511 4
0.6683 20.208 6.891 3.445 4
0.6734 20.282 6.759 3.380 4
0.6784 20.381 6.650 3.325 4
0.6834 20.488 6.547 3.274 4
0.6884 20.596 6.445 3.222 4
0.6935 20.704 6.342 3.171 4
0.6985 20.815 6.239 3.119 4
0.7035 20.929 6.135 3.067 4
0.7085 21.042 6.031 3.015 4
0.7136 21.156 5.926 2.963 4
0.7186 21.260 5.820 2.910 4
0.7236 21.359 5.712 2.856 4
0.7286 21.457 5.604 2.802 4
0.7337 21.555 5.497 2.748 4
0.7387 21.662 5.386 2.693 4
0.7437 21.775 5.274 2.637 4
0.7487 21.889 5.162 2.581 4
0.7538 22.003 5.049 2.525 4
0.7588 22.102 4.939 2.470 4
0.7638 22.185 4.831 2.416 4
0.7688 22.268 4.723 2.362 4
0.7739 22.351 4.616 2.308 4
0.7789 22.432 4.507 2.253 4
0.7839 22.512 4.396 2.198 4
0.7889 22.592 4.285 2.143 4
0.7940 22.672 4.174 2.087 4
0.7990 22.764 4.070 2.035 4
0.8040 22.881 3.978 1.989 4
0.8090 22.997 3.886 1.943 4
0.8141 23.114 3.794 1.897 4
0.8191 23.221 3.717 1.858 4
0.8241 23.301 3.680 1.840 4
0.8291 23.380 3.643 1.821 4
0.8342 23.460 3.606 1.803 4
0.8392 23.546 3.565 1.783 4
0.8442 23.656 3.509 1.754 4
0.8492 23.767 3.452 1.726 4
0.8543 23.878 3.396 1.698 4
0.8593 23.990 3.333 1.667 4
0.8643 24.113 3.225 1.613 4
0.8693 24.236 3.117 1.559 4
0.8744 24.359 3.009 1.504 4
0.8794 24.479 2.904 1.452 4
0.8844 24.550 2.843 1.421 4
0.8894 24.620 2.782 1.391 4
0.8945 24.691 2.721 1.361 4
0.8995 24.762 2.660 1.330 4
0.9045 24.799 2.658 1.329 4
0.9095 24.836 2.656 1.328 4
0.9146 24.872 2.654 1.327 4
0.9196 24.909 2.653 1.326 4
0.9246 24.971 2.646 1.323 4
0.9296 25.036 2.640 1.320 4
0.9347 25.100 2.633 1.317 4
0.9397 25.165 2.628 1.314 4
0.9447 25.191 2.652 1.326 4
0.9497 25.209 2.683 1.341 4
0.9548 25.227 2.713 1.356 4
0.9598 25.246 2.744 1.372 4
0.9648 25.290 2.758 1.379 4
0.9698 25.343 2.768 1.384 4
0.9749 25.395 2.777 1.389 4
0.9799 25.447 2.788 1.394 4
0.9849 25.443 2.802 1.401 4
0.9899 25.416 2.818 1.409 4
0.9950 25.389 2.834 1.417 4
1.0000 25.363 2.851 1.425 4
