step mean std sem n
0.4121 15.865 10.585 5.293 4
0.4171 16.087 10.734 5.367 4
0.4221 16.309 10.883 5.441 4
0.4271 16.530 11.031 5.516 4
0.4322 16.685 11.136 5.568 4
0.4372 16.789 11.207 5.603 4
0.4422 16.894 11.278 5.639 4
0.4472 16.998 11.349 5.674 4
0.4523 17.062 11.392 5.696 4
0.4573 17.087 11.409 5.705 4
0.4623 17.112 11.426 5.713 4
0.4673 17.136 11.443 5.721 4
0.4724 17.154 11.455 5.727 4
0.4774 17.163 11.461 5.730 4
0.4824 17.172 11.467 5.733 4
0.4874 17.182 11.473 5.736 4
0.4925 17.197 11.483 5.742 4
0.4975 17.221 11.500 5.750 4
0.5025 17.246 11.518 5.759 4
0.5075 17.270 11.535 5.767 4
0.5126 17.294 11.551 5.776 4
0.5176 17.316 11.566 5.783 4
0.5226 17.337 11.580 5.790 4
0.5276 17.359 11.595 5.797 4
0.5327 17.387 11.613 5.807 4
0.5377 17.436 11.646 5.823 4
0.5427 17.485 11.679 5.840 4
0.5477 17.534 11.712 5.856 4
0.5528 17.581 11.744 5.872 4
0.5578 17.618 11.768 5.884 4
0.5628 17.655 11.793 5.896 4
0.5678 17.692 11.817 5.909 4
0.5729 17.728 11.841 5.921 4
0.5779 17.759 11.861 5.931 4
0.5829 17.789 11.881 5.941 4
0.5879 17.820 11.902 5.951 4
0.5930 17.851 11.922 5.961 4
0.5980 17.885 11.946 5.973 4
0.6030 17.918 11.970 5.985 4
0.6080 17.952 11.993 5.997 4
0.6131 17.986 12.017 6.009 4
0.6181 18.040 12.053 6.026 4
0.6231 18.096 12.089 6.045 4
0.6281 18.151 12.126 6.063 4
0.6332 18.206 12.163 6.081 4
0.6382 18.237 12.182 6.091 4
0.6432 18.265 12.200 6.100 4
0.6482 18.292 12.217 6.109 4
0.6533 18.320 12.235 6.117 4
0.6583 18.355 12.258 6.129 4
0.6633 18.392 12.282 6.141 4
0.6683 18.429 12.307 6.153 4
0.6734 18.466 12.332 6.166 4
0.6784 18.505 12.357 6.179 4
0.6834 18.545 12.384 6.192 4
0.6884 18.585 12.410 6.205 4
0.6935 18.625 12.437 6.219 4
0.6985 18.656 12.458 6.229 4
0.7035 18.684 12.477 6.238 4
0.7085 18.712 12.495 6.248 4
0.7136 18.739 12.514 6.257 4
0.7186 18.769 12.535 6.268 4
0.7236 18.800 12.559 6.279 4
0.7286 18.830 12.583 6.291 4
0.7337 18.861 12.607 6.303 4
0.7387 18.905 12.637 6.319 4
0.7437 18.960 12.673 6.337 4
0.7487 19.015 12.709 6.355 4
0.7538 19.071 12.745 6.373 4
0.7588 19.120 12.778 6.389 4
0.7638 19.163 12.807 6.404 4
0.7688 19.206 12.837 6.418 4
0.7739 19.249 12.866 6.433 4
0.7789 19.286 12.890 6.445 4
0.7839 19.314 12.908 6.454 4
0.7889 19.341 12.925 6.463 4
0.7940 19.369 12.943 6.471 4
0.7990 19.398 12.962 6.481 4
0.8040 19.428 12.983 6.492 4
0.8090 19.459 13.005 6.502 4
0.8141 19.490 13.026 6.513 4
0.8191 19.522 13.048 6.524 4
0.8241 19.559 13.073 6.536 4
0.8291 19.596 13.097 6.548 4
0.8342 19.632 13.121 6.560 4
0.8392 19.669 13.145 6.572 4
0.8442 19.703 13.166 6.583 4
0.8492 19.736 13.188 6.594 4
0.8543 19.770 13.210 6.605 4
0.8593 19.804 13.232 6.616 4
0.8643 19.835 13.252 6.626 4
0.8693 19.865 13.273 6.636 4
0.8744 19.896 13.294 6.647 4
0.8794 19.926 13.314 6.657 4
0.8844 19.951 13.330 6.665 4
0.8894 19.975 13.346 6.673 4
0.8945 20.000 13.362 6.681 4
0.8995 20.025 13.378 6.689 4
0.9045 20.061 13.401 6.701 4
0.9095 20.098 13.424 6.712 4
0.9146 20.135 13.448 6.724 4
0.9196 20.172 13.471 6.736 4
0.9246 20.209 13.495 6.748 4
0.9296 20.245 13.519 6.760 4
0.9347 20.282 13.544 6.772 4
0.9397 20.319 13.568 6.784 4
0.9447 20.333 13.576 6.788 4
0.9497 20.342 13.582 6.791 4
0.9548 20.351 13.587 6.794 4
0.9598 20.360 13.593 6.796 4
0.9648 20.372 13.600 6.800 4
0.9698 20.384 13.609 6.804 4
0.9749 20.397 13.617 6.809 4
0.9799 20.409 13.626 6.813 4
0.9849 20.405 13.624 6.812 4
0.9899 20.395 13.618 6.809 4
0.9950 20.385 13.613 6.806 4
1.0000 20.375 13.607 6.804 4
