step mean std sem n
0.0201 16.715 3.220 1.859 3
0.0251 21.090 3.736 1.868 4
0.0302 22.408 3.082 1.541 4
0.0352 23.454 2.241 1.121 4
0.0402 19.889 4.426 2.213 4
0.0452 21.670 5.184 2.592 4
0.0503 24.382 6.820 3.410 4
0.0553 28.777 6.471 3.236 4
0.0603 34.074 7.462 3.731 4
0.0653 38.481 7.675 3.837 4
0.0704 41.729 7.838 3.919 4
0.0754 45.646 7.315 3.658 4
0.0804 49.082 7.083 3.542 4
0.0854 50.692 7.032 3.516 4
0.0905 52.436 4.905 2.453 4
0.0955 52.825 5.130 2.565 4
0.1005 52.635 5.285 2.642 4
0.1055 53.260 4.989 2.495 4
0.1106 53.058 4.989 2.494 4
0.1156 52.586 5.977 2.989 4
0.1206 52.489 6.045 3.023 4
0.1256 52.861 5.819 2.909 4
0.1307 53.238 5.450 2.725 4
0.1357 51.245 7.134 3.567 4
0.1407 50.744 8.266 4.133 4
0.1457 52.168 7.471 3.735 4
0.1508 52.131 8.169 4.085 4
0.1558 51.086 6.605 3.302 4
0.1608 53.062 5.503 2.751 4
0.1658 54.308 4.068 2.034 4
0.1709 54.822 3.399 1.700 4
0.1759 53.802 0.727 0.364 4
0.1809 54.859 1.024 0.512 4
0.1859 55.355 1.796 0.898 4
0.1910 55.809 1.788 0.894 4
0.1960 55.440 2.607 1.304 4
0.2010 56.232 2.494 1.247 4
0.2060 63.272 12.693 6.346 4
0.2111 64.337 12.350 6.175 4
0.2161 68.390 21.911 10.955 4
0.2211 74.602 29.294 14.647 4
0.2261 74.490 27.831 13.915 4
0.2312 72.930 24.038 12.019 4
0.2362 64.449 11.339 5.669 4
0.2412 57.762 0.723 0.361 4
0.2462 62.154 9.358 4.679 4
0.2513 69.368 24.333 12.166 4
0.2563 71.404 29.228 14.614 4
0.2613 75.431 42.232 21.116 4
0.2663 85.032 57.547 28.773 4
0.2714 86.787 59.640 29.820 4
0.2764 100.762 70.554 35.277 4
0.2814 116.300 76.124 38.062 4
0.2864 114.632 68.244 34.122 4
0.2915 113.199 66.697 33.349 4
0.2965 112.449 78.896 39.448 4
0.3015 112.667 82.821 41.411 4
0.3065 117.844 96.116 48.058 4
0.3116 117.992 113.666 56.833 4
0.3166 133.391 148.507 74.254 4
0.3216 133.259 147.925 73.963 4
0.3266 139.279 159.543 79.771 4
0.3317 141.801 149.821 74.910 4
0.3367 146.569 150.164 75.082 4
0.3417 152.013 159.282 79.641 4
0.3467 166.437 167.863 83.932 4
0.3518 166.808 154.670 77.335 4
0.3568 184.769 169.412 84.706 4
0.3618 190.980 180.052 90.026 4
0.3668 174.610 135.273 67.636 4
0.3719 178.139 136.261 68.131 4
0.3769 175.171 135.898 67.949 4
0.3819 188.328 152.493 76.246 4
0.3869 188.314 151.299 75.650 4
0.3920 180.426 143.840 71.920 4
0.3970 160.664 123.224 61.612 4
0.4020 154.203 119.156 59.578 4
0.4070 149.760 115.308 57.654 4
0.4121 161.800 131.873 65.936 4
0.4171 140.420 97.740 48.870 4
0.4221 122.399 76.073 38.036 4
0.4271 117.927 65.503 32.751 4
0.4322 129.267 80.344 40.172 4
0.4372 124.957 79.730 39.865 4
0.4422 101.241 51.979 25.989 4
0.4472 92.310 48.175 24.087 4
0.4523 102.970 68.770 34.385 4
0.4573 98.951 61.026 30.513 4
0.4623 116.182 75.905 37.953 4
0.4673 108.579 83.526 41.763 4
0.4724 116.053 86.837 43.419 4
0.4774 131.091 101.398 50.699 4
0.4824 137.483 100.367 50.184 4
0.4874 147.635 94.664 47.332 4
0.4925 165.061 114.671 57.336 4
0.4975 152.016 90.686 45.343 4
0.5025 126.626 57.702 28.851 4
0.5075 114.543 57.365 28.682 4
0.5126 119.230 50.436 25.218 4
0.5176 114.169 63.037 31.518 4
0.5226 96.550 40.480 20.240 4
0.5276 99.621 37.479 18.740 4
0.5327 107.980 44.051 22.026 4
0.5377 127.526 47.861 23.931 4
0.5427 160.119 77.222 38.611 4
0.5477 161.065 82.079 41.039 4
0.5528 179.171 91.139 45.570 4
0.5578 209.225 111.708 55.854 4
0.5628 224.464 83.551 41.776 4
0.5678 233.842 86.750 43.375 4
0.5729 247.904 104.695 52.347 4
0.5779 254.669 111.236 55.618 4
0.5829 248.906 118.872 59.436 4
0.5879 257.748 111.337 55.669 4
0.5930 253.578 137.436 68.718 4
0.5980 250.984 110.774 55.387 4
0.6030 258.937 101.371 50.686 4
0.6080 267.034 87.147 43.573 4
0.6131 282.664 81.715 40.857 4
0.6181 295.932 69.588 34.794 4
0.6231 308.001 59.573 29.787 4
0.6281 324.683 78.354 39.177 4
0.6332 321.219 89.711 44.856 4
0.6382 327.791 85.011 42.506 4
0.6432 348.780 99.330 49.665 4
0.6482 339.224 123.758 61.879 4
0.6533 345.900 151.471 75.735 4
0.6583 350.981 147.474 73.737 4
0.6633 377.371 170.001 85.000 4
0.6683 400.012 151.533 75.767 4
0.6734 397.065 144.880 72.440 4
0.6784 383.470 126.843 63.422 4
0.6834 371.363 86.043 43.022 4
0.6884 366.557 73.973 36.987 4
0.6935 352.626 70.675 35.337 4
0.6985 346.164 67.396 33.698 4
0.7035 336.241 56.913 28.457 4
0.7085 311.607 59.078 29.539 4
0.7136 334.728 54.329 27.164 4
0.7186 336.961 41.528 20.764 4
0.7236 334.817 40.843 20.421 4
0.7286 339.154 68.776 34.388 4
0.7337 348.078 46.454 23.227 4
0.7387 338.354 36.786 18.393 4
0.7437 323.772 83.275 41.638 4
0.7487 315.068 139.900 69.950 4
0.7538 313.321 136.281 68.140 4
0.7588 317.247 94.458 47.229 4
0.7638 341.558 71.134 35.567 4
0.7688 350.111 53.983 26.992 4
0.7739 365.006 58.461 29.230 4
0.7789 370.536 49.944 24.972 4
0.7839 399.199 61.736 30.868 4
0.7889 383.776 76.162 38.081 4
0.7940 399.743 115.232 57.616 4
0.7990 387.946 138.472 69.236 4
0.8040 364.475 113.604 56.802 4
0.8090 335.763 130.267 65.134 4
0.8141 334.613 132.218 66.109 4
0.8191 332.379 152.743 76.371 4
0.8241 337.221 147.320 73.660 4
0.8291 327.317 115.495 57.748 4
0.8342 340.438 102.122 51.061 4
0.8392 373.330 124.629 62.315 4
0.8442 408.482 140.575 70.288 4
0.8492 428.496 132.557 66.278 4
0.8543 453.105 135.156 67.578 4
0.8593 424.816 131.240 65.620 4
0.8643 415.132 121.075 60.538 4
0.8693 426.435 111.087 55.543 4
0.8744 424.011 87.762 43.881 4
0.8794 413.082 90.961 45.481 4
0.8844 409.013 87.669 43.835 4
0.8894 388.220 86.471 43.236 4
0.8945 343.594 104.970 52.485 4
0.8995 349.399 107.625 53.812 4
0.9045 318.440 65.201 32.601 4
0.9095 347.322 61.963 30.981 4
0.9146 368.382 67.723 33.861 4
0.9196 333.214 38.474 19.237 4
0.9246 345.034 63.112 31.556 4
0.9296 355.290 68.806 34.403 4
0.9347 362.649 106.770 53.385 4
0.9397 385.161 124.317 62.158 4
0.9447 410.165 125.018 62.509 4
0.9497 417.326 103.197 51.599 4
0.9548 413.571 96.434 48.217 4
0.9598 400.176 116.402 58.201 4
0.9648 397.264 129.607 64.804 4
0.9698 371.799 167.734 83.867 4
0.9749 375.350 194.560 97.280 4
0.9799 359.655 171.910 85.955 4
0.9849 363.093 155.142 77.571 4
0.9899 384.085 114.615 57.307 4
0.9950 388.139 76.407 38.203 4
1.0000 398.125 40.592 20.296 4
