step mean std sem n
0.0201 16.110 0.000 0.000 1
0.0251 18.391 5.705 2.852 4
0.0302 19.138 7.969 3.984 4
0.0352 21.635 10.521 5.260 4
0.0402 25.425 10.668 5.334 4
0.0452 29.314 11.142 5.571 4
0.0503 31.712 12.945 6.472 4
0.0553 32.185 12.155 6.078 4
0.0603 34.124 9.758 4.879 4
0.0653 33.021 8.016 4.008 4
0.0704 34.487 5.540 2.770 4
0.0754 37.438 6.734 3.367 4
0.0804 40.004 4.192 2.096 4
0.0854 41.627 5.634 2.817 4
0.0905 46.460 6.803 3.402 4
0.0955 47.108 5.499 2.749 4
0.1005 57.100 16.910 8.455 4
0.1055 69.359 33.900 16.950 4
0.1106 70.007 33.868 16.934 4
0.1156 71.623 33.229 16.615 4
0.1206 72.971 33.043 16.521 4
0.1256 73.799 32.355 16.177 4
0.1307 73.845 31.012 15.506 4
0.1357 57.658 6.979 3.490 4
0.1407 58.806 4.961 2.480 4
0.1457 59.869 4.747 2.374 4
0.1508 61.619 5.534 2.767 4
0.1558 61.149 4.126 2.063 4
0.1608 61.314 4.931 2.466 4
0.1658 62.345 3.196 1.598 4
0.1709 61.467 3.089 1.544 4
0.1759 61.028 3.192 1.596 4
0.1809 61.324 2.638 1.319 4
0.1859 61.375 1.702 0.851 4
0.1910 61.240 1.460 0.730 4
0.1960 66.986 8.680 4.340 4
0.2010 70.380 14.463 7.231 4
0.2060 68.458 15.379 7.690 4
0.2111 67.690 14.578 7.289 4
0.2161 67.500 15.039 7.519 4
0.2211 67.543 14.307 7.154 4
0.2261 69.192 9.964 4.982 4
0.2312 66.732 19.086 9.543 4
0.2362 72.517 27.435 13.718 4
0.2412 72.869 28.587 14.293 4
0.2462 72.129 29.785 14.892 4
0.2513 71.565 28.249 14.124 4
0.2563 72.471 27.699 13.849 4
0.2613 66.417 15.568 7.784 4
0.2663 59.226 3.867 1.933 4
0.2714 60.955 5.122 2.561 4
0.2764 59.820 6.321 3.160 4
0.2814 59.462 7.123 3.561 4
0.2864 68.425 12.042 6.021 4
0.2915 69.561 16.478 8.239 4
0.2965 78.836 35.430 17.715 4
0.3015 79.994 36.078 18.039 4
0.3065 79.246 37.934 18.967 4
0.3116 80.903 38.205 19.103 4
0.3166 81.252 38.323 19.161 4
0.3216 81.764 38.928 19.464 4
0.3266 72.695 17.777 8.888 4
0.3317 61.721 2.364 1.182 4
0.3367 61.266 2.981 1.490 4
0.3417 61.491 2.596 1.298 4
0.3467 70.961 17.276 8.638 4
0.3518 86.168 47.465 23.733 4
0.3568 88.498 51.527 25.763 4
0.3618 88.035 50.733 25.366 4
0.3668 87.474 49.728 24.864 4
0.3719 86.364 49.132 24.566 4
0.3769 79.766 35.921 17.961 4
0.3819 58.430 5.064 2.532 4
0.3869 58.305 4.924 2.462 4
0.3920 58.621 5.348 2.674 4
0.3970 81.203 29.930 14.965 4
0.4020 85.775 30.825 15.412 4
0.4070 93.204 32.840 16.420 4
0.4121 94.776 37.763 18.881 4
0.4171 103.603 49.426 24.713 4
0.4221 104.715 53.567 26.783 4
0.4271 106.560 63.755 31.877 4
0.4322 108.609 64.886 32.443 4
