step mean std sem n
0.0653 81.168 0.000 0.000 1
0.0704 89.726 3.613 2.086 3
0.0754 84.487 10.746 5.373 4
0.0804 77.926 10.475 5.238 4
0.0854 70.062 18.637 9.319 4
0.0905 62.563 12.386 6.193 4
0.0955 58.352 20.444 10.222 4
0.1005 55.850 21.718 10.859 4
0.1055 59.318 25.908 12.954 4
0.1106 55.834 25.316 12.658 4
0.1156 59.155 25.989 12.994 4
0.1206 60.704 26.918 13.459 4
0.1256 60.555 28.443 14.221 4
0.1307 62.680 28.668 14.334 4
0.1357 60.587 26.237 13.119 4
0.1407 63.550 27.570 13.785 4
0.1457 63.917 26.856 13.428 4
0.1508 71.605 22.906 11.453 4
0.1558 78.513 22.969 11.484 4
0.1608 83.316 25.115 12.557 4
0.1658 85.630 25.242 12.621 4
0.1709 86.892 31.349 15.675 4
0.1759 89.140 29.402 14.701 4
0.1809 95.067 30.712 15.356 4
0.1859 98.575 30.980 15.490 4
0.1910 102.319 33.210 16.605 4
0.1960 106.157 29.960 14.980 4
0.2010 108.793 23.024 11.512 4
0.2060 113.457 21.847 10.923 4
0.2111 111.323 22.317 11.158 4
0.2161 112.035 23.639 11.819 4
0.2211 108.466 27.903 13.952 4
0.2261 108.695 24.118 12.059 4
0.2312 100.730 23.627 11.814 4
0.2362 101.050 19.722 9.861 4
0.2412 100.852 19.210 9.605 4
0.2462 98.096 7.413 3.707 4
0.2513 91.467 22.170 11.085 4
0.2563 85.999 19.306 9.653 4
0.2613 85.301 18.916 9.458 4
0.2663 83.457 13.236 6.618 4
0.2714 80.374 5.330 2.665 4
0.2764 90.021 8.600 4.300 4
0.2814 89.692 8.381 4.191 4
0.2864 88.408 10.109 5.055 4
0.2915 88.434 12.720 6.360 4
0.2965 91.723 15.520 7.760 4
0.3015 90.907 29.038 14.519 4
0.3065 93.083 35.072 17.536 4
0.3116 101.575 29.551 14.775 4
0.3166 97.714 27.837 13.918 4
0.3216 98.670 26.887 13.443 4
0.3266 94.821 29.786 14.893 4
0.3317 92.864 27.585 13.792 4
0.3367 93.099 29.924 14.962 4
0.3417 94.071 21.899 10.949 4
0.3467 92.113 15.133 7.566 4
0.3518 100.119 15.572 7.786 4
0.3568 101.280 20.593 10.297 4
0.3618 101.618 24.246 12.123 4
0.3668 102.710 28.470 14.235 4
0.3719 105.779 30.371 15.185 4
0.3769 104.458 28.013 14.007 4
0.3819 102.830 23.659 11.830 4
0.3869 110.915 22.029 11.015 4
0.3920 111.843 21.163 10.581 4
0.3970 110.033 18.763 9.382 4
0.4020 118.473 23.041 11.521 4
0.4070 120.112 18.110 9.055 4
0.4121 125.479 12.926 6.463 4
0.4171 117.697 12.247 6.123 4
0.4221 121.478 15.578 7.789 4
0.4271 127.257 26.565 13.282 4
0.4322 136.326 26.432 13.216 4
0.4372 139.522 27.789 13.894 4
0.4422 135.323 28.689 14.344 4
0.4472 134.962 28.042 14.021 4
0.4523 135.799 30.327 15.164 4
0.4573 139.576 17.877 8.939 4
0.4623 141.958 13.901 6.951 4
0.4673 147.690 1.780 0.890 4
0.4724 150.743 10.491 5.245 4
0.4774 150.110 21.231 10.616 4
0.4824 154.240 22.733 11.366 4
0.4874 157.041 23.450 11.725 4
0.4925 163.370 32.807 16.403 4
0.4975 167.059 39.470 19.735 4
0.5025 170.326 40.467 20.234 4
0.5075 166.623 45.998 22.999 4
0.5126 171.603 44.598 22.299 4
0.5176 169.372 47.786 23.893 4
0.5226 158.856 52.945 26.472 4
0.5276 156.664 55.811 27.906 4
0.5327 155.517 52.785 26.393 4
0.5377 160.043 49.143 24.571 4
0.5427 162.946 50.777 25.388 4
0.5477 155.273 48.940 24.470 4
0.5528 149.226 44.451 22.225 4
0.5578 153.807 50.414 25.207 4
0.5628 148.644 45.818 22.909 4
0.5678 132.481 23.064 11.532 4
0.5729 133.231 25.642 12.821 4
0.5779 130.904 15.329 7.665 4
0.5829 128.270 12.833 6.417 4
0.5879 129.771 15.185 7.592 4
0.5930 139.449 17.796 8.898 4
0.5980 134.910 31.643 15.821 4
0.6030 133.631 38.924 19.462 4
0.6080 129.189 38.971 19.485 4
0.6131 124.221 40.043 20.021 4
0.6181 118.401 35.848 17.924 4
0.6231 117.140 23.963 11.981 4
0.6281 111.543 22.278 11.139 4
0.6332 106.839 26.519 13.260 4
0.6382 103.328 20.002 10.001 4
0.6432 111.702 17.610 8.805 4
0.6482 106.342 16.421 8.210 4
0.6533 113.607 14.232 7.116 4
0.6583 109.641 19.715 9.857 4
0.6633 114.125 20.899 10.449 4
0.6683 116.496 13.992 6.996 4
0.6734 121.619 15.377 7.689 4
0.6784 123.743 18.343 9.171 4
0.6834 127.213 23.861 11.930 4
0.6884 131.853 24.831 12.416 4
0.6935 135.237 29.692 14.846 4
0.6985 135.593 39.608 19.804 4
0.7035 137.709 42.365 21.182 4
0.7085 138.335 47.734 23.867 4
0.7136 143.434 48.443 24.222 4
0.7186 136.938 32.359 16.179 4
0.7236 139.254 30.817 15.408 4
0.7286 141.522 19.713 9.856 4
0.7337 137.723 12.199 6.100 4
0.7387 140.153 16.290 8.145 4
0.7437 146.582 24.716 12.358 4
0.7487 147.106 30.675 15.337 4
0.7538 143.969 43.151 21.575 4
0.7588 150.735 49.547 24.774 4
0.7638 154.410 45.757 22.878 4
0.7688 156.829 45.921 22.960 4
0.7739 153.306 41.343 20.672 4
0.7789 147.150 33.875 16.937 4
0.7839 144.273 22.708 11.354 4
0.7889 146.270 32.140 16.070 4
0.7940 132.519 24.373 12.187 4
0.7990 140.204 32.969 16.485 4
0.8040 139.829 41.833 20.917 4
0.8090 134.259 41.424 20.712 4
0.8141 129.534 20.145 10.073 4
0.8191 133.930 22.246 11.123 4
0.8241 134.644 26.248 13.124 4
0.8291 126.674 31.278 15.639 4
0.8342 128.286 35.928 17.964 4
0.8392 128.102 30.796 15.398 4
0.8442 139.255 28.733 14.367 4
0.8492 141.846 25.542 12.771 4
0.8543 144.512 26.035 13.018 4
0.8593 150.389 26.092 13.046 4
0.8643 148.220 27.253 13.627 4
0.8693 157.774 30.122 15.061 4
0.8744 153.925 16.918 8.459 4
0.8794 160.352 27.322 13.661 4
0.8844 164.839 31.565 15.782 4
0.8894 162.189 28.771 14.386 4
0.8945 160.255 20.243 10.122 4
0.8995 161.437 13.995 6.998 4
0.9045 162.783 13.087 6.544 4
0.9095 157.357 26.486 13.243 4
0.9146 150.615 30.010 15.005 4
0.9196 145.366 28.630 14.315 4
