step mean std sem n
0.0653 72.223 1.134 0.802 2
0.0704 64.566 15.039 8.683 3
0.0754 61.917 16.125 9.310 3
0.0804 77.388 28.122 14.061 4
0.0854 67.074 22.406 11.203 4
0.0905 65.618 20.597 10.299 4
0.0955 59.884 18.502 9.251 4
0.1005 62.356 17.361 8.681 4
0.1055 57.197 15.746 7.873 4
0.1106 66.023 19.350 9.675 4
0.1156 71.566 27.731 13.865 4
0.1206 72.712 28.109 14.055 4
0.1256 74.794 30.687 15.344 4
0.1307 80.043 30.087 15.044 4
0.1357 83.204 32.224 16.112 4
0.1407 83.579 27.114 13.557 4
0.1457 87.084 35.103 17.551 4
0.1508 82.580 33.441 16.721 4
0.1558 84.772 34.566 17.283 4
0.1608 88.448 38.166 19.083 4
0.1658 85.181 31.920 15.960 4
0.1709 88.863 37.508 18.754 4
0.1759 89.932 41.728 20.864 4
0.1809 91.851 42.186 21.093 4
0.1859 88.880 46.535 23.267 4
0.1910 88.813 47.295 23.647 4
0.1960 84.109 46.259 23.130 4
0.2010 86.590 51.503 25.751 4
0.2060 94.818 56.025 28.013 4
0.2111 92.913 42.363 21.182 4
0.2161 91.657 37.275 18.638 4
0.2211 92.552 37.873 18.936 4
0.2261 92.335 30.454 15.227 4
0.2312 96.137 33.167 16.584 4
0.2362 101.512 31.477 15.738 4
0.2412 99.293 19.576 9.788 4
0.2462 102.905 12.497 6.248 4
0.2513 102.634 11.134 5.567 4
0.2563 101.719 12.526 6.263 4
0.2613 104.768 12.729 6.365 4
0.2663 99.318 9.111 4.556 4
0.2714 91.729 10.451 5.225 4
0.2764 100.303 11.645 5.822 4
0.2814 98.199 13.873 6.936 4
0.2864 102.757 13.122 6.561 4
0.2915 106.910 17.409 8.704 4
0.2965 109.960 22.076 11.038 4
0.3015 112.687 22.821 11.410 4
0.3065 114.111 18.358 9.179 4
0.3116 115.424 16.001 8.000 4
0.3166 120.485 21.228 10.614 4
0.3216 110.715 36.754 18.377 4
0.3266 117.236 37.871 18.936 4
0.3317 119.417 40.850 20.425 4
0.3367 122.872 42.207 21.104 4
0.3417 126.877 51.411 25.706 4
0.3467 121.137 51.352 25.676 4
0.3518 120.681 52.197 26.099 4
0.3568 119.397 53.226 26.613 4
0.3618 111.241 44.706 22.353 4
0.3668 111.205 44.289 22.145 4
0.3719 108.208 54.257 27.129 4
0.3769 110.846 58.801 29.400 4
0.3819 118.886 61.415 30.708 4
0.3869 117.267 61.471 30.735 4
0.3920 111.805 64.401 32.200 4
0.3970 110.339 53.162 26.581 4
0.4020 108.953 49.193 24.597 4
0.4070 108.989 38.404 19.202 4
0.4121 114.637 31.521 15.761 4
0.4171 115.752 24.208 12.104 4
0.4221 122.975 22.573 11.287 4
0.4271 130.629 28.666 14.333 4
0.4322 123.759 24.352 12.176 4
0.4372 122.625 22.873 11.436 4
0.4422 125.884 22.230 11.115 4
0.4472 123.002 33.781 16.890 4
0.4523 132.372 38.125 19.062 4
0.4573 135.979 35.524 17.762 4
0.4623 134.515 38.714 19.357 4
0.4673 128.352 35.379 17.690 4
0.4724 132.338 44.327 22.164 4
0.4774 132.432 40.544 20.272 4
0.4824 127.512 33.811 16.906 4
0.4874 123.698 30.363 15.181 4
0.4925 117.913 23.024 11.512 4
0.4975 121.342 23.425 11.713 4
0.5025 124.200 22.831 11.415 4
0.5075 106.324 20.541 10.271 4
0.5126 99.297 27.659 13.829 4
0.5176 100.074 21.757 10.879 4
0.5226 97.574 17.404 8.702 4
0.5276 97.918 12.572 6.286 4
0.5327 93.760 15.405 7.702 4
0.5377 91.674 25.471 12.736 4
0.5427 91.678 34.528 17.264 4
0.5477 88.524 29.881 14.941 4
0.5528 86.397 29.294 14.647 4
0.5578 95.897 33.275 16.638 4
0.5628 96.817 30.604 15.302 4
0.5678 95.964 20.559 10.280 4
0.5729 100.280 19.267 9.634 4
0.5779 110.446 17.498 8.749 4
0.5829 113.495 25.557 12.779 4
0.5879 119.949 34.865 17.433 4
0.5930 123.097 30.650 15.325 4
0.5980 122.311 27.363 13.682 4
0.6030 122.359 24.060 12.030 4
0.6080 122.195 24.839 12.420 4
0.6131 129.925 30.839 15.419 4
0.6181 130.696 44.150 22.075 4
0.6231 134.409 47.160 23.580 4
0.6281 125.927 47.047 23.524 4
0.6332 130.727 51.217 25.608 4
0.6382 131.288 61.003 30.501 4
0.6432 131.290 66.740 33.370 4
0.6482 130.770 72.428 36.214 4
0.6533 133.606 73.104 36.552 4
0.6583 131.080 70.809 35.404 4
0.6633 137.459 72.784 36.392 4
0.6683 130.575 56.079 28.039 4
0.6734 131.159 57.457 28.729 4
0.6784 129.932 56.767 28.383 4
0.6834 131.505 53.656 26.828 4
0.6884 118.922 21.136 10.568 4
0.6935 125.890 15.529 7.764 4
0.6985 122.028 18.018 9.009 4
0.7035 108.495 14.693 7.347 4
0.7085 117.058 20.765 10.382 4
0.7136 121.999 25.143 12.572 4
0.7186 126.372 33.767 16.883 4
0.7236 122.219 36.405 18.203 4
0.7286 124.731 33.559 16.780 4
0.7337 132.920 39.127 19.564 4
0.7387 134.814 42.972 21.486 4
0.7437 142.356 45.559 22.779 4
0.7487 137.509 48.244 24.122 4
0.7538 138.891 50.541 25.271 4
0.7588 148.786 53.081 26.541 4
