step mean std sem n
0.0201 5.625 2.652 1.875 2
0.0251 80.333 129.412 74.716 3
0.0302 133.601 214.052 123.583 3
0.0352 189.813 292.117 168.654 3
0.0402 180.171 249.212 143.883 3
0.0452 218.327 297.893 171.989 3
0.0503 200.804 261.362 150.897 3
0.0553 248.234 251.951 145.464 3
0.0603 174.011 210.237 105.118 4
0.0653 163.347 124.546 62.273 4
0.0704 178.700 121.443 60.721 4
0.0754 208.234 134.430 67.215 4
0.0804 214.698 139.981 69.990 4
0.0854 212.793 139.850 69.925 4
0.0905 230.161 153.338 76.669 4
0.0955 250.138 125.155 62.578 4
0.1005 338.960 102.574 51.287 4
0.1055 357.625 139.789 69.895 4
0.1106 393.340 179.658 89.829 4
0.1156 441.001 245.851 122.925 4
0.1206 474.604 241.265 120.632 4
0.1256 472.156 212.946 106.473 4
0.1307 471.359 191.070 95.535 4
0.1357 545.776 214.413 107.206 4
0.1407 606.428 142.944 71.472 4
0.1457 594.968 120.156 60.078 4
0.1508 594.116 118.649 59.324 4
0.1558 582.964 135.666 67.833 4
0.1608 622.830 168.599 84.299 4
0.1658 624.366 169.422 84.711 4
0.1709 668.199 153.433 76.717 4
0.1759 680.900 118.127 59.064 4
0.1809 728.202 148.854 74.427 4
0.1859 700.646 120.680 60.340 4
0.1910 703.218 126.319 63.160 4
0.1960 694.029 158.404 79.202 4
0.2010 678.194 186.946 93.473 4
0.2060 695.989 149.429 74.715 4
0.2111 698.558 151.142 75.571 4
0.2161 692.288 163.222 81.611 4
0.2211 691.500 161.581 80.791 4
0.2261 694.116 156.722 78.361 4
0.2312 711.219 121.353 60.676 4
0.2362 686.818 169.980 84.990 4
0.2412 709.040 119.432 59.716 4
0.2462 686.407 172.493 86.246 4
0.2513 685.440 172.998 86.499 4
0.2563 690.147 168.226 84.113 4
0.2613 706.154 144.040 72.020 4
0.2663 717.140 125.613 62.807 4
0.2714 712.915 133.502 66.751 4
0.2764 716.340 127.291 63.646 4
0.2814 712.974 137.194 68.597 4
0.2864 703.706 154.281 77.140 4
0.2915 703.444 154.400 77.200 4
0.2965 676.237 206.733 103.367 4
0.3015 676.822 207.082 103.541 4
0.3065 677.343 204.882 102.441 4
0.3116 677.656 202.207 101.103 4
0.3166 690.270 175.371 87.686 4
0.3216 704.540 148.769 74.385 4
0.3266 707.440 145.830 72.915 4
0.3317 738.144 174.930 87.465 4
0.3367 711.389 145.026 72.513 4
0.3417 777.496 68.732 34.366 4
0.3467 755.609 32.092 16.046 4
0.3518 791.665 68.622 34.311 4
0.3568 778.243 45.358 22.679 4
0.3618 791.466 35.522 17.761 4
0.3668 791.562 47.505 23.752 4
0.3719 790.000 48.219 24.109 4
0.3769 802.323 41.631 20.815 4
0.3819 815.797 103.804 51.902 4
0.3869 796.157 32.785 16.393 4
0.3920 803.582 45.178 22.589 4
0.3970 791.093 19.389 9.695 4
0.4020 802.614 60.687 30.344 4
0.4070 798.569 30.275 15.137 4
0.4121 777.509 22.248 11.124 4
0.4171 811.559 47.221 23.610 4
0.4221 826.005 66.556 33.278 4
0.4271 818.529 92.239 46.120 4
0.4322 812.701 94.946 47.473 4
0.4372 845.909 79.575 39.787 4
0.4422 830.763 82.501 41.251 4
0.4472 810.351 95.539 47.769 4
0.4523 808.937 95.203 47.601 4
0.4573 806.416 90.747 45.373 4
0.4623 803.715 86.636 43.318 4
0.4673 817.984 116.655 58.328 4
0.4724 781.988 47.465 23.732 4
0.4774 800.423 77.499 38.750 4
0.4824 800.683 77.433 38.716 4
0.4874 799.188 77.862 38.931 4
0.4925 799.188 77.862 38.931 4
0.4975 799.619 78.676 39.338 4
0.5025 770.876 129.687 64.843 4
0.5075 796.470 89.338 44.669 4
0.5126 801.312 83.059 41.530 4
0.5176 792.253 68.788 34.394 4
0.5226 779.890 46.671 23.335 4
0.5276 750.814 31.485 15.743 4
0.5327 753.043 29.033 14.517 4
0.5377 754.354 28.900 14.450 4
0.5427 753.664 28.907 14.454 4
0.5477 755.188 30.202 15.101 4
0.5528 756.750 28.382 14.191 4
0.5578 720.934 91.968 45.984 4
0.5628 695.565 100.249 50.125 4
0.5678 723.165 86.201 43.101 4
0.5729 759.770 26.441 13.220 4
0.5779 778.963 35.007 17.504 4
0.5829 778.121 36.994 18.497 4
0.5879 782.690 36.533 18.266 4
0.5930 800.628 59.193 29.596 4
0.5980 849.941 109.688 54.844 4
0.6030 850.869 109.742 54.871 4
0.6080 849.750 108.194 54.097 4
0.6131 846.414 103.573 51.787 4
0.6181 850.976 111.961 55.980 4
0.6231 849.284 109.976 54.988 4
0.6281 847.873 109.768 54.884 4
0.6332 860.098 93.626 46.813 4
0.6382 864.512 91.070 45.535 4
0.6432 861.836 92.138 46.069 4
0.6482 804.231 70.607 35.304 4
0.6533 824.436 89.164 44.582 4
0.6583 778.937 30.081 15.041 4
0.6633 771.322 25.949 12.974 4
0.6683 769.251 27.015 13.507 4
0.6734 770.137 29.295 14.648 4
0.6784 769.709 28.580 14.290 4
0.6834 770.340 26.960 13.480 4
0.6884 769.103 29.841 14.920 4
0.6935 769.608 29.674 14.837 4
0.6985 769.555 27.778 13.889 4
0.7035 746.268 29.172 14.586 4
0.7085 755.688 19.854 9.927 4
0.7136 754.935 20.759 10.379 4
0.7186 754.560 21.575 10.787 4
0.7236 754.305 21.556 10.778 4
0.7286 754.472 21.347 10.674 4
0.7337 754.590 21.668 10.834 4
0.7387 747.571 13.008 6.504 4
0.7437 757.121 20.700 10.350 4
0.7487 755.464 22.405 11.203 4
0.7538 755.315 22.220 11.110 4
0.7588 756.688 21.231 10.616 4
0.7638 755.975 18.224 9.112 4
0.7688 771.667 22.384 11.192 4
0.7739 767.157 15.528 7.764 4
0.7789 793.889 63.605 31.802 4
0.7839 791.327 65.649 32.825 4
0.7889 832.227 146.245 73.122 4
0.7940 843.975 169.814 84.907 4
0.7990 842.698 167.156 83.578 4
0.8040 843.862 166.529 83.265 4
0.8090 844.137 166.412 83.206 4
0.8141 841.991 167.822 83.911 4
0.8191 813.441 109.290 54.645 4
0.8241 808.076 98.732 49.366 4
0.8291 808.875 100.301 50.151 4
0.8342 820.630 59.912 29.956 4
0.8392 781.887 56.006 28.003 4
0.8442 754.188 18.452 9.226 4
0.8492 749.240 16.299 8.149 4
0.8543 749.394 16.037 8.019 4
0.8593 748.381 16.893 8.446 4
0.8643 750.494 19.560 9.780 4
0.8693 784.806 54.119 27.059 4
0.8744 751.514 17.136 8.568 4
0.8794 751.193 20.118 10.059 4
0.8844 741.795 76.605 38.303 4
0.8894 776.008 38.688 19.344 4
0.8945 761.442 15.316 7.658 4
0.8995 751.139 20.251 10.125 4
0.9045 750.625 21.001 10.501 4
0.9095 753.173 22.344 11.172 4
0.9146 680.312 144.982 72.491 4
0.9196 642.363 220.213 110.107 4
0.9246 643.326 218.332 109.166 4
0.9296 644.181 218.777 109.389 4
0.9347 646.100 217.341 108.671 4
0.9397 646.375 216.794 108.397 4
0.9447 684.227 140.982 70.491 4
0.9497 683.375 140.304 70.152 4
0.9548 718.309 64.782 32.391 4
0.9598 729.976 104.756 52.378 4
0.9648 716.269 65.652 32.826 4
0.9698 753.782 33.644 16.822 4
0.9749 753.794 33.261 16.630 4
0.9799 753.721 32.923 16.461 4
0.9849 753.875 35.657 17.828 4
0.9899 753.638 37.804 18.902 4
0.9950 755.264 38.733 19.367 4
1.0000 755.312 36.055 18.027 4
