step mean std sem n
0.0201 67.290 89.859 63.540 2
0.0251 66.313 88.477 62.563 2
0.0302 49.238 72.616 41.925 3
0.0352 95.426 124.909 62.455 4
0.0402 166.185 211.161 105.580 4
0.0452 196.649 246.810 123.405 4
0.0503 244.518 245.415 122.708 4
0.0553 280.812 224.980 112.490 4
0.0603 309.843 226.175 113.088 4
0.0653 335.830 229.571 114.785 4
0.0704 387.309 254.914 127.457 4
0.0754 445.136 306.596 153.298 4
0.0804 459.006 318.668 159.334 4
0.0854 445.672 308.774 154.387 4
0.0905 458.228 307.126 153.563 4
0.0955 485.296 316.608 158.304 4
0.1005 534.754 343.046 171.523 4
0.1055 542.000 300.317 150.159 4
0.1106 570.714 221.324 110.662 4
0.1156 583.397 215.921 107.960 4
0.1206 615.565 205.598 102.799 4
0.1256 620.284 143.943 71.971 4
0.1307 656.955 105.098 52.549 4
0.1357 683.252 143.943 71.971 4
0.1407 670.873 153.226 76.613 4
0.1457 665.876 158.249 79.124 4
0.1508 662.111 108.125 54.062 4
0.1558 628.283 113.852 56.926 4
0.1608 700.568 149.320 74.660 4
0.1658 723.904 124.594 62.297 4
0.1709 684.349 101.627 50.813 4
0.1759 667.017 127.387 63.693 4
0.1809 662.701 113.456 56.728 4
0.1859 654.903 158.084 79.042 4
0.1910 681.404 124.057 62.028 4
0.1960 695.044 113.933 56.967 4
0.2010 671.819 149.519 74.759 4
0.2060 755.551 116.229 58.114 4
0.2111 742.133 82.082 41.041 4
0.2161 752.634 34.393 17.196 4
0.2211 800.901 93.736 46.868 4
0.2261 792.747 68.029 34.014 4
0.2312 831.855 139.520 69.760 4
0.2362 832.577 138.607 69.304 4
0.2412 834.355 136.544 68.272 4
0.2462 839.742 127.344 63.672 4
0.2513 858.124 134.596 67.298 4
0.2563 857.938 133.289 66.645 4
0.2613 833.827 106.506 53.253 4
0.2663 834.482 97.288 48.644 4
0.2714 816.026 131.499 65.750 4
0.2764 845.035 72.642 36.321 4
0.2814 835.018 65.275 32.637 4
0.2864 899.791 139.285 69.642 4
0.2915 885.728 139.689 69.844 4
0.2965 896.655 155.431 77.715 4
0.3015 904.294 166.830 83.415 4
0.3065 910.787 179.436 89.718 4
0.3116 915.071 186.305 93.152 4
0.3166 925.747 225.133 112.566 4
0.3216 887.605 345.505 172.752 4
0.3266 867.780 239.919 119.959 4
0.3317 884.953 252.021 126.010 4
0.3367 915.172 312.610 156.305 4
0.3417 942.910 372.374 186.187 4
0.3467 974.266 433.815 216.908 4
0.3518 987.897 447.533 223.766 4
0.3568 1067.439 527.679 263.839 4
0.3618 1028.935 410.501 205.251 4
0.3668 1048.875 405.038 202.519 4
0.3719 1048.875 405.038 202.519 4
0.3769 1029.295 367.226 183.613 4
0.3819 1004.592 318.871 159.436 4
0.3869 989.470 284.552 142.276 4
0.3920 934.177 183.162 91.581 4
0.3970 878.209 117.095 58.547 4
0.4020 906.645 170.959 85.480 4
0.4070 870.428 179.605 89.802 4
0.4121 854.453 175.439 87.720 4
0.4171 826.691 208.067 104.034 4
0.4221 819.929 207.151 103.575 4
0.4271 819.875 207.214 103.607 4
0.4322 786.062 144.500 72.250 4
0.4372 818.607 188.509 94.254 4
0.4422 819.616 96.526 48.263 4
0.4472 814.161 83.532 41.766 4
0.4523 801.889 53.155 26.578 4
0.4573 787.346 27.356 13.678 4
0.4623 783.188 21.632 10.816 4
0.4673 781.783 19.902 9.951 4
0.4724 796.543 43.308 21.654 4
0.4774 779.899 127.806 63.903 4
0.4824 712.062 158.290 79.145 4
0.4874 778.635 206.284 103.142 4
0.4925 797.853 135.847 67.924 4
0.4975 801.931 124.273 62.136 4
0.5025 844.730 74.120 37.060 4
0.5075 844.821 74.997 37.499 4
0.5126 824.595 69.377 34.689 4
0.5176 834.931 52.382 26.191 4
0.5226 862.895 96.798 48.399 4
0.5276 863.467 95.722 47.861 4
0.5327 916.655 198.283 99.141 4
0.5377 895.182 208.446 104.223 4
0.5427 913.578 261.286 130.643 4
0.5477 950.860 314.181 157.091 4
0.5528 971.745 302.063 151.031 4
0.5578 966.388 300.617 150.308 4
0.5628 1007.719 320.651 160.325 4
0.5678 1038.170 372.110 186.055 4
0.5729 1077.765 378.277 189.138 4
0.5779 1126.617 469.795 234.898 4
0.5829 1106.590 437.340 218.670 4
0.5879 1088.276 396.554 198.277 4
0.5930 1077.775 373.474 186.737 4
0.5980 1128.188 465.112 232.556 4
0.6030 1172.144 547.689 273.844 4
0.6080 1143.631 494.022 247.011 4
0.6131 1129.625 476.646 238.323 4
0.6181 1109.438 469.081 234.541 4
0.6231 1110.257 470.652 235.326 4
0.6281 1112.308 470.321 235.160 4
0.6332 1099.224 472.739 236.370 4
0.6382 1078.996 473.829 236.915 4
0.6432 1006.524 447.262 223.631 4
0.6482 1008.823 466.689 233.344 4
0.6533 1029.910 509.373 254.687 4
0.6583 1026.580 504.443 252.221 4
0.6633 1025.952 504.913 252.457 4
0.6683 1026.188 504.736 252.368 4
0.6734 1026.201 504.764 252.382 4
0.6784 1026.052 504.493 252.246 4
0.6834 1003.877 522.219 261.110 4
0.6884 1026.491 503.047 251.523 4
0.6935 1025.626 501.319 250.660 4
0.6985 1032.158 504.223 252.112 4
0.7035 1055.014 560.612 280.306 4
0.7085 1053.524 559.504 279.752 4
0.7136 1018.396 491.196 245.598 4
0.7186 1056.635 475.326 237.663 4
0.7236 1044.831 477.381 238.691 4
0.7286 1030.138 487.434 243.717 4
0.7337 1020.062 495.817 247.909 4
0.7387 1020.783 493.582 246.791 4
0.7437 1064.771 583.320 291.660 4
0.7487 1025.394 500.696 250.348 4
0.7538 1027.014 499.712 249.856 4
0.7588 1026.944 500.576 250.288 4
0.7638 1025.952 499.597 249.799 4
0.7688 1049.995 486.294 243.147 4
0.7739 1057.169 480.339 240.170 4
0.7789 1034.550 394.791 197.396 4
0.7839 1086.571 470.642 235.321 4
0.7889 1127.327 467.650 233.825 4
0.7940 1152.726 473.149 236.574 4
0.7990 1165.753 541.635 270.818 4
0.8040 1179.005 568.224 284.112 4
0.8090 1166.912 546.024 273.012 4
0.8141 1132.221 473.822 236.911 4
0.8191 1143.116 475.310 237.655 4
0.8241 1153.896 477.538 238.769 4
0.8291 1105.733 475.092 237.546 4
0.8342 1146.002 476.106 238.053 4
0.8392 1148.665 477.603 238.802 4
0.8442 1146.784 474.645 237.322 4
0.8492 1125.512 439.732 219.866 4
0.8543 1197.603 524.978 262.489 4
0.8593 1185.850 499.133 249.567 4
0.8643 1161.925 496.805 248.402 4
0.8693 1128.775 483.725 241.862 4
0.8744 1162.351 498.556 249.278 4
0.8794 1205.041 529.167 264.583 4
0.8844 1161.040 496.142 248.071 4
0.8894 1162.852 494.889 247.444 4
0.8945 1178.063 507.435 253.718 4
0.8995 1213.598 497.050 248.525 4
0.9045 1187.050 463.231 231.615 4
0.9095 1219.757 513.688 256.844 4
0.9146 1254.737 561.582 280.791 4
0.9196 1258.442 544.286 272.143 4
0.9246 1290.208 584.713 292.357 4
0.9296 1266.615 553.005 276.503 4
0.9347 1252.726 538.907 269.454 4
0.9397 1253.227 538.299 269.149 4
0.9447 1267.610 567.207 283.603 4
0.9497 1288.717 575.920 287.960 4
0.9548 1207.507 498.895 249.447 4
0.9598 1215.341 505.568 252.784 4
0.9648 1272.639 585.058 292.529 4
0.9698 1245.194 542.360 271.180 4
0.9749 1222.932 509.946 254.973 4
0.9799 1223.856 510.497 255.248 4
0.9849 1224.437 560.400 280.200 4
0.9899 1211.464 495.512 247.756 4
0.9950 1218.993 503.845 251.922 4
1.0000 1131.688 460.870 230.435 4
