step mean std sem n
0.0201 3.750 4.330 2.165 4
0.0251 5.220 5.811 2.905 4
0.0302 7.500 6.770 3.385 4
0.0352 6.596 4.999 2.499 4
0.0402 5.311 2.073 1.036 4
0.0452 5.110 2.693 1.346 4
0.0503 6.634 2.850 1.425 4
0.0553 6.541 3.340 1.670 4
0.0603 7.171 6.159 3.079 4
0.0653 8.460 4.512 2.256 4
0.0704 9.151 5.661 2.831 4
0.0754 8.814 5.063 2.532 4
0.0804 7.453 3.428 1.714 4
0.0854 6.940 5.481 2.741 4
0.0905 8.982 7.518 3.759 4
0.0955 8.893 6.868 3.434 4
0.1005 9.372 5.545 2.772 4
0.1055 10.542 7.047 3.524 4
0.1106 9.534 6.273 3.136 4
0.1156 11.751 4.842 2.421 4
0.1206 12.168 3.534 1.767 4
0.1256 14.069 2.763 1.381 4
0.1307 16.577 3.432 1.716 4
0.1357 18.697 3.311 1.655 4
0.1407 19.506 5.799 2.900 4
0.1457 22.523 4.625 2.313 4
0.1508 20.988 6.730 3.365 4
0.1558 18.358 7.383 3.691 4
0.1608 15.744 7.448 3.724 4
0.1658 15.113 7.157 3.578 4
0.1709 15.602 9.051 4.526 4
0.1759 16.438 11.312 5.656 4
0.1809 16.879 11.794 5.897 4
0.1859 19.908 12.629 6.314 4
0.1910 18.416 11.491 5.745 4
0.1960 20.491 12.712 6.356 4
0.2010 20.074 10.527 5.263 4
0.2060 20.912 11.823 5.912 4
0.2111 23.246 10.848 5.424 4
0.2161 25.846 10.660 5.330 4
0.2211 25.988 8.879 4.439 4
0.2261 28.631 5.879 2.940 4
0.2312 28.696 7.732 3.866 4
0.2362 31.360 9.304 4.652 4
0.2412 32.100 12.008 6.004 4
0.2462 32.639 13.367 6.684 4
0.2513 29.375 13.288 6.644 4
0.2563 30.553 13.851 6.926 4
0.2613 33.872 17.815 8.908 4
0.2663 37.667 21.182 10.591 4
0.2714 35.704 16.605 8.303 4
0.2764 37.440 19.460 9.730 4
0.2814 35.019 20.536 10.268 4
0.2864 36.410 16.328 8.164 4
0.2915 39.586 16.986 8.493 4
0.2965 41.131 17.612 8.806 4
0.3015 40.556 13.077 6.539 4
0.3065 38.967 14.682 7.341 4
0.3116 33.400 10.499 5.250 4
0.3166 34.394 10.376 5.188 4
0.3216 37.183 9.738 4.869 4
0.3266 36.928 14.781 7.391 4
0.3317 33.482 17.294 8.647 4
0.3367 33.773 15.700 7.850 4
0.3417 33.846 13.447 6.723 4
0.3467 36.810 11.573 5.786 4
0.3518 35.671 8.328 4.164 4
0.3568 37.775 9.674 4.837 4
0.3618 34.396 11.608 5.804 4
0.3668 35.149 9.569 4.785 4
0.3719 35.187 10.955 5.477 4
0.3769 37.773 11.652 5.826 4
0.3819 39.975 13.184 6.592 4
0.3869 41.390 15.187 7.594 4
0.3920 41.236 16.115 8.058 4
0.3970 41.074 18.245 9.122 4
0.4020 44.496 17.219 8.610 4
0.4070 44.308 15.900 7.950 4
0.4121 47.801 17.242 8.621 4
0.4171 47.268 15.449 7.725 4
0.4221 45.858 17.959 8.979 4
0.4271 46.822 16.581 8.290 4
0.4322 43.796 15.676 7.838 4
0.4372 45.988 19.774 9.887 4
0.4422 42.168 23.102 11.551 4
0.4472 41.529 26.259 13.130 4
0.4523 45.045 26.716 13.358 4
0.4573 46.942 27.760 13.880 4
0.4623 48.573 27.057 13.528 4
0.4673 53.223 26.420 13.210 4
0.4724 54.951 27.033 13.516 4
0.4774 55.451 24.200 12.100 4
0.4824 56.133 20.397 10.198 4
0.4874 55.617 21.189 10.594 4
0.4925 56.108 21.104 10.552 4
0.4975 54.019 22.354 11.177 4
0.5025 53.265 19.823 9.911 4
0.5075 49.604 18.516 9.258 4
0.5126 51.201 17.284 8.642 4
0.5176 50.633 18.285 9.142 4
0.5226 51.844 19.149 9.575 4
0.5276 52.825 21.025 10.513 4
0.5327 53.845 22.966 11.483 4
0.5377 51.671 21.387 10.693 4
0.5427 48.164 17.166 8.583 4
0.5477 48.230 19.935 9.968 4
0.5528 50.812 22.085 11.043 4
0.5578 51.915 20.548 10.274 4
0.5628 49.519 18.005 9.003 4
0.5678 49.373 16.399 8.199 4
0.5729 49.878 17.301 8.651 4
0.5779 47.393 16.799 8.399 4
0.5829 42.076 14.187 7.094 4
0.5879 41.840 15.982 7.991 4
0.5930 45.830 16.458 8.229 4
0.5980 44.154 13.926 6.963 4
0.6030 45.594 15.534 7.767 4
0.6080 43.220 19.441 9.720 4
0.6131 47.135 20.611 10.306 4
0.6181 46.362 12.419 6.209 4
0.6231 45.558 14.007 7.004 4
0.6281 47.285 15.195 7.598 4
0.6332 48.951 14.963 7.482 4
0.6382 47.476 11.605 5.802 4
0.6432 47.570 15.444 7.722 4
0.6482 51.007 15.148 7.574 4
0.6533 53.596 14.597 7.299 4
0.6583 52.342 16.311 8.156 4
0.6633 51.997 15.789 7.894 4
0.6683 50.909 12.053 6.026 4
0.6734 48.929 16.181 8.090 4
0.6784 51.767 12.698 6.349 4
0.6834 54.204 16.633 8.317 4
0.6884 51.624 19.025 9.513 4
0.6935 51.789 13.153 6.577 4
0.6985 51.118 10.414 5.207 4
0.7035 51.191 15.468 7.734 4
0.7085 47.762 12.761 6.380 4
0.7136 47.816 13.621 6.810 4
0.7186 50.099 16.274 8.137 4
0.7236 48.074 15.370 7.685 4
0.7286 45.484 9.929 4.964 4
0.7337 45.890 8.606 4.303 4
0.7387 44.415 8.265 4.132 4
0.7437 44.003 13.352 6.676 4
0.7487 43.992 10.358 5.179 4
0.7538 47.108 10.140 5.070 4
0.7588 53.050 8.122 4.061 4
0.7638 50.759 12.583 6.292 4
0.7688 52.723 12.495 6.248 4
0.7739 59.928 14.533 7.267 4
0.7789 64.186 16.215 8.107 4
0.7839 62.810 19.134 9.567 4
0.7889 66.348 20.272 10.136 4
0.7940 66.805 20.224 10.112 4
0.7990 61.410 22.720 11.360 4
0.8040 59.771 17.288 8.644 4
0.8090 52.418 22.239 11.120 4
0.8141 45.207 24.682 12.341 4
0.8191 46.977 17.626 8.813 4
0.8241 48.218 12.604 6.302 4
0.8291 48.888 14.791 7.395 4
0.8342 49.344 10.340 5.170 4
0.8392 50.353 4.471 2.235 4
0.8442 49.555 3.529 1.764 4
0.8492 51.218 5.531 2.766 4
0.8543 51.491 10.358 5.179 4
0.8593 53.592 10.805 5.402 4
0.8643 57.439 11.595 5.797 4
0.8693 60.261 13.334 6.667 4
0.8744 58.376 15.448 7.724 4
0.8794 59.779 17.509 8.754 4
0.8844 60.653 17.416 8.708 4
0.8894 59.409 13.994 6.997 4
0.8945 56.615 20.089 10.045 4
0.8995 62.417 23.434 11.717 4
0.9045 63.198 20.354 10.177 4
0.9095 60.237 21.952 10.976 4
0.9146 59.211 22.000 11.000 4
0.9196 57.119 12.751 6.376 4
0.9246 57.893 10.492 5.246 4
0.9296 57.928 9.033 4.516 4
0.9347 56.946 4.382 2.191 4
0.9397 60.891 4.396 2.198 4
0.9447 59.208 4.773 2.386 4
0.9497 58.572 6.208 3.104 4
0.9548 62.183 8.218 4.109 4
0.9598 60.809 10.369 5.184 4
0.9648 65.470 11.512 5.756 4
0.9698 64.825 14.834 7.417 4
0.9749 67.155 11.459 5.730 4
0.9799 67.382 9.062 4.531 4
0.9849 66.749 10.098 5.049 4
0.9899 68.835 13.036 6.518 4
0.9950 64.354 12.640 6.320 4
1.0000 63.125 12.311 6.156 4
