step mean std sem n
0.0201 5.933 4.685 2.343 4
0.0251 6.747 6.037 3.019 4
0.0302 8.127 5.133 2.566 4
0.0352 7.055 3.779 1.890 4
0.0402 7.216 1.611 0.806 4
0.0452 8.916 2.416 1.208 4
0.0503 9.375 3.146 1.573 4
0.0553 9.544 1.520 0.760 4
0.0603 8.125 4.270 2.135 4
0.0653 5.625 3.750 1.875 4
0.0704 5.549 5.070 2.535 4
0.0754 5.339 3.519 1.759 4
0.0804 6.543 6.284 3.142 4
0.0854 6.875 5.543 2.772 4
0.0905 7.358 4.776 2.388 4
0.0955 7.500 4.564 2.282 4
0.1005 6.875 3.750 1.875 4
0.1055 6.568 2.555 1.277 4
0.1106 5.409 0.818 0.409 4
0.1156 6.759 3.071 1.535 4
0.1206 10.179 4.542 2.271 4
0.1256 11.348 4.467 2.233 4
0.1307 10.603 6.864 3.432 4
0.1357 11.250 6.614 3.307 4
0.1407 10.068 7.821 3.910 4
0.1457 9.772 9.078 4.539 4
0.1508 10.043 8.286 4.143 4
0.1558 8.979 8.461 4.231 4
0.1608 7.377 4.747 2.373 4
0.1658 6.492 6.170 3.085 4
0.1709 6.957 6.936 3.468 4
0.1759 8.391 8.517 4.259 4
0.1809 8.905 9.419 4.709 4
0.1859 10.444 7.865 3.932 4
0.1910 11.078 5.578 2.789 4
0.1960 13.639 4.942 2.471 4
0.2010 15.520 4.685 2.343 4
0.2060 15.146 3.542 1.771 4
0.2111 14.211 3.125 1.563 4
0.2161 16.014 4.076 2.038 4
0.2211 15.067 4.456 2.228 4
0.2261 16.477 5.296 2.648 4
0.2312 15.885 6.814 3.407 4
0.2362 17.799 7.405 3.703 4
0.2412 19.109 7.083 3.542 4
0.2462 19.138 9.971 4.985 4
0.2513 20.162 11.684 5.842 4
0.2563 20.971 8.183 4.092 4
0.2613 21.241 9.880 4.940 4
0.2663 23.759 9.498 4.749 4
0.2714 27.775 9.530 4.765 4
0.2764 31.250 10.104 5.052 4
0.2814 30.957 10.778 5.389 4
0.2864 30.114 12.264 6.132 4
0.2915 30.475 13.358 6.679 4
0.2965 29.144 15.206 7.603 4
0.3015 30.742 19.399 9.700 4
0.3065 31.533 18.885 9.442 4
0.3116 31.290 24.189 12.095 4
0.3166 30.043 21.586 10.793 4
0.3216 30.996 22.351 11.175 4
0.3266 28.943 20.310 10.155 4
0.3317 30.394 17.712 8.856 4
0.3367 34.773 19.526 9.763 4
0.3417 37.074 16.758 8.379 4
0.3467 34.717 14.814 7.407 4
0.3518 35.776 13.464 6.732 4
0.3568 36.596 12.718 6.359 4
0.3618 37.975 11.127 5.563 4
0.3668 43.249 11.689 5.845 4
0.3719 42.911 11.938 5.969 4
0.3769 45.137 10.252 5.126 4
0.3819 47.860 13.389 6.695 4
0.3869 46.840 17.423 8.712 4
0.3920 45.665 14.462 7.231 4
0.3970 48.411 15.474 7.737 4
0.4020 51.958 13.761 6.881 4
0.4070 47.681 16.542 8.271 4
0.4121 48.889 18.354 9.177 4
0.4171 46.079 21.258 10.629 4
0.4221 46.076 19.215 9.608 4
0.4271 43.564 17.619 8.810 4
0.4322 40.681 16.894 8.447 4
0.4372 44.223 18.253 9.126 4
0.4422 50.893 19.158 9.579 4
0.4472 51.157 18.546 9.273 4
0.4523 50.711 20.427 10.213 4
0.4573 49.698 14.301 7.150 4
0.4623 48.879 11.950 5.975 4
0.4673 49.940 11.538 5.769 4
0.4724 50.186 10.668 5.334 4
0.4774 51.465 11.643 5.822 4
0.4824 52.242 9.139 4.569 4
0.4874 54.882 8.312 4.156 4
0.4925 52.237 11.439 5.720 4
0.4975 53.312 10.173 5.087 4
0.5025 51.820 9.727 4.864 4
0.5075 51.291 12.327 6.163 4
