step mean std sem n
0.0302 30.000 0.000 0.000 1
0.0352 16.667 15.275 8.819 3
0.0402 20.000 14.142 7.071 4
0.0452 22.530 20.668 10.334 4
0.0503 27.816 30.461 15.231 4
0.0553 26.563 46.697 23.349 4
0.0603 31.758 51.061 25.530 4
0.0653 34.854 50.375 25.188 4
0.0704 32.416 45.570 22.785 4
0.0754 28.863 38.599 19.300 4
0.0804 30.000 34.641 17.321 4
0.0854 28.495 39.601 19.801 4
0.0905 33.373 44.293 22.147 4
0.0955 43.102 57.886 28.943 4
0.1005 50.000 70.711 35.355 4
0.1055 57.653 76.644 38.322 4
0.1106 63.559 85.752 42.876 4
0.1156 72.760 88.152 44.076 4
0.1206 75.168 89.153 44.576 4
0.1256 79.613 94.002 47.001 4
0.1307 77.520 93.235 46.618 4
0.1357 82.500 95.350 47.675 4
0.1407 89.494 91.726 45.863 4
0.1457 87.500 94.296 47.148 4
0.1508 89.086 95.297 47.648 4
0.1558 89.296 95.437 47.718 4
0.1608 85.640 96.126 48.063 4
0.1658 83.579 100.165 50.082 4
0.1709 84.012 100.461 50.230 4
0.1759 91.315 94.465 47.233 4
0.1809 92.500 93.586 46.793 4
0.1859 95.939 94.346 47.173 4
0.1910 97.489 93.221 46.611 4
0.1960 100.682 95.800 47.900 4
0.2010 102.206 99.558 49.779 4
0.2060 98.078 102.739 51.370 4
0.2111 100.000 99.666 49.833 4
0.2161 90.531 94.619 47.309 4
0.2211 87.500 92.150 46.075 4
0.2261 87.500 92.150 46.075 4
0.2312 87.500 92.150 46.075 4
0.2362 87.500 92.150 46.075 4
0.2412 85.000 99.499 49.749 4
0.2462 85.330 99.124 49.562 4
0.2513 95.000 104.722 52.361 4
0.2563 97.060 101.899 50.949 4
0.2613 100.000 104.243 52.122 4
0.2663 97.500 101.448 50.724 4
0.2714 97.500 101.448 50.724 4
0.2764 95.000 98.489 49.244 4
0.2814 97.500 101.448 50.724 4
0.2864 96.822 105.317 52.659 4
0.2915 98.022 99.255 49.627 4
0.2965 93.750 97.243 48.622 4
0.3015 96.250 100.447 50.223 4
0.3065 98.750 102.987 51.493 4
0.3116 98.750 102.987 51.493 4
0.3166 101.250 100.530 50.265 4
0.3216 98.750 102.987 51.493 4
0.3266 102.500 112.657 56.329 4
0.3317 102.500 112.657 56.329 4
0.3367 102.500 107.199 53.600 4
0.3417 102.500 107.199 53.600 4
0.3467 102.500 107.199 53.600 4
0.3518 97.500 107.199 53.600 4
0.3568 97.500 107.199 53.600 4
0.3618 97.500 102.103 51.051 4
0.3668 98.153 102.981 51.490 4
0.3719 100.084 103.384 51.692 4
0.3769 102.500 101.448 50.724 4
0.3819 102.500 95.699 47.850 4
0.3869 105.000 98.489 49.244 4
0.3920 105.000 98.489 49.244 4
0.3970 107.104 101.577 50.789 4
0.4020 111.256 96.891 48.445 4
0.4070 119.349 88.162 44.081 4
0.4121 118.504 92.140 46.070 4
0.4171 125.464 89.577 44.789 4
0.4221 128.920 86.041 43.020 4
0.4271 127.189 88.265 44.132 4
0.4322 131.270 88.640 44.320 4
0.4372 130.106 93.112 46.556 4
0.4422 137.500 91.788 45.894 4
0.4472 138.190 91.522 45.761 4
0.4523 137.501 86.556 43.278 4
0.4573 142.500 88.254 44.127 4
0.4623 149.637 103.880 51.940 4
0.4673 154.683 115.738 57.869 4
0.4724 159.748 123.397 61.698 4
0.4774 175.901 109.423 54.712 4
0.4824 193.767 109.927 54.963 4
0.4874 201.743 111.522 55.761 4
0.4925 220.000 109.848 54.924 4
0.4975 234.553 107.254 53.627 4
0.5025 240.401 104.866 52.433 4
0.5075 237.500 106.888 53.444 4
0.5126 237.737 100.770 50.385 4
0.5176 242.706 106.839 53.419 4
0.5226 231.902 90.177 45.088 4
0.5276 229.668 90.017 45.009 4
0.5327 232.273 98.529 49.264 4
0.5377 239.965 102.408 51.204 4
0.5427 227.573 95.262 47.631 4
0.5477 230.346 98.929 49.465 4
0.5528 227.860 109.608 54.804 4
0.5578 230.207 106.938 53.469 4
0.5628 239.949 125.509 62.754 4
0.5678 232.829 107.179 53.590 4
