step mean std sem n
0.0251 0.000 0.000 0.000 1
0.0302 5.000 7.071 5.000 2
0.0352 3.333 5.774 3.333 3
0.0402 8.364 5.809 2.905 4
0.0452 12.500 9.574 4.787 4
0.0503 17.500 20.616 10.308 4
0.0553 20.000 23.094 11.547 4
0.0603 22.500 26.300 13.150 4
0.0653 25.000 28.868 14.434 4
0.0704 30.406 24.947 12.473 4
0.0754 35.839 30.948 15.474 4
0.0804 34.618 25.983 12.991 4
0.0854 32.500 25.000 12.500 4
0.0905 31.047 22.954 11.477 4
0.0955 34.834 25.972 12.986 4
0.1005 36.250 25.617 12.809 4
0.1055 39.044 28.432 14.216 4
0.1106 39.454 32.678 16.339 4
0.1156 48.766 38.189 19.095 4
0.1206 53.966 42.518 21.259 4
0.1256 68.307 54.838 27.419 4
0.1307 72.500 59.090 29.545 4
0.1357 80.898 69.029 34.514 4
0.1407 89.022 78.008 39.004 4
0.1457 86.772 75.075 37.538 4
0.1508 78.235 74.627 37.314 4
0.1558 81.879 70.335 35.168 4
0.1608 85.119 68.499 34.250 4
0.1658 83.037 53.174 26.587 4
0.1709 81.580 45.859 22.929 4
0.1759 80.165 37.857 18.928 4
0.1809 85.172 41.902 20.951 4
0.1859 91.741 47.586 23.793 4
0.1910 96.747 48.286 24.143 4
0.1960 100.676 51.470 25.735 4
0.2010 109.723 65.172 32.586 4
0.2060 120.738 73.412 36.706 4
0.2111 127.524 75.157 37.579 4
0.2161 142.109 65.694 32.847 4
0.2211 154.313 54.569 27.284 4
0.2261 156.365 50.195 25.097 4
0.2312 160.000 49.666 24.833 4
0.2362 168.053 43.291 21.645 4
0.2412 168.901 37.657 18.829 4
0.2462 168.031 38.446 19.223 4
0.2513 170.000 40.825 20.412 4
0.2563 165.150 47.937 23.969 4
0.2613 163.036 55.881 27.941 4
0.2663 163.475 56.977 28.488 4
0.2714 163.734 62.087 31.043 4
0.2764 163.853 64.813 32.406 4
0.2814 167.500 61.305 30.653 4
0.2864 162.033 62.726 31.363 4
0.2915 165.625 54.405 27.202 4
0.2965 166.250 55.584 27.792 4
0.3015 167.949 66.047 33.023 4
0.3065 171.168 55.797 27.899 4
0.3116 176.250 44.977 22.488 4
