step mean std sem n
0.1005 328.454 0.000 0.000 1
0.1055 356.579 4.978 3.520 2
0.1106 388.204 49.991 28.862 3
0.1156 393.490 60.447 34.899 3
0.1206 378.875 88.547 51.123 3
0.1256 384.304 99.521 57.459 3
0.1307 403.692 149.067 74.533 4
0.1357 404.234 154.269 77.135 4
0.1407 398.307 142.745 71.373 4
0.1457 402.061 137.716 68.858 4
0.1508 383.681 106.888 53.444 4
0.1558 404.857 84.507 42.253 4
0.1608 415.614 81.941 40.970 4
0.1658 434.973 82.732 41.366 4
0.1709 450.817 74.428 37.214 4
0.1759 475.559 77.240 38.620 4
0.1809 499.331 85.850 42.925 4
0.1859 512.028 92.283 46.142 4
0.1910 508.535 115.470 57.735 4
0.1960 529.003 129.454 64.727 4
0.2010 532.634 111.636 55.818 4
0.2060 539.257 110.730 55.365 4
0.2111 557.601 96.288 48.144 4
0.2161 574.802 95.477 47.739 4
0.2211 573.903 94.019 47.009 4
0.2261 583.491 79.279 39.639 4
0.2312 585.586 74.062 37.031 4
0.2362 593.681 81.142 40.571 4
0.2412 595.935 123.810 61.905 4
0.2462 609.590 102.255 51.128 4
0.2513 619.886 96.055 48.028 4
0.2563 630.049 91.448 45.724 4
0.2613 643.005 85.904 42.952 4
0.2663 675.074 92.607 46.303 4
0.2714 680.353 86.676 43.338 4
0.2764 709.930 75.751 37.876 4
0.2814 726.866 76.460 38.230 4
0.2864 737.206 84.612 42.306 4
0.2915 745.556 84.752 42.376 4
0.2965 740.944 80.729 40.365 4
0.3015 751.132 86.309 43.154 4
0.3065 764.295 97.150 48.575 4
0.3116 763.263 118.771 59.385 4
0.3166 780.045 129.146 64.573 4
0.3216 802.391 124.140 62.070 4
0.3266 814.765 121.584 60.792 4
0.3317 829.800 127.946 63.973 4
0.3367 848.701 139.439 69.719 4
0.3417 860.682 128.153 64.077 4
0.3467 871.163 115.819 57.909 4
0.3518 882.871 115.089 57.545 4
0.3568 912.855 102.941 51.471 4
0.3618 923.302 108.968 54.484 4
0.3668 920.600 119.133 59.567 4
0.3719 933.973 103.151 51.576 4
0.3769 957.380 119.769 59.884 4
0.3819 951.119 124.344 62.172 4
0.3869 936.212 104.842 52.421 4
0.3920 950.706 104.691 52.346 4
0.3970 965.086 119.419 59.710 4
0.4020 965.085 135.047 67.524 4
0.4070 944.608 122.281 61.141 4
0.4121 959.993 123.864 61.932 4
0.4171 964.856 110.730 55.365 4
0.4221 967.981 108.319 54.159 4
0.4271 966.243 114.493 57.247 4
0.4322 922.419 90.736 45.368 4
0.4372 941.632 98.831 49.415 4
0.4422 930.943 104.537 52.268 4
0.4472 928.856 115.962 57.981 4
0.4523 935.643 107.513 53.757 4
0.4573 922.384 103.348 51.674 4
0.4623 853.321 63.339 31.670 4
0.4673 848.982 63.166 31.583 4
0.4724 860.044 48.913 24.457 4
0.4774 868.483 48.938 24.469 4
0.4824 870.584 64.299 32.150 4
0.4874 878.017 78.831 39.415 4
0.4925 879.944 86.453 43.227 4
0.4975 896.153 64.484 32.242 4
0.5025 902.519 61.113 30.557 4
0.5075 904.611 55.984 27.992 4
0.5126 913.848 57.808 28.904 4
0.5176 919.945 61.369 30.685 4
0.5226 943.341 78.614 39.307 4
0.5276 953.084 82.240 41.120 4
0.5327 953.175 101.200 50.600 4
0.5377 966.581 112.487 56.243 4
0.5427 987.680 113.792 56.896 4
0.5477 1003.737 121.314 60.657 4
0.5528 1033.401 131.167 65.584 4
0.5578 1046.995 144.857 72.428 4
0.5628 1057.264 174.523 87.261 4
0.5678 1065.699 156.444 78.222 4
0.5729 1073.210 147.988 73.994 4
0.5779 1082.833 154.172 77.086 4
0.5829 1088.101 131.494 65.747 4
0.5879 1092.567 124.067 62.034 4
0.5930 1064.397 102.658 51.329 4
0.5980 1073.541 105.124 52.562 4
0.6030 1099.228 122.005 61.003 4
0.6080 1111.981 118.453 59.226 4
0.6131 1112.405 102.103 51.052 4
0.6181 1114.517 130.408 65.204 4
0.6231 1121.704 109.044 54.522 4
0.6281 1111.719 133.471 66.736 4
0.6332 1138.038 141.945 70.972 4
0.6382 1147.779 142.344 71.172 4
0.6432 1151.246 145.818 72.909 4
0.6482 1142.180 137.122 68.561 4
0.6533 1123.958 101.011 50.506 4
0.6583 1143.664 104.728 52.364 4
0.6633 1086.323 138.019 69.009 4
0.6683 1066.640 127.216 63.608 4
0.6734 1076.593 124.895 62.448 4
0.6784 1082.579 128.227 64.114 4
0.6834 1088.263 137.544 68.772 4
0.6884 1100.246 133.233 66.616 4
0.6935 1130.051 139.250 69.625 4
0.6985 1136.035 134.206 67.103 4
0.7035 1136.717 133.650 66.825 4
0.7085 1139.179 142.889 71.444 4
0.7136 1145.775 117.687 58.843 4
0.7186 1159.023 112.925 56.463 4
0.7236 1155.956 111.879 55.940 4
0.7286 1144.785 103.269 51.634 4
0.7337 1154.955 88.559 44.280 4
0.7387 1158.651 85.686 42.843 4
0.7437 1171.008 113.710 56.855 4
0.7487 1199.428 110.106 55.053 4
0.7538 1213.886 88.641 44.320 4
0.7588 1230.895 82.845 41.423 4
0.7638 1258.818 104.162 52.081 4
0.7688 1276.595 121.448 60.724 4
0.7739 1271.197 129.477 64.738 4
0.7789 1267.303 146.691 73.345 4
0.7839 1252.901 169.312 84.656 4
0.7889 1250.030 163.342 81.671 4
0.7940 1242.246 144.459 72.230 4
0.7990 1259.168 131.891 65.945 4
0.8040 1254.055 89.850 44.925 4
0.8090 1270.819 82.585 41.293 4
0.8141 1259.338 82.555 41.277 4
