step mean std sem n
0.1005 447.821 0.000 0.000 1
0.1055 449.405 0.000 0.000 1
0.1106 449.806 0.000 0.000 1
0.1156 435.787 0.000 0.000 1
0.1206 455.540 27.280 19.290 2
0.1256 446.728 12.503 7.218 3
0.1307 458.908 73.659 36.829 4
0.1357 434.586 96.955 48.478 4
0.1407 416.189 115.352 57.676 4
0.1457 416.859 101.757 50.879 4
0.1508 407.376 104.598 52.299 4
0.1558 408.969 118.081 59.041 4
0.1608 409.138 126.175 63.087 4
0.1658 428.441 108.502 54.251 4
0.1709 447.579 103.772 51.886 4
0.1759 472.042 101.941 50.970 4
0.1809 491.231 106.119 53.059 4
0.1859 500.297 111.094 55.547 4
0.1910 502.708 99.154 49.577 4
0.1960 520.302 84.806 42.403 4
0.2010 530.055 79.206 39.603 4
0.2060 548.631 89.562 44.781 4
0.2111 573.850 97.074 48.537 4
0.2161 599.182 105.982 52.991 4
0.2211 618.558 129.112 64.556 4
0.2261 622.176 108.801 54.401 4
0.2312 630.539 91.792 45.896 4
0.2362 658.281 107.250 53.625 4
0.2412 686.682 103.322 51.661 4
0.2462 718.241 108.287 54.143 4
0.2513 739.870 115.738 57.869 4
0.2563 772.738 119.881 59.940 4
0.2613 759.516 105.558 52.779 4
0.2663 744.685 95.806 47.903 4
0.2714 748.961 105.328 52.664 4
0.2764 754.106 100.389 50.195 4
0.2814 778.690 113.742 56.871 4
0.2864 809.302 126.029 63.014 4
0.2915 823.406 111.683 55.841 4
0.2965 849.607 114.459 57.230 4
0.3015 843.592 101.070 50.535 4
0.3065 814.812 72.247 36.123 4
0.3116 810.353 70.077 35.038 4
0.3166 825.508 65.475 32.737 4
0.3216 849.097 71.556 35.778 4
0.3266 850.790 66.619 33.309 4
0.3317 858.072 65.007 32.503 4
0.3367 870.097 74.841 37.420 4
0.3417 878.928 93.399 46.700 4
0.3467 882.194 102.633 51.316 4
0.3518 863.739 87.078 43.539 4
0.3568 890.157 101.328 50.664 4
0.3618 904.982 97.242 48.621 4
0.3668 909.058 97.964 48.982 4
0.3719 912.668 91.114 45.557 4
0.3769 942.744 101.439 50.720 4
0.3819 958.751 110.096 55.048 4
0.3869 979.553 117.605 58.803 4
0.3920 1021.246 115.956 57.978 4
0.3970 1051.791 112.482 56.241 4
0.4020 1071.207 130.369 65.185 4
0.4070 1087.209 150.004 75.002 4
0.4121 1076.009 126.585 63.293 4
0.4171 1093.144 133.959 66.980 4
0.4221 1080.579 103.298 51.649 4
0.4271 1090.719 74.096 37.048 4
0.4322 1115.520 66.254 33.127 4
0.4372 1146.861 53.581 26.791 4
0.4422 1157.763 80.162 40.081 4
0.4472 1146.637 35.800 17.900 4
0.4523 1154.026 42.562 21.281 4
0.4573 1165.646 57.887 28.944 4
0.4623 1180.073 53.044 26.522 4
0.4673 1199.184 42.356 21.178 4
0.4724 1202.241 34.236 17.118 4
0.4774 1195.345 37.006 18.503 4
0.4824 1192.303 37.667 18.834 4
0.4874 1147.654 39.289 19.644 4
0.4925 1162.415 41.788 20.894 4
0.4975 1177.352 80.623 40.312 4
0.5025 1180.641 60.342 30.171 4
0.5075 1193.988 76.659 38.329 4
0.5126 1205.019 61.812 30.906 4
0.5176 1222.575 42.905 21.452 4
0.5226 1219.754 34.133 17.066 4
0.5276 1220.608 48.304 24.152 4
0.5327 1206.135 77.354 38.677 4
0.5377 1210.634 130.555 65.277 4
0.5427 1193.144 198.292 99.146 4
0.5477 1183.738 199.478 99.739 4
0.5528 1204.218 214.345 107.172 4
0.5578 1210.913 234.807 117.403 4
0.5628 1219.292 229.104 114.552 4
0.5678 1197.757 196.628 98.314 4
0.5729 1214.741 192.329 96.164 4
0.5779 1231.108 203.782 101.891 4
0.5829 1230.445 224.805 112.403 4
0.5879 1210.368 218.449 109.225 4
0.5930 1234.239 221.798 110.899 4
0.5980 1234.416 252.188 126.094 4
0.6030 1190.315 258.604 129.302 4
0.6080 1201.015 261.455 130.728 4
0.6131 1225.172 257.649 128.824 4
0.6181 1222.495 233.698 116.849 4
0.6231 1239.266 219.678 109.839 4
0.6281 1259.887 220.404 110.202 4
0.6332 1259.432 205.340 102.670 4
0.6382 1262.515 196.917 98.459 4
0.6432 1265.816 210.867 105.433 4
0.6482 1252.571 180.553 90.276 4
0.6533 1271.557 176.694 88.347 4
0.6583 1296.670 147.639 73.819 4
0.6633 1283.435 161.585 80.792 4
0.6683 1311.231 188.693 94.347 4
0.6734 1310.279 219.585 109.792 4
0.6784 1311.493 240.975 120.487 4
0.6834 1314.256 219.353 109.676 4
0.6884 1321.512 183.971 91.985 4
0.6935 1324.377 158.825 79.413 4
0.6985 1330.945 166.318 83.159 4
0.7035 1324.170 193.466 96.733 4
0.7085 1320.887 194.933 97.466 4
0.7136 1302.212 158.634 79.317 4
0.7186 1283.482 126.757 63.379 4
0.7236 1294.406 122.209 61.104 4
0.7286 1281.278 142.948 71.474 4
0.7337 1273.066 137.155 68.577 4
0.7387 1267.270 146.841 73.421 4
0.7437 1269.744 155.535 77.767 4
0.7487 1275.893 185.865 92.932 4
0.7538 1289.294 204.341 102.171 4
0.7588 1301.110 223.954 111.977 4
0.7638 1299.612 221.405 110.702 4
0.7688 1239.623 218.815 109.408 4
0.7739 1261.702 197.467 98.734 4
0.7789 1256.811 186.190 93.095 4
0.7839 1282.284 196.519 98.260 4
0.7889 1273.652 187.928 93.964 4
0.7940 1271.995 175.763 87.882 4
0.7990 1275.630 159.336 79.668 4
0.8040 1289.194 146.042 73.021 4
0.8090 1302.219 174.302 87.151 4
0.8141 1299.780 218.951 109.476 4
0.8191 1304.097 209.632 104.816 4
0.8241 1303.912 210.021 105.010 4
0.8291 1313.421 217.371 108.685 4
0.8342 1322.865 209.503 104.752 4
0.8392 1319.587 221.902 110.951 4
0.8442 1301.653 198.741 99.370 4
0.8492 1270.887 185.769 92.885 4
0.8543 1282.072 196.401 98.200 4
0.8593 1292.549 179.109 89.555 4
0.8643 1303.418 145.553 72.776 4
0.8693 1339.570 141.209 70.605 4
0.8744 1347.129 155.061 77.531 4
0.8794 1353.732 149.262 74.631 4
0.8844 1351.707 164.425 82.213 4
0.8894 1342.183 181.374 90.687 4
0.8945 1367.791 179.713 89.857 4
0.8995 1380.238 180.570 90.285 4
0.9045 1401.735 156.005 78.003 4
0.9095 1406.252 161.282 80.641 4
0.9146 1404.299 141.259 70.629 4
0.9196 1420.401 131.537 65.768 4
0.9246 1444.259 106.389 53.195 4
0.9296 1433.552 70.057 35.028 4
0.9347 1449.663 49.789 24.894 4
0.9397 1454.675 75.090 37.545 4
0.9447 1475.649 85.014 42.507 4
0.9497 1476.238 131.471 65.735 4
0.9548 1473.400 138.715 69.358 4
0.9598 1487.168 128.920 64.460 4
0.9648 1491.311 123.034 61.517 4
0.9698 1515.426 147.885 73.943 4
0.9749 1466.262 210.436 105.218 4
0.9799 1471.508 203.281 101.640 4
0.9849 1461.081 225.224 112.612 4
0.9899 1443.384 233.885 116.943 4
0.9950 1437.367 228.953 114.477 4
1.0000 1426.625 216.999 108.500 4
