step mean std sem n
0.0452 70.000 0.000 0.000 1
0.0503 66.334 34.567 17.284 4
0.0553 54.637 37.136 18.568 4
0.0603 36.490 36.959 18.479 4
0.0653 17.347 19.324 9.662 4
0.0704 13.376 9.173 4.586 4
0.0754 12.418 12.402 6.201 4
0.0804 12.500 10.408 5.204 4
0.0854 14.895 14.530 7.265 4
0.0905 16.250 17.017 8.509 4
0.0955 13.750 12.500 6.250 4
0.1005 13.750 12.500 6.250 4
0.1055 23.750 28.100 14.050 4
0.1106 31.079 29.087 14.544 4
0.1156 42.790 40.199 20.100 4
0.1206 55.597 60.993 30.496 4
0.1256 69.577 80.791 40.396 4
0.1307 80.983 79.276 39.638 4
0.1357 91.642 75.362 37.681 4
0.1407 113.779 89.365 44.682 4
0.1457 123.210 94.337 47.168 4
0.1508 120.821 89.274 44.637 4
0.1558 168.636 140.855 70.427 4
0.1608 187.142 144.756 72.378 4
0.1658 216.559 183.194 91.597 4
0.1709 230.549 206.247 103.123 4
0.1759 235.917 206.322 103.161 4
0.1809 257.136 235.417 117.708 4
0.1859 272.595 247.996 123.998 4
0.1910 294.883 290.070 145.035 4
0.1960 303.300 328.058 164.029 4
0.2010 327.147 345.393 172.696 4
0.2060 349.506 375.269 187.634 4
0.2111 361.942 318.930 159.465 4
0.2161 336.816 264.235 132.117 4
0.2211 360.936 278.145 139.072 4
0.2261 394.345 304.478 152.239 4
0.2312 404.461 315.301 157.650 4
0.2362 443.697 324.556 162.278 4
0.2412 450.933 300.210 150.105 4
0.2462 469.533 308.544 154.272 4
0.2513 498.920 325.571 162.786 4
0.2563 524.306 342.647 171.324 4
0.2613 513.725 356.022 178.011 4
0.2663 534.806 375.722 187.861 4
0.2714 546.269 381.016 190.508 4
0.2764 559.424 395.538 197.769 4
0.2814 537.701 390.341 195.170 4
0.2864 520.867 406.676 203.338 4
0.2915 521.035 406.074 203.037 4
0.2965 535.836 403.270 201.635 4
0.3015 585.890 439.008 219.504 4
0.3065 648.060 465.711 232.856 4
0.3116 709.799 478.132 239.066 4
0.3166 799.044 511.106 255.553 4
0.3216 835.327 534.913 267.457 4
0.3266 850.753 540.883 270.441 4
0.3317 872.927 546.556 273.278 4
0.3367 931.871 594.502 297.251 4
0.3417 973.921 624.069 312.035 4
0.3467 1026.847 649.017 324.508 4
0.3518 1058.686 676.039 338.020 4
0.3568 1121.114 741.220 370.610 4
0.3618 1189.681 797.150 398.575 4
0.3668 1265.961 845.954 422.977 4
0.3719 1337.160 905.781 452.890 4
0.3769 1407.758 952.110 476.055 4
0.3819 1439.966 987.025 493.512 4
0.3869 1464.828 996.657 498.328 4
0.3920 1476.909 993.485 496.742 4
0.3970 1315.023 829.168 414.584 4
0.4020 1289.511 808.524 404.262 4
0.4070 1281.170 801.382 400.691 4
0.4121 1267.624 798.801 399.400 4
0.4171 1302.993 827.614 413.807 4
0.4221 1373.962 895.441 447.720 4
0.4271 1341.206 880.371 440.186 4
0.4322 1379.770 897.508 448.754 4
0.4372 1416.359 919.449 459.724 4
0.4422 1406.450 915.798 457.899 4
0.4472 1424.128 916.976 458.488 4
0.4523 1389.346 875.952 437.976 4
0.4573 1263.544 786.980 393.490 4
0.4623 1236.806 779.224 389.612 4
0.4673 1279.626 808.596 404.298 4
0.4724 1307.472 828.408 414.204 4
0.4774 1344.464 859.669 429.834 4
0.4824 1395.875 882.713 441.356 4
0.4874 1420.868 877.549 438.774 4
0.4925 1446.169 894.903 447.451 4
0.4975 1347.603 884.171 442.085 4
0.5025 1367.410 909.538 454.769 4
0.5075 1411.740 898.240 449.120 4
0.5126 1404.258 876.590 438.295 4
0.5176 1393.789 862.065 431.033 4
0.5226 1398.585 854.564 427.282 4
0.5276 1408.574 869.254 434.627 4
0.5327 1447.414 888.174 444.087 4
0.5377 1467.708 912.033 456.017 4
0.5427 1525.920 952.563 476.282 4
0.5477 1582.462 998.386 499.193 4
0.5528 1642.716 1050.130 525.065 4
0.5578 1593.914 1039.747 519.873 4
0.5628 1650.046 1080.788 540.394 4
0.5678 1687.099 1124.049 562.025 4
0.5729 1655.645 1123.370 561.685 4
0.5779 1626.002 1110.143 555.072 4
0.5829 1627.943 1157.830 578.915 4
0.5879 1607.259 1157.200 578.600 4
0.5930 1600.431 1207.643 603.822 4
0.5980 1629.936 1265.283 632.642 4
0.6030 1689.239 1310.483 655.242 4
0.6080 1681.048 1232.517 616.259 4
0.6131 1687.210 1211.314 605.657 4
0.6181 1633.167 1151.792 575.896 4
0.6231 1572.875 1041.747 520.874 4
0.6281 1578.055 996.710 498.355 4
0.6332 1621.135 1021.928 510.964 4
0.6382 1668.305 1074.837 537.419 4
0.6432 1702.407 1118.726 559.363 4
0.6482 1678.408 1125.839 562.919 4
0.6533 1719.665 1169.333 584.666 4
0.6583 1755.340 1231.914 615.957 4
0.6633 1807.552 1304.451 652.225 4
0.6683 1840.062 1303.713 651.857 4
0.6734 1848.566 1290.653 645.326 4
0.6784 1865.963 1279.435 639.717 4
0.6834 1938.373 1338.102 669.051 4
0.6884 1999.124 1372.049 686.025 4
0.6935 2055.959 1399.007 699.503 4
0.6985 2092.895 1405.410 702.705 4
0.7035 2153.267 1424.919 712.459 4
0.7085 2124.432 1413.234 706.617 4
0.7136 2137.961 1434.686 717.343 4
0.7186 2182.393 1472.766 736.383 4
0.7236 2172.239 1455.014 727.507 4
0.7286 2185.680 1444.274 722.137 4
0.7337 2170.964 1417.870 708.935 4
0.7387 2195.844 1455.687 727.844 4
0.7437 2182.575 1494.579 747.289 4
0.7487 2192.162 1512.875 756.438 4
0.7538 2172.244 1485.226 742.613 4
0.7588 2148.448 1418.009 709.004 4
0.7638 2134.089 1402.678 701.339 4
0.7688 2144.163 1408.112 704.056 4
0.7739 2180.651 1386.996 693.498 4
0.7789 2203.477 1383.606 691.803 4
0.7839 2240.660 1404.386 702.193 4
0.7889 2129.444 1458.954 729.477 4
0.7940 2104.047 1409.199 704.600 4
0.7990 2086.219 1470.649 735.325 4
0.8040 2083.061 1537.036 768.518 4
0.8090 2088.533 1552.743 776.372 4
0.8141 2116.397 1610.293 805.147 4
0.8191 2171.953 1647.421 823.711 4
0.8241 2200.099 1666.461 833.230 4
0.8291 2200.818 1578.789 789.394 4
0.8342 2141.849 1542.044 771.022 4
0.8392 2095.619 1532.622 766.311 4
0.8442 2076.510 1522.633 761.316 4
0.8492 2044.867 1521.574 760.787 4
0.8543 1997.373 1444.290 722.145 4
0.8593 2028.955 1437.759 718.880 4
0.8643 2049.880 1416.347 708.174 4
0.8693 2079.725 1419.880 709.940 4
0.8744 2122.388 1465.487 732.743 4
0.8794 2133.375 1430.894 715.447 4
0.8844 2133.295 1346.172 673.086 4
0.8894 2018.175 1217.024 608.512 4
0.8945 1948.081 1132.299 566.150 4
0.8995 1868.094 1046.966 523.483 4
0.9045 1789.151 963.389 481.694 4
0.9095 1766.124 935.883 467.941 4
0.9146 1769.256 950.962 475.481 4
0.9196 1788.008 942.769 471.385 4
0.9246 1821.381 956.852 478.426 4
0.9296 1797.946 945.534 472.767 4
0.9347 1814.071 959.788 479.894 4
0.9397 1870.112 995.472 497.736 4
0.9447 1847.783 942.172 471.086 4
0.9497 1817.055 921.879 460.939 4
0.9548 1772.484 936.476 468.238 4
0.9598 1701.784 843.681 421.841 4
0.9648 1739.845 853.152 426.576 4
0.9698 1739.389 838.202 419.101 4
0.9749 1813.293 880.123 440.061 4
0.9799 1890.951 900.328 450.164 4
0.9849 1922.934 926.038 463.019 4
0.9899 1966.203 988.541 494.270 4
0.9950 1983.841 1072.424 536.212 4
1.0000 1941.250 1084.577 542.288 4
