step mean std sem n
0.0452 90.000 84.853 60.000 2
0.0503 61.274 41.362 20.681 4
0.0553 50.460 33.446 16.723 4
0.0603 29.522 15.577 7.789 4
0.0653 23.244 16.185 8.092 4
0.0704 18.108 11.023 5.512 4
0.0754 12.102 7.896 3.948 4
0.0804 13.290 4.285 2.142 4
0.0854 12.925 8.199 4.099 4
0.0905 12.045 5.373 2.686 4
0.0955 13.158 4.727 2.364 4
0.1005 20.073 12.367 6.183 4
0.1055 21.006 13.434 6.717 4
0.1106 25.794 15.334 7.667 4
0.1156 33.777 10.090 5.045 4
0.1206 37.500 11.902 5.951 4
0.1256 36.961 15.853 7.927 4
0.1307 40.003 15.814 7.907 4
0.1357 53.087 19.272 9.636 4
0.1407 53.647 26.371 13.186 4
0.1457 53.661 20.355 10.178 4
0.1508 57.890 23.541 11.771 4
0.1558 58.750 19.311 9.656 4
0.1608 64.866 15.915 7.958 4
0.1658 81.204 28.205 14.102 4
0.1709 92.559 39.444 19.722 4
0.1759 98.414 60.062 30.031 4
0.1809 102.673 60.791 30.395 4
0.1859 110.218 49.847 24.924 4
0.1910 127.205 51.499 25.749 4
0.1960 149.965 40.028 20.014 4
0.2010 172.400 80.716 40.358 4
0.2060 191.258 102.270 51.135 4
0.2111 199.966 121.118 60.559 4
0.2161 212.924 128.675 64.337 4
0.2211 261.747 164.153 82.076 4
0.2261 278.207 160.752 80.376 4
0.2312 309.941 199.509 99.755 4
0.2362 340.216 221.555 110.778 4
0.2412 359.870 247.688 123.844 4
0.2462 397.327 246.644 123.322 4
0.2513 410.990 235.449 117.725 4
0.2563 448.086 267.567 133.784 4
0.2613 507.749 316.697 158.349 4
0.2663 514.275 305.034 152.517 4
0.2714 547.427 342.575 171.287 4
0.2764 579.250 411.577 205.789 4
0.2814 608.339 430.276 215.138 4
0.2864 626.899 436.716 218.358 4
0.2915 668.139 495.800 247.900 4
0.2965 697.775 543.894 271.947 4
0.3015 734.059 608.477 304.239 4
0.3065 793.960 661.145 330.572 4
0.3116 838.078 731.486 365.743 4
0.3166 863.566 797.624 398.812 4
0.3216 886.176 855.006 427.503 4
0.3266 894.449 898.829 449.414 4
0.3317 900.446 965.462 482.731 4
0.3367 945.923 1039.978 519.989 4
0.3417 895.878 1032.889 516.444 4
0.3467 949.079 1129.263 564.631 4
0.3518 1000.536 1231.220 615.610 4
0.3568 1050.120 1328.183 664.092 4
0.3618 1114.287 1420.332 710.166 4
0.3668 1170.293 1513.995 756.997 4
0.3719 1272.932 1579.356 789.678 4
0.3769 1333.111 1618.236 809.118 4
0.3819 1381.761 1692.376 846.188 4
0.3869 1442.284 1756.603 878.302 4
0.3920 1506.083 1822.233 911.116 4
0.3970 1544.046 1882.102 941.051 4
0.4020 1555.271 1853.365 926.682 4
0.4070 1564.979 1887.705 943.852 4
0.4121 1568.186 1959.124 979.562 4
0.4171 1533.579 1925.344 962.672 4
0.4221 1479.124 1829.535 914.767 4
0.4271 1406.456 1775.286 887.643 4
0.4322 1329.240 1610.387 805.194 4
0.4372 1280.116 1419.117 709.559 4
0.4422 1310.116 1406.730 703.365 4
0.4472 1361.553 1435.139 717.570 4
0.4523 1354.150 1327.925 663.963 4
0.4573 1226.839 1097.805 548.902 4
0.4623 1191.540 953.338 476.669 4
0.4673 1183.414 913.959 456.979 4
0.4724 1239.370 942.782 471.391 4
0.4774 1202.298 826.420 413.210 4
0.4824 1215.650 785.730 392.865 4
0.4874 1260.233 816.449 408.225 4
0.4925 1296.944 825.649 412.825 4
0.4975 1317.803 817.840 408.920 4
0.5025 1363.003 885.140 442.570 4
0.5075 1440.601 961.959 480.980 4
0.5126 1488.168 1010.432 505.216 4
0.5176 1474.188 1048.094 524.047 4
0.5226 1483.502 1121.135 560.568 4
0.5276 1544.962 1167.704 583.852 4
0.5327 1583.708 1199.183 599.592 4
0.5377 1583.694 1274.331 637.166 4
0.5427 1453.474 1070.734 535.367 4
0.5477 1510.497 1107.839 553.919 4
0.5528 1561.094 1120.710 560.355 4
0.5578 1560.093 1087.389 543.695 4
0.5628 1488.376 1017.214 508.607 4
0.5678 1448.077 993.641 496.820 4
0.5729 1396.902 944.840 472.420 4
0.5779 1444.727 932.629 466.315 4
0.5829 1428.721 939.139 469.569 4
0.5879 1400.146 898.316 449.158 4
0.5930 1459.336 912.144 456.072 4
0.5980 1473.003 918.669 459.334 4
0.6030 1472.806 872.787 436.394 4
0.6080 1440.877 839.792 419.896 4
0.6131 1399.598 829.047 414.524 4
0.6181 1431.936 843.700 421.850 4
0.6231 1464.254 881.064 440.532 4
0.6281 1480.721 916.589 458.295 4
0.6332 1531.093 977.364 488.682 4
0.6382 1604.406 992.426 496.213 4
0.6432 1561.850 917.321 458.660 4
0.6482 1578.889 954.134 477.067 4
0.6533 1616.452 994.132 497.066 4
0.6583 1677.686 1044.942 522.471 4
0.6633 1706.207 1109.311 554.655 4
0.6683 1791.262 1183.177 591.588 4
0.6734 1784.096 1135.682 567.841 4
0.6784 1809.877 1155.887 577.943 4
0.6834 1780.973 1064.676 532.338 4
0.6884 1780.023 1014.477 507.239 4
0.6935 1732.653 962.393 481.196 4
0.6985 1786.428 1004.804 502.402 4
0.7035 1803.876 1022.874 511.437 4
0.7085 1760.614 988.894 494.447 4
0.7136 1760.551 1014.397 507.199 4
0.7186 1837.646 1086.185 543.093 4
0.7236 1906.033 1137.538 568.769 4
0.7286 1952.004 1212.369 606.185 4
0.7337 1977.378 1245.574 622.787 4
0.7387 1859.362 1134.975 567.487 4
0.7437 1864.943 1182.338 591.169 4
0.7487 1898.212 1246.256 623.128 4
0.7538 1924.100 1270.921 635.461 4
0.7588 1828.334 1186.181 593.090 4
