step mean std sem n
0.0352 121.608 2.934 1.694 3
0.0402 135.633 5.548 3.203 3
0.0452 138.020 12.462 6.231 4
0.0503 151.261 16.454 8.227 4
0.0553 157.598 13.030 6.515 4
0.0603 153.636 27.479 13.739 4
0.0653 156.723 33.991 16.995 4
0.0704 149.748 39.137 19.569 4
0.0754 149.648 45.866 22.933 4
0.0804 132.851 39.677 19.838 4
0.0854 138.048 39.771 19.885 4
0.0905 150.997 55.905 27.952 4
0.0955 158.361 53.682 26.841 4
0.1005 155.523 43.459 21.729 4
0.1055 158.586 43.984 21.992 4
0.1106 166.462 49.974 24.987 4
0.1156 173.184 39.719 19.860 4
0.1206 179.804 40.785 20.392 4
0.1256 186.068 44.182 22.091 4
0.1307 188.601 20.133 10.066 4
0.1357 200.930 26.850 13.425 4
0.1407 207.155 16.041 8.021 4
0.1457 208.311 12.361 6.181 4
0.1508 232.478 11.070 5.535 4
0.1558 242.937 10.305 5.152 4
0.1608 234.658 27.573 13.787 4
0.1658 233.990 32.891 16.446 4
0.1709 223.628 23.668 11.834 4
0.1759 228.241 34.208 17.104 4
0.1809 232.196 34.319 17.160 4
0.1859 240.021 39.520 19.760 4
0.1910 236.338 48.955 24.478 4
0.1960 241.335 57.512 28.756 4
0.2010 243.669 65.611 32.806 4
0.2060 271.319 95.615 47.807 4
0.2111 258.336 106.395 53.198 4
0.2161 250.689 107.180 53.590 4
0.2211 253.480 87.658 43.829 4
0.2261 260.837 79.687 39.844 4
0.2312 284.109 98.005 49.002 4
0.2362 283.408 88.898 44.449 4
0.2412 305.013 104.800 52.400 4
0.2462 307.689 116.707 58.354 4
0.2513 321.583 126.347 63.173 4
0.2563 301.822 100.570 50.285 4
0.2613 318.691 106.766 53.383 4
0.2663 316.353 108.569 54.284 4
0.2714 311.049 155.023 77.512 4
0.2764 325.792 167.805 83.902 4
0.2814 321.522 160.000 80.000 4
0.2864 310.645 134.614 67.307 4
0.2915 274.709 78.957 39.478 4
0.2965 281.332 95.560 47.780 4
0.3015 291.424 89.608 44.804 4
0.3065 273.429 81.199 40.600 4
0.3116 264.506 77.939 38.970 4
0.3166 258.214 61.921 30.961 4
0.3216 241.797 60.320 30.160 4
0.3266 252.778 31.729 15.865 4
0.3317 275.229 31.397 15.699 4
0.3367 285.117 30.890 15.445 4
0.3417 284.834 50.417 25.208 4
0.3467 307.447 62.775 31.387 4
0.3518 327.918 64.355 32.177 4
0.3568 337.160 83.062 41.531 4
0.3618 340.960 78.558 39.279 4
0.3668 339.896 68.538 34.269 4
0.3719 345.370 65.852 32.926 4
0.3769 310.228 81.081 40.540 4
0.3819 322.556 68.678 34.339 4
0.3869 311.105 62.536 31.268 4
0.3920 312.306 92.028 46.014 4
0.3970 290.229 72.854 36.427 4
0.4020 276.617 56.360 28.180 4
0.4070 281.779 56.883 28.442 4
0.4121 288.514 64.111 32.056 4
0.4171 298.466 55.180 27.590 4
0.4221 291.571 56.431 28.216 4
0.4271 298.436 70.981 35.490 4
0.4322 286.794 77.763 38.881 4
0.4372 279.289 67.242 33.621 4
0.4422 269.351 64.781 32.390 4
0.4472 272.386 82.980 41.490 4
0.4523 277.020 99.659 49.829 4
0.4573 268.387 116.952 58.476 4
0.4623 272.379 121.301 60.651 4
0.4673 278.891 102.211 51.106 4
0.4724 271.593 90.396 45.198 4
0.4774 288.540 82.462 41.231 4
0.4824 302.240 82.109 41.055 4
0.4874 300.352 93.174 46.587 4
0.4925 298.287 67.938 33.969 4
