step mean std sem n
0.0352 110.251 0.000 0.000 1
0.0402 137.563 34.237 19.767 3
0.0452 147.105 41.237 20.618 4
0.0503 156.422 34.601 17.301 4
0.0553 161.402 31.331 15.665 4
0.0603 166.777 37.067 18.534 4
0.0653 153.592 47.285 23.643 4
0.0704 151.118 47.422 23.711 4
0.0754 139.289 37.543 18.771 4
0.0804 129.055 22.016 11.008 4
0.0854 130.551 30.118 15.059 4
0.0905 130.364 32.155 16.077 4
0.0955 133.726 34.138 17.069 4
0.1005 139.039 32.935 16.468 4
0.1055 140.507 25.471 12.735 4
0.1106 155.807 17.547 8.773 4
0.1156 156.476 17.150 8.575 4
0.1206 148.205 19.305 9.652 4
0.1256 146.269 23.431 11.715 4
0.1307 158.892 17.376 8.688 4
0.1357 186.537 27.249 13.624 4
0.1407 201.364 13.062 6.531 4
0.1457 202.825 33.686 16.843 4
0.1508 213.819 28.011 14.006 4
0.1558 234.818 23.783 11.892 4
0.1608 251.250 40.438 20.219 4
0.1658 252.480 38.025 19.013 4
0.1709 233.665 50.152 25.076 4
0.1759 226.881 39.282 19.641 4
0.1809 228.060 38.896 19.448 4
0.1859 232.065 29.080 14.540 4
0.1910 224.521 41.559 20.780 4
0.1960 219.656 47.865 23.933 4
0.2010 221.040 10.272 5.136 4
0.2060 218.311 17.435 8.718 4
0.2111 248.973 30.199 15.100 4
0.2161 249.579 33.557 16.779 4
0.2211 249.915 45.650 22.825 4
0.2261 250.781 46.819 23.410 4
0.2312 244.793 37.199 18.599 4
0.2362 254.576 28.382 14.191 4
0.2412 252.099 40.012 20.006 4
0.2462 247.859 39.960 19.980 4
0.2513 238.108 35.296 17.648 4
0.2563 250.171 41.123 20.562 4
0.2613 246.240 34.596 17.298 4
0.2663 247.384 23.174 11.587 4
0.2714 255.647 14.245 7.122 4
0.2764 270.253 39.745 19.872 4
0.2814 277.321 11.493 5.747 4
0.2864 275.163 26.290 13.145 4
0.2915 275.322 38.932 19.466 4
0.2965 298.218 42.301 21.151 4
0.3015 302.287 49.430 24.715 4
0.3065 304.463 28.230 14.115 4
0.3116 305.235 28.321 14.160 4
0.3166 321.677 42.860 21.430 4
0.3216 306.426 59.613 29.807 4
0.3266 293.915 47.026 23.513 4
0.3317 289.015 38.096 19.048 4
0.3367 287.303 32.045 16.023 4
0.3417 281.351 47.717 23.859 4
0.3467 268.909 68.025 34.012 4
0.3518 286.307 30.149 15.075 4
0.3568 314.483 29.459 14.730 4
0.3618 313.872 38.141 19.070 4
0.3668 323.997 38.297 19.148 4
0.3719 326.208 30.918 15.459 4
0.3769 330.111 30.844 15.422 4
0.3819 332.081 26.023 13.012 4
0.3869 327.425 43.797 21.898 4
0.3920 330.376 36.305 18.152 4
0.3970 300.642 43.546 21.773 4
0.4020 316.300 42.674 21.337 4
0.4070 307.441 41.826 20.913 4
0.4121 290.903 70.899 35.449 4
0.4171 317.893 80.387 40.194 4
0.4221 320.438 87.069 43.534 4
0.4271 326.293 85.737 42.869 4
0.4322 322.842 67.410 33.705 4
0.4372 327.086 70.424 35.212 4
0.4422 332.175 74.125 37.063 4
0.4472 306.904 54.014 27.007 4
0.4523 304.295 64.781 32.390 4
0.4573 290.141 53.878 26.939 4
0.4623 294.578 63.784 31.892 4
0.4673 293.445 70.206 35.103 4
0.4724 292.096 64.464 32.232 4
0.4774 291.924 68.819 34.410 4
0.4824 287.271 65.337 32.669 4
0.4874 304.068 70.076 35.038 4
0.4925 316.521 54.859 27.430 4
0.4975 313.762 40.337 20.168 4
0.5025 319.106 57.602 28.801 4
0.5075 319.691 50.170 25.085 4
0.5126 316.321 85.446 42.723 4
0.5176 311.151 69.388 34.694 4
0.5226 329.062 84.228 42.114 4
0.5276 323.266 79.149 39.575 4
0.5327 320.856 67.578 33.789 4
0.5377 282.297 64.596 32.298 4
0.5427 291.216 69.260 34.630 4
0.5477 309.354 70.817 35.408 4
0.5528 313.270 64.216 32.108 4
0.5578 318.301 70.107 35.053 4
0.5628 300.287 69.154 34.577 4
0.5678 296.541 59.910 29.955 4
0.5729 274.655 34.440 17.220 4
0.5779 269.670 27.305 13.652 4
0.5829 286.594 30.764 15.382 4
0.5879 302.341 59.412 29.706 4
0.5930 299.926 66.163 33.081 4
0.5980 310.448 53.519 26.760 4
0.6030 314.435 54.627 27.313 4
0.6080 349.333 53.203 26.601 4
0.6131 353.699 48.326 24.163 4
0.6181 350.507 60.181 30.090 4
0.6231 367.020 87.108 43.554 4
0.6281 374.164 96.836 48.418 4
0.6332 364.389 110.825 55.413 4
0.6382 367.598 113.539 56.770 4
0.6432 337.850 101.625 50.812 4
0.6482 316.538 61.786 30.893 4
0.6533 310.703 62.508 31.254 4
0.6583 330.253 70.100 35.050 4
0.6633 323.880 58.951 29.476 4
0.6683 331.314 69.131 34.566 4
0.6734 318.280 65.111 32.556 4
0.6784 332.616 60.067 30.033 4
0.6834 343.991 57.693 28.846 4
0.6884 327.445 34.418 17.209 4
0.6935 339.829 27.570 13.785 4
