step mean std sem n
0.1608 -20.861 0.055 0.039 2
0.1658 -20.820 0.067 0.033 4
0.1709 -20.820 0.081 0.040 4
0.1759 -20.803 0.112 0.056 4
0.1809 -20.788 0.118 0.059 4
0.1859 -20.785 0.120 0.060 4
0.1910 -20.783 0.129 0.064 4
0.1960 -20.795 0.150 0.075 4
0.2010 -20.815 0.156 0.078 4
0.2060 -20.825 0.159 0.079 4
0.2111 -20.826 0.171 0.086 4
0.2161 -20.816 0.167 0.084 4
0.2211 -20.798 0.166 0.083 4
0.2261 -20.780 0.181 0.090 4
0.2312 -20.765 0.192 0.096 4
0.2362 -20.754 0.193 0.096 4
0.2412 -20.750 0.191 0.096 4
0.2462 -20.750 0.191 0.096 4
0.2513 -20.750 0.191 0.096 4
0.2563 -20.747 0.190 0.095 4
0.2613 -20.733 0.196 0.098 4
0.2663 -20.719 0.203 0.102 4
0.2714 -20.706 0.210 0.105 4
0.2764 -20.693 0.218 0.109 4
0.2814 -20.680 0.226 0.113 4
0.2864 -20.663 0.238 0.119 4
0.2915 -20.640 0.255 0.128 4
0.2965 -20.627 0.271 0.136 4
0.3015 -20.634 0.270 0.135 4
0.3065 -20.638 0.269 0.134 4
0.3116 -20.638 0.269 0.134 4
0.3166 -20.631 0.278 0.139 4
0.3216 -20.618 0.298 0.149 4
0.3266 -20.603 0.308 0.154 4
0.3317 -20.596 0.312 0.156 4
0.3367 -20.599 0.313 0.157 4
0.3417 -20.604 0.323 0.161 4
0.3467 -20.598 0.357 0.179 4
0.3518 -20.588 0.396 0.198 4
0.3568 -20.584 0.422 0.211 4
0.3618 -20.569 0.448 0.224 4
0.3668 -20.542 0.476 0.238 4
0.3719 -20.524 0.507 0.253 4
0.3769 -20.509 0.540 0.270 4
0.3819 -20.497 0.565 0.283 4
0.3869 -20.491 0.571 0.285 4
0.3920 -20.499 0.567 0.284 4
0.3970 -20.496 0.564 0.282 4
0.4020 -20.481 0.550 0.275 4
0.4070 -20.453 0.524 0.262 4
0.4121 -20.413 0.516 0.258 4
0.4171 -20.395 0.530 0.265 4
0.4221 -20.389 0.539 0.270 4
0.4271 -20.396 0.513 0.256 4
0.4322 -20.409 0.489 0.244 4
0.4372 -20.408 0.496 0.248 4
0.4422 -20.397 0.500 0.250 4
0.4472 -20.385 0.506 0.253 4
0.4523 -20.366 0.518 0.259 4
0.4573 -20.346 0.531 0.266 4
0.4623 -20.317 0.564 0.282 4
0.4673 -20.291 0.602 0.301 4
0.4724 -20.269 0.631 0.315 4
0.4774 -20.250 0.646 0.323 4
0.4824 -20.230 0.660 0.330 4
0.4874 -20.194 0.672 0.336 4
0.4925 -20.137 0.673 0.337 4
0.4975 -20.097 0.689 0.344 4
0.5025 -20.065 0.732 0.366 4
0.5075 -20.048 0.781 0.391 4
0.5126 -20.027 0.831 0.415 4
0.5176 -20.027 0.826 0.413 4
0.5226 -20.014 0.814 0.407 4
0.5276 -19.989 0.809 0.404 4
0.5327 -19.952 0.822 0.411 4
0.5377 -19.913 0.834 0.417 4
0.5427 -19.874 0.852 0.426 4
0.5477 -19.836 0.880 0.440 4
0.5528 -19.828 0.905 0.452 4
0.5578 -19.814 0.934 0.467 4
0.5628 -19.772 0.953 0.477 4
0.5678 -19.721 0.966 0.483 4
0.5729 -19.682 0.978 0.489 4
0.5779 -19.654 0.987 0.494 4
0.5829 -19.638 1.012 0.506 4
0.5879 -19.617 1.051 0.526 4
0.5930 -19.588 1.091 0.545 4
0.5980 -19.560 1.126 0.563 4
0.6030 -19.553 1.142 0.571 4
0.6080 -19.548 1.147 0.574 4
0.6131 -19.547 1.157 0.579 4
0.6181 -19.542 1.162 0.581 4
0.6231 -19.539 1.167 0.584 4
0.6281 -19.536 1.172 0.586 4
0.6332 -19.516 1.187 0.593 4
0.6382 -19.481 1.204 0.602 4
0.6432 -19.448 1.222 0.611 4
0.6482 -19.418 1.243 0.622 4
0.6533 -19.378 1.280 0.640 4
0.6583 -19.344 1.324 0.662 4
0.6633 -19.310 1.369 0.684 4
0.6683 -19.262 1.393 0.697 4
0.6734 -19.227 1.408 0.704 4
0.6784 -19.190 1.422 0.711 4
0.6834 -19.170 1.444 0.722 4
0.6884 -19.156 1.470 0.735 4
0.6935 -19.134 1.509 0.754 4
0.6985 -19.127 1.559 0.779 4
0.7035 -19.100 1.577 0.788 4
0.7085 -19.069 1.596 0.798 4
0.7136 -19.036 1.610 0.805 4
0.7186 -18.998 1.613 0.807 4
0.7236 -18.961 1.614 0.807 4
0.7286 -18.922 1.623 0.812 4
0.7337 -18.886 1.642 0.821 4
0.7387 -18.836 1.676 0.838 4
0.7437 -18.794 1.702 0.851 4
0.7487 -18.757 1.727 0.864 4
0.7538 -18.724 1.750 0.875 4
0.7588 -18.709 1.759 0.879 4
0.7638 -18.695 1.769 0.885 4
0.7688 -18.676 1.777 0.888 4
0.7739 -18.652 1.781 0.891 4
0.7789 -18.633 1.788 0.894 4
0.7839 -18.611 1.802 0.901 4
0.7889 -18.573 1.819 0.909 4
0.7940 -18.531 1.831 0.916 4
0.7990 -18.475 1.830 0.915 4
0.8040 -18.412 1.831 0.916 4
0.8090 -18.347 1.830 0.915 4
0.8141 -18.306 1.824 0.912 4
0.8191 -18.273 1.829 0.914 4
0.8241 -18.269 1.823 0.912 4
0.8291 -18.273 1.820 0.910 4
0.8342 -18.269 1.817 0.909 4
0.8392 -18.228 1.829 0.914 4
0.8442 -18.192 1.847 0.923 4
0.8492 -18.153 1.878 0.939 4
0.8543 -18.120 1.909 0.954 4
0.8593 -18.090 1.938 0.969 4
0.8643 -18.055 1.962 0.981 4
0.8693 -18.046 1.971 0.986 4
0.8744 -18.006 1.984 0.992 4
0.8794 -17.949 1.979 0.990 4
0.8844 -17.890 1.969 0.985 4
0.8894 -17.822 1.949 0.975 4
0.8945 -17.781 1.916 0.958 4
0.8995 -17.764 1.885 0.943 4
0.9045 -17.754 1.845 0.923 4
0.9095 -17.722 1.822 0.911 4
0.9146 -17.688 1.816 0.908 4
0.9196 -17.667 1.842 0.921 4
0.9246 -17.636 1.882 0.941 4
0.9296 -17.598 1.920 0.960 4
0.9347 -17.556 1.958 0.979 4
0.9397 -17.504 1.999 0.999 4
0.9447 -17.445 2.039 1.020 4
0.9497 -17.386 2.080 1.040 4
0.9548 -17.352 2.092 1.046 4
0.9598 -17.335 2.103 1.052 4
0.9648 -17.330 2.108 1.054 4
0.9698 -17.325 2.113 1.057 4
0.9749 -17.317 2.116 1.058 4
0.9799 -17.299 2.106 1.053 4
0.9849 -17.262 2.114 1.057 4
0.9899 -17.164 2.190 1.095 4
0.9950 -17.066 2.273 1.136 4
1.0000 -16.575 2.223 1.112 4
