step mean std sem n
0.1608 -20.900 0.000 0.000 1
0.1658 -20.894 0.031 0.018 3
0.1709 -20.932 0.024 0.012 4
0.1759 -20.942 0.030 0.015 4
0.1809 -20.950 0.041 0.020 4
0.1859 -20.948 0.044 0.022 4
0.1910 -20.942 0.054 0.027 4
0.1960 -20.936 0.065 0.033 4
0.2010 -20.926 0.085 0.043 4
0.2060 -20.915 0.105 0.053 4
0.2111 -20.906 0.109 0.054 4
0.2161 -20.896 0.104 0.052 4
0.2211 -20.886 0.095 0.047 4
0.2261 -20.876 0.087 0.044 4
0.2312 -20.871 0.094 0.047 4
0.2362 -20.863 0.106 0.053 4
0.2412 -20.836 0.100 0.050 4
0.2462 -20.793 0.083 0.041 4
0.2513 -20.762 0.081 0.040 4
0.2563 -20.737 0.078 0.039 4
0.2613 -20.716 0.077 0.039 4
0.2663 -20.707 0.090 0.045 4
0.2714 -20.706 0.113 0.056 4
0.2764 -20.700 0.122 0.061 4
0.2814 -20.696 0.119 0.059 4
0.2864 -20.688 0.118 0.059 4
0.2915 -20.670 0.122 0.061 4
0.2965 -20.635 0.136 0.068 4
0.3015 -20.598 0.151 0.075 4
0.3065 -20.569 0.170 0.085 4
0.3116 -20.548 0.189 0.095 4
0.3166 -20.515 0.211 0.105 4
0.3216 -20.486 0.221 0.111 4
0.3266 -20.459 0.219 0.110 4
0.3317 -20.446 0.209 0.104 4
0.3367 -20.435 0.202 0.101 4
0.3417 -20.409 0.182 0.091 4
0.3467 -20.389 0.168 0.084 4
0.3518 -20.387 0.165 0.083 4
0.3568 -20.387 0.165 0.082 4
0.3618 -20.367 0.168 0.084 4
0.3668 -20.330 0.187 0.094 4
0.3719 -20.282 0.218 0.109 4
0.3769 -20.234 0.252 0.126 4
0.3819 -20.191 0.281 0.140 4
0.3869 -20.158 0.300 0.150 4
0.3920 -20.131 0.325 0.163 4
0.3970 -20.108 0.353 0.176 4
0.4020 -20.084 0.381 0.191 4
0.4070 -20.068 0.391 0.196 4
0.4121 -20.064 0.385 0.192 4
0.4171 -20.073 0.386 0.193 4
0.4221 -20.084 0.386 0.193 4
0.4271 -20.081 0.389 0.194 4
0.4322 -20.085 0.414 0.207 4
0.4372 -20.087 0.442 0.221 4
0.4422 -20.056 0.453 0.226 4
0.4472 -20.020 0.466 0.233 4
0.4523 -19.989 0.486 0.243 4
0.4573 -19.956 0.512 0.256 4
0.4623 -19.919 0.533 0.266 4
0.4673 -19.881 0.549 0.274 4
0.4724 -19.858 0.551 0.275 4
0.4774 -19.841 0.546 0.273 4
0.4824 -19.820 0.544 0.272 4
0.4874 -19.780 0.570 0.285 4
0.4925 -19.736 0.603 0.302 4
0.4975 -19.693 0.636 0.318 4
0.5025 -19.661 0.679 0.339 4
0.5075 -19.636 0.716 0.358 4
0.5126 -19.605 0.743 0.371 4
0.5176 -19.571 0.765 0.383 4
0.5226 -19.529 0.788 0.394 4
0.5276 -19.490 0.815 0.408 4
0.5327 -19.457 0.852 0.426 4
0.5377 -19.426 0.886 0.443 4
0.5427 -19.393 0.911 0.455 4
0.5477 -19.360 0.938 0.469 4
0.5528 -19.328 0.964 0.482 4
0.5578 -19.301 0.982 0.491 4
0.5628 -19.274 1.003 0.501 4
