step mean std sem n
0.5427 159.024 356.422 178.211 4
0.5477 163.592 360.087 180.043 4
0.5528 168.160 363.793 181.897 4
0.5578 172.728 367.540 183.770 4
0.5628 177.296 371.326 185.663 4
0.5678 166.765 344.756 172.378 4
0.5729 136.558 278.494 139.247 4
0.5779 106.352 212.287 106.143 4
0.5829 76.146 146.207 73.103 4
0.5879 45.940 80.571 40.285 4
0.5930 18.110 23.736 11.868 4
0.5980 20.751 26.380 13.190 4
0.6030 23.392 29.715 14.857 4
0.6080 26.033 33.536 16.768 4
0.6131 28.674 37.696 18.848 4
0.6181 31.314 42.094 21.047 4
0.6231 34.163 41.568 20.784 4
0.6281 37.084 39.354 19.677 4
0.6332 40.004 37.650 18.825 4
0.6382 42.925 36.528 18.264 4
0.6432 45.845 36.044 18.022 4
0.6482 48.725 36.360 18.180 4
0.6533 51.525 37.329 18.665 4
0.6583 54.325 38.531 19.265 4
0.6633 57.126 39.943 19.972 4
0.6683 59.926 41.545 20.773 4
0.6734 62.726 43.316 21.658 4
0.6784 62.775 43.355 21.677 4
0.6834 62.775 43.355 21.677 4
0.6884 62.775 43.355 21.677 4
0.6935 62.775 43.355 21.677 4
0.6985 62.775 43.355 21.677 4
0.7035 62.775 43.355 21.677 4
0.7085 62.775 43.355 21.677 4
0.7136 62.775 43.355 21.677 4
0.7186 62.775 43.355 21.677 4
0.7236 62.775 43.355 21.677 4
0.7286 63.261 43.357 21.679 4
0.7337 65.076 43.510 21.755 4
0.7387 66.891 43.874 21.937 4
0.7437 68.705 44.442 22.221 4
0.7487 70.520 45.209 22.604 4
0.7538 72.335 46.163 23.082 4
0.7588 74.827 41.620 20.810 4
0.7638 77.389 36.516 18.258 4
0.7688 79.951 31.418 15.709 4
0.7739 82.513 26.330 13.165 4
0.7789 85.075 21.260 10.630 4
0.7839 86.124 19.191 9.596 4
0.7889 85.891 19.650 9.825 4
0.7940 85.658 20.110 10.055 4
0.7990 85.425 20.569 10.285 4
0.8040 85.192 21.029 10.514 4
0.8090 84.919 21.465 10.732 4
0.8141 84.452 21.786 10.893 4
0.8191 83.985 22.116 11.058 4
0.8241 83.519 22.454 11.227 4
0.8291 83.052 22.800 11.400 4
0.8342 82.585 23.153 11.576 4
0.8392 82.690 23.299 11.650 4
0.8442 82.923 23.411 11.706 4
0.8492 83.156 23.532 11.766 4
0.8543 83.389 23.661 11.831 4
0.8593 83.622 23.799 11.900 4
0.8643 83.643 24.091 12.045 4
0.8693 83.409 24.553 12.276 4
0.8744 83.176 25.015 12.507 4
0.8794 82.943 25.477 12.738 4
0.8844 82.710 25.939 12.970 4
0.8894 82.465 26.329 13.164 4
0.8945 82.045 26.078 13.039 4
0.8995 81.625 25.933 12.966 4
0.9045 81.205 25.895 12.947 4
0.9095 80.785 25.965 12.982 4
0.9146 80.365 26.142 13.071 4
0.9196 80.250 26.204 13.102 4
0.9246 80.250 26.204 13.102 4
0.9296 80.250 26.204 13.102 4
0.9347 80.250 26.204 13.102 4
0.9397 80.250 26.204 13.102 4
0.9447 80.250 26.204 13.102 4
0.9497 80.250 26.204 13.102 4
0.9548 80.250 26.204 13.102 4
0.9598 80.250 26.204 13.102 4
0.9648 80.250 26.204 13.102 4
0.9698 80.227 26.181 13.090 4
0.9749 77.898 24.185 12.092 4
0.9799 75.569 22.973 11.487 4
0.9849 73.240 22.672 11.336 4
0.9899 70.911 23.316 11.658 4
0.9950 68.582 24.833 12.417 4
1.0000 67.750 25.560 12.780 4
