step mean std sem n
0.5427 4.247 345.827 172.913 4
0.5477 1.446 341.478 170.739 4
0.5528 -1.355 337.147 168.574 4
0.5578 -4.156 332.835 166.418 4
0.5628 -6.958 328.543 164.271 4
0.5678 -8.649 324.553 162.276 4
0.5729 -8.887 321.026 160.513 4
0.5779 -9.125 317.604 158.802 4
0.5829 -9.363 314.289 157.144 4
0.5879 -9.601 311.084 155.542 4
0.5930 -9.909 308.334 154.167 4
0.5980 -10.836 310.913 155.457 4
0.6030 -11.763 313.498 156.749 4
0.6080 -12.690 316.087 158.044 4
0.6131 -13.617 318.682 159.341 4
0.6181 -14.544 321.281 160.641 4
0.6231 -13.162 324.319 162.159 4
0.6281 -10.833 327.559 163.779 4
0.6332 -8.504 330.817 165.409 4
0.6382 -6.175 334.093 167.047 4
0.6432 -3.846 337.386 168.693 4
0.6482 -0.819 340.015 170.007 4
0.6533 3.544 341.372 170.686 4
0.6583 7.906 342.774 171.387 4
0.6633 12.269 344.221 172.110 4
0.6683 16.631 345.711 172.856 4
0.6734 20.994 347.245 173.623 4
0.6784 22.323 348.977 174.488 4
0.6834 23.595 350.708 175.354 4
0.6884 24.867 352.442 176.221 4
0.6935 26.138 354.176 177.088 4
0.6985 27.410 355.913 177.956 4
0.7035 29.051 355.416 177.708 4
0.7085 30.915 353.586 176.793 4
0.7136 32.779 351.776 175.888 4
0.7186 34.643 349.986 174.993 4
0.7236 36.507 348.217 174.109 4
0.7286 38.302 346.330 173.165 4
0.7337 39.903 344.066 172.033 4
0.7387 41.503 341.817 170.908 4
0.7437 43.103 339.583 169.791 4
0.7487 44.703 337.365 168.682 4
0.7538 46.303 335.162 167.581 4
0.7588 48.350 331.715 165.858 4
0.7638 50.446 328.159 164.079 4
0.7688 52.542 324.636 162.318 4
0.7739 54.638 321.147 160.573 4
0.7789 56.735 317.693 158.846 4
0.7839 58.956 314.115 157.057 4
0.7889 61.287 310.441 155.220 4
0.7940 63.617 306.814 153.407 4
0.7990 65.948 303.237 151.618 4
0.8040 68.279 299.711 149.855 4
0.8090 70.524 297.502 148.751 4
0.8141 72.392 301.530 150.765 4
0.8191 74.259 305.568 152.784 4
0.8241 76.126 309.614 154.807 4
0.8291 77.994 313.670 156.835 4
0.8342 79.861 317.735 158.867 4
0.8392 53.681 270.295 135.148 4
0.8442 21.050 214.196 107.098 4
0.8492 -11.581 164.983 82.492 4
0.8543 -44.211 130.684 65.342 4
0.8593 -76.842 124.323 62.162 4
0.8643 -94.788 134.884 67.442 4
0.8693 -94.788 134.884 67.442 4
0.8744 -94.788 134.884 67.442 4
0.8794 -94.788 134.884 67.442 4
0.8844 -94.788 134.884 67.442 4
0.8894 -94.811 134.887 67.444 4
0.8945 -95.044 134.921 67.460 4
0.8995 -95.278 134.956 67.478 4
0.9045 -95.511 134.992 67.496 4
0.9095 -95.744 135.031 67.515 4
0.9146 -95.978 135.071 67.535 4
0.9196 -94.654 134.750 67.375 4
0.9246 -92.791 134.364 67.182 4
0.9296 -90.927 134.051 67.025 4
0.9347 -89.064 133.811 66.905 4
0.9397 -87.201 133.643 66.822 4
0.9447 -87.009 131.771 65.886 4
0.9497 -89.575 127.032 63.516 4
0.9548 -92.141 122.324 61.162 4
0.9598 -94.707 117.652 58.826 4
0.9648 -97.272 113.019 56.510 4
0.9698 -99.744 108.464 54.232 4
0.9749 -96.094 104.433 52.216 4
0.9799 -92.444 100.781 50.391 4
0.9849 -88.795 97.551 48.776 4
0.9899 -85.145 94.786 47.393 4
0.9950 -81.496 92.528 46.264 4
1.0000 -70.200 101.722 50.861 4
