step mean std sem n
0.0151 32.641 10.479 7.410 2
0.0201 40.951 18.700 9.350 4
0.0251 42.693 20.598 10.299 4
0.0302 51.029 20.622 10.311 4
0.0352 54.724 18.370 9.185 4
0.0402 46.253 4.982 2.491 4
0.0452 45.648 3.702 1.851 4
0.0503 46.930 8.081 4.041 4
0.0553 50.272 14.061 7.030 4
0.0603 53.163 14.609 7.304 4
0.0653 49.464 17.030 8.515 4
0.0704 56.274 24.838 12.419 4
0.0754 58.941 12.183 6.091 4
0.0804 64.851 12.390 6.195 4
0.0854 72.428 16.141 8.071 4
0.0905 78.428 16.350 8.175 4
0.0955 90.207 21.256 10.628 4
0.1005 102.818 29.704 14.852 4
0.1055 112.948 37.102 18.551 4
0.1106 122.158 48.096 24.048 4
0.1156 116.710 49.013 24.507 4
0.1206 125.254 60.289 30.145 4
0.1256 126.106 57.925 28.963 4
0.1307 127.260 57.061 28.531 4
0.1357 129.981 58.221 29.110 4
0.1407 130.369 54.534 27.267 4
0.1457 140.144 56.526 28.263 4
0.1508 137.961 42.114 21.057 4
0.1558 139.545 35.911 17.955 4
0.1608 139.680 25.526 12.763 4
0.1658 150.320 35.294 17.647 4
0.1709 154.040 32.110 16.055 4
0.1759 153.890 36.193 18.097 4
0.1809 155.654 34.866 17.433 4
0.1859 155.261 32.104 16.052 4
0.1910 154.240 31.401 15.701 4
0.1960 155.334 36.890 18.445 4
0.2010 160.324 35.062 17.531 4
0.2060 156.723 25.454 12.727 4
0.2111 157.629 33.090 16.545 4
0.2161 153.573 44.588 22.294 4
0.2211 160.743 43.190 21.595 4
0.2261 154.571 46.558 23.279 4
0.2312 148.674 33.777 16.889 4
0.2362 165.815 26.405 13.202 4
0.2412 167.917 26.160 13.080 4
0.2462 164.014 12.604 6.302 4
0.2513 161.233 15.395 7.698 4
0.2563 164.275 6.946 3.473 4
0.2613 161.414 11.672 5.836 4
0.2663 159.783 29.342 14.671 4
0.2714 159.978 29.115 14.557 4
0.2764 160.677 22.836 11.418 4
0.2814 155.909 24.672 12.336 4
0.2864 200.795 101.047 50.524 4
0.2915 210.332 85.147 42.574 4
0.2965 202.219 87.164 43.582 4
0.3015 200.769 81.360 40.680 4
0.3065 195.537 79.488 39.744 4
0.3116 234.776 85.668 42.834 4
0.3166 199.610 71.265 35.632 4
0.3216 189.627 72.310 36.155 4
0.3266 209.555 73.469 36.734 4
0.3317 212.475 90.172 45.086 4
0.3367 228.922 88.688 44.344 4
0.3417 204.164 42.536 21.268 4
0.3467 247.268 84.801 42.401 4
0.3518 245.913 93.011 46.505 4
0.3568 246.114 101.637 50.819 4
0.3618 306.848 173.499 86.749 4
0.3668 316.688 177.597 88.798 4
0.3719 265.868 145.798 72.899 4
0.3769 263.065 128.393 64.197 4
0.3819 249.051 110.414 55.207 4
0.3869 207.328 82.259 41.130 4
0.3920 174.036 26.252 13.126 4
0.3970 174.010 28.014 14.007 4
0.4020 182.285 34.558 17.279 4
0.4070 195.993 56.175 28.088 4
0.4121 221.203 108.223 54.112 4
0.4171 231.286 118.668 59.334 4
0.4221 229.091 118.405 59.202 4
0.4271 226.635 117.938 58.969 4
0.4322 220.047 114.142 57.071 4
0.4372 185.160 34.843 17.421 4
0.4422 194.351 38.490 19.245 4
0.4472 181.737 26.831 13.416 4
0.4523 182.096 20.833 10.417 4
0.4573 225.823 92.046 46.023 4
0.4623 219.530 80.749 40.374 4
0.4673 214.709 66.507 33.254 4
0.4724 226.712 69.653 34.826 4
0.4774 229.817 62.598 31.299 4
0.4824 221.153 67.698 33.849 4
0.4874 174.359 32.833 16.417 4
0.4925 222.616 122.066 61.033 4
0.4975 269.418 218.200 109.100 4
0.5025 272.726 227.833 113.916 4
0.5075 263.869 205.141 102.571 4
0.5126 268.889 201.135 100.567 4
0.5176 343.087 268.358 134.179 4
0.5226 349.525 259.867 129.933 4
0.5276 299.204 157.352 78.676 4
0.5327 340.574 126.175 63.087 4
0.5377 327.674 117.739 58.870 4
0.5427 290.390 100.299 50.149 4
0.5477 383.398 132.457 66.229 4
0.5528 348.220 58.479 29.239 4
0.5578 412.742 79.617 39.808 4
0.5628 428.549 83.366 41.683 4
0.5678 494.757 138.893 69.446 4
0.5729 530.476 161.648 80.824 4
0.5779 445.558 80.988 40.494 4
0.5829 396.105 194.172 97.086 4
0.5879 426.326 181.548 90.774 4
0.5930 373.268 132.083 66.041 4
0.5980 341.047 195.099 97.549 4
0.6030 342.001 141.719 70.859 4
0.6080 405.217 224.160 112.080 4
0.6131 405.485 134.414 67.207 4
0.6181 390.516 167.103 83.552 4
0.6231 410.619 226.680 113.340 4
0.6281 404.385 242.515 121.257 4
