step mean std sem n
0.0151 14.173 0.000 0.000 1
0.0201 43.644 22.132 11.066 4
0.0251 43.352 13.976 6.988 4
0.0302 43.162 21.499 10.750 4
0.0352 58.986 26.360 13.180 4
0.0402 58.608 10.782 5.391 4
0.0452 57.541 12.736 6.368 4
0.0503 46.331 11.733 5.866 4
0.0553 46.992 12.127 6.064 4
0.0603 52.115 17.087 8.543 4
0.0653 49.984 20.338 10.169 4
0.0704 52.215 20.551 10.276 4
0.0754 51.720 10.837 5.418 4
0.0804 50.431 6.432 3.216 4
0.0854 59.873 16.614 8.307 4
0.0905 71.589 22.139 11.070 4
0.0955 78.737 35.924 17.962 4
0.1005 87.311 48.775 24.388 4
0.1055 100.964 49.021 24.510 4
0.1106 96.903 39.177 19.589 4
0.1156 102.057 42.352 21.176 4
0.1206 109.579 41.224 20.612 4
0.1256 113.541 39.202 19.601 4
0.1307 108.776 45.172 22.586 4
0.1357 107.177 39.490 19.745 4
0.1407 105.766 27.157 13.579 4
0.1457 100.419 21.107 10.553 4
0.1508 106.609 22.271 11.136 4
0.1558 110.259 27.377 13.688 4
0.1608 128.696 37.828 18.914 4
0.1658 133.191 41.635 20.818 4
0.1709 139.194 46.234 23.117 4
0.1759 149.470 40.941 20.470 4
0.1809 148.902 44.289 22.145 4
0.1859 146.575 51.910 25.955 4
0.1910 154.077 45.119 22.560 4
0.1960 144.829 40.343 20.172 4
0.2010 148.199 34.962 17.481 4
0.2060 149.403 41.093 20.547 4
0.2111 148.626 37.685 18.842 4
0.2161 152.440 27.524 13.762 4
0.2211 150.804 25.851 12.925 4
0.2261 155.107 26.175 13.088 4
0.2312 158.158 22.205 11.103 4
0.2362 166.093 19.001 9.501 4
0.2412 163.098 23.952 11.976 4
0.2462 162.123 27.726 13.863 4
0.2513 156.044 45.016 22.508 4
0.2563 153.615 41.451 20.726 4
0.2613 151.483 41.466 20.733 4
0.2663 158.423 33.621 16.811 4
0.2714 166.233 34.545 17.272 4
0.2764 169.207 33.312 16.656 4
0.2814 169.058 31.575 15.788 4
0.2864 176.866 30.414 15.207 4
0.2915 178.206 31.465 15.733 4
0.2965 178.223 29.758 14.879 4
0.3015 177.280 37.698 18.849 4
0.3065 178.591 36.513 18.256 4
0.3116 174.325 36.022 18.011 4
0.3166 181.938 43.101 21.551 4
0.3216 184.104 48.103 24.051 4
0.3266 186.723 48.822 24.411 4
0.3317 179.782 37.046 18.523 4
0.3367 183.349 36.835 18.418 4
0.3417 189.897 42.060 21.030 4
0.3467 185.488 35.408 17.704 4
0.3518 180.652 38.271 19.136 4
0.3568 179.294 37.693 18.846 4
0.3618 177.990 35.442 17.721 4
0.3668 177.083 37.765 18.882 4
0.3719 175.209 41.317 20.658 4
0.3769 165.148 39.411 19.706 4
0.3819 170.358 28.262 14.131 4
0.3869 177.115 22.706 11.353 4
0.3920 177.709 17.148 8.574 4
0.3970 176.227 16.162 8.081 4
0.4020 173.159 12.294 6.147 4
0.4070 162.014 16.177 8.089 4
0.4121 158.672 18.655 9.327 4
0.4171 159.412 19.876 9.938 4
0.4221 166.884 17.619 8.810 4
0.4271 179.515 19.911 9.956 4
0.4322 182.751 20.074 10.037 4
0.4372 180.450 21.210 10.605 4
0.4422 180.603 17.068 8.534 4
0.4472 171.108 26.459 13.230 4
0.4523 210.494 95.079 47.539 4
0.4573 215.759 90.523 45.262 4
0.4623 211.584 93.073 46.537 4
0.4673 224.148 96.479 48.239 4
0.4724 264.062 172.794 86.397 4
0.4774 277.399 186.031 93.016 4
0.4824 279.485 183.181 91.591 4
0.4874 236.448 105.848 52.924 4
0.4925 249.657 105.500 52.750 4
0.4975 251.824 112.130 56.065 4
0.5025 229.685 71.925 35.962 4
0.5075 187.789 14.116 7.058 4
0.5126 196.671 30.514 15.257 4
0.5176 208.746 38.982 19.491 4
0.5226 209.087 44.649 22.324 4
0.5276 212.302 42.581 21.290 4
0.5327 290.518 80.761 40.381 4
0.5377 298.935 91.793 45.896 4
0.5427 354.415 153.095 76.547 4
0.5477 387.009 184.974 92.487 4
0.5528 382.535 193.781 96.891 4
0.5578 371.952 188.967 94.484 4
0.5628 356.280 177.862 88.931 4
0.5678 367.697 191.663 95.831 4
0.5729 292.816 104.190 52.095 4
0.5779 325.006 150.693 75.347 4
0.5829 327.865 144.325 72.162 4
0.5879 300.145 151.749 75.875 4
0.5930 298.524 147.581 73.791 4
0.5980 262.709 74.460 37.230 4
0.6030 224.322 25.233 12.617 4
0.6080 225.700 56.031 28.016 4
0.6131 248.013 101.630 50.815 4
0.6181 245.604 75.228 37.614 4
0.6231 251.475 87.161 43.581 4
0.6281 300.181 88.301 44.150 4
0.6332 337.536 87.313 43.657 4
0.6382 378.901 119.714 59.857 4
0.6432 335.610 143.085 71.542 4
0.6482 375.064 119.611 59.805 4
0.6533 377.812 128.770 64.385 4
0.6583 319.109 86.592 43.296 4
0.6633 280.208 91.905 45.953 4
0.6683 241.118 74.433 37.217 4
0.6734 238.286 74.213 37.106 4
0.6784 203.231 22.782 11.391 4
0.6834 234.087 57.820 28.910 4
0.6884 237.974 80.648 40.324 4
0.6935 231.078 88.777 44.388 4
0.6985 278.408 104.561 52.280 4
0.7035 292.486 73.504 36.752 4
0.7085 315.486 47.835 23.917 4
0.7136 280.308 78.540 39.270 4
0.7186 283.937 83.901 41.951 4
0.7236 287.433 85.817 42.909 4
0.7286 286.908 87.722 43.861 4
0.7337 297.467 85.622 42.811 4
0.7387 264.865 71.995 35.998 4
0.7437 283.885 121.316 60.658 4
0.7487 334.647 151.015 75.507 4
0.7538 329.912 155.270 77.635 4
0.7588 364.816 136.365 68.183 4
0.7638 360.492 122.467 61.234 4
0.7688 329.730 90.384 45.192 4
0.7739 283.610 97.955 48.977 4
0.7789 319.712 161.140 80.570 4
0.7839 345.647 174.044 87.022 4
0.7889 342.342 143.774 71.887 4
0.7940 342.168 140.301 70.150 4
0.7990 381.073 208.733 104.366 4
0.8040 435.990 231.218 115.609 4
0.8090 394.490 207.981 103.991 4
0.8141 390.705 206.204 103.102 4
0.8191 356.870 138.944 69.472 4
0.8241 320.125 83.933 41.966 4
0.8291 363.024 16.912 8.456 4
0.8342 327.658 86.851 43.425 4
0.8392 317.512 142.970 71.485 4
0.8442 387.961 198.313 99.157 4
0.8492 428.033 230.201 115.100 4
0.8543 394.557 195.545 97.773 4
0.8593 473.308 252.997 126.499 4
0.8643 476.496 259.454 129.727 4
0.8693 509.159 277.037 138.518 4
0.8744 512.430 282.927 141.464 4
0.8794 471.044 184.440 92.220 4
0.8844 561.854 177.771 88.886 4
0.8894 560.672 229.087 114.544 4
0.8945 573.684 259.995 129.998 4
