step mean std sem n
0.0151 1.250 2.500 1.250 4
0.0201 2.500 2.887 1.443 4
0.0251 7.915 9.595 4.797 4
0.0302 15.207 10.740 5.370 4
0.0352 39.160 26.802 13.401 4
0.0402 60.380 37.891 18.946 4
0.0452 82.617 53.080 26.540 4
0.0503 103.908 67.721 33.861 4
0.0553 130.083 57.592 28.796 4
0.0603 152.083 63.284 31.642 4
0.0653 175.538 58.163 29.082 4
0.0704 198.034 58.021 29.010 4
0.0754 223.493 57.746 28.873 4
0.0804 243.611 49.795 24.897 4
0.0854 269.444 51.414 25.707 4
0.0905 287.890 51.152 25.576 4
0.0955 293.269 46.934 23.467 4
0.1005 299.164 48.434 24.217 4
0.1055 297.249 45.649 22.825 4
0.1106 296.104 11.428 5.714 4
0.1156 304.166 13.949 6.974 4
0.1206 290.232 23.080 11.540 4
0.1256 276.786 47.071 23.535 4
0.1307 267.189 89.036 44.518 4
0.1357 271.832 74.270 37.135 4
0.1407 279.273 89.991 44.996 4
0.1457 316.740 102.055 51.028 4
0.1508 331.669 134.521 67.260 4
0.1558 350.384 145.959 72.979 4
0.1608 399.154 196.533 98.266 4
0.1658 430.226 211.777 105.888 4
0.1709 471.848 231.903 115.952 4
0.1759 518.252 257.916 128.958 4
0.1809 559.723 303.511 151.756 4
0.1859 590.802 356.251 178.125 4
0.1910 680.977 447.013 223.506 4
0.1960 667.239 415.275 207.638 4
0.2010 756.172 512.631 256.316 4
0.2060 772.688 512.901 256.451 4
0.2111 834.828 576.243 288.121 4
0.2161 887.221 642.199 321.100 4
0.2211 908.866 697.620 348.810 4
0.2261 971.767 732.807 366.404 4
0.2312 981.970 785.708 392.854 4
0.2362 1021.038 756.826 378.413 4
0.2412 1053.436 808.544 404.272 4
0.2462 1041.044 755.330 377.665 4
0.2513 1077.218 814.225 407.112 4
0.2563 1162.694 854.574 427.287 4
0.2613 1037.059 722.533 361.266 4
0.2663 1054.036 736.148 368.074 4
0.2714 1026.943 733.377 366.689 4
0.2764 1148.724 781.883 390.941 4
0.2814 1172.285 774.543 387.271 4
