step mean std sem n
0.0151 1.601 2.264 1.601 2
0.0201 4.413 7.168 3.584 4
0.0251 11.124 7.638 3.819 4
0.0302 17.685 13.921 6.960 4
0.0352 31.802 24.023 12.012 4
0.0402 51.449 35.313 17.656 4
0.0452 100.428 75.080 37.540 4
0.0503 149.698 120.178 60.089 4
0.0553 188.595 156.056 78.028 4
0.0603 223.944 196.250 98.125 4
0.0653 266.000 231.124 115.562 4
0.0704 303.821 251.102 125.551 4
0.0754 349.190 251.114 125.557 4
0.0804 392.398 304.456 152.228 4
0.0854 430.408 329.492 164.746 4
0.0905 409.868 319.517 159.759 4
0.0955 424.395 325.971 162.986 4
0.1005 405.120 302.674 151.337 4
0.1055 429.128 298.650 149.325 4
0.1106 429.010 282.641 141.320 4
0.1156 389.397 202.291 101.146 4
0.1206 432.162 220.433 110.217 4
0.1256 432.576 198.008 99.004 4
0.1307 465.335 246.266 123.133 4
0.1357 488.301 209.163 104.581 4
0.1407 489.466 221.442 110.721 4
0.1457 527.025 265.597 132.798 4
0.1508 572.664 323.395 161.698 4
0.1558 604.052 380.832 190.416 4
0.1608 639.032 388.536 194.268 4
0.1658 721.354 492.439 246.220 4
0.1709 740.882 524.510 262.255 4
0.1759 746.652 638.459 319.230 4
0.1809 749.687 673.541 336.771 4
0.1859 749.747 612.820 306.410 4
0.1910 819.696 654.589 327.294 4
0.1960 833.248 624.894 312.447 4
0.2010 910.289 665.062 332.531 4
0.2060 864.659 574.989 287.495 4
0.2111 870.518 602.503 301.252 4
0.2161 823.918 562.896 281.448 4
0.2211 918.931 646.396 323.198 4
0.2261 882.858 556.775 278.387 4
0.2312 886.029 568.727 284.364 4
0.2362 970.405 647.504 323.752 4
0.2412 962.992 596.000 298.000 4
0.2462 970.813 552.482 276.241 4
0.2513 992.305 578.449 289.225 4
0.2563 1038.781 544.413 272.206 4
0.2613 1177.028 632.134 316.067 4
0.2663 1275.331 746.444 373.222 4
0.2714 1368.841 799.475 399.738 4
0.2764 1404.188 858.440 429.220 4
0.2814 1531.314 888.843 444.422 4
0.2864 1572.370 930.449 465.224 4
0.2915 1621.172 890.349 445.175 4
0.2965 1656.289 954.223 477.111 4
0.3015 1738.018 961.687 480.843 4
0.3065 1715.036 926.911 463.455 4
0.3116 1840.766 994.318 497.159 4
0.3166 1855.734 936.589 468.295 4
0.3216 1906.986 956.537 478.269 4
0.3266 1884.219 1003.119 501.560 4
0.3317 1910.351 931.127 465.563 4
0.3367 1997.269 929.549 464.775 4
0.3417 2015.426 960.924 480.462 4
0.3467 2131.422 1016.759 508.380 4
0.3518 2293.923 1069.770 534.885 4
0.3568 2221.940 881.113 440.557 4
0.3618 2256.039 892.617 446.309 4
0.3668 2300.332 905.703 452.852 4
0.3719 2372.815 834.261 417.130 4
0.3769 2445.240 879.770 439.885 4
0.3819 2458.410 838.434 419.217 4
0.3869 2623.387 848.560 424.280 4
0.3920 2599.625 939.686 469.843 4
0.3970 2820.784 958.831 479.415 4
0.4020 2678.247 769.200 384.600 4
0.4070 2746.918 740.011 370.005 4
0.4121 2718.569 765.854 382.927 4
0.4171 2781.213 694.546 347.273 4
0.4221 2716.770 677.207 338.603 4
0.4271 2768.981 721.750 360.875 4
0.4322 2678.250 819.269 409.634 4
0.4372 2768.420 707.598 353.799 4
0.4422 2618.103 465.478 232.739 4
0.4472 2632.844 574.219 287.110 4
0.4523 2775.075 557.154 278.577 4
0.4573 2678.070 666.981 333.490 4
0.4623 2721.532 502.947 251.474 4
0.4673 2635.400 630.377 315.189 4
0.4724 2723.599 679.973 339.986 4
0.4774 2793.077 821.788 410.894 4
0.4824 2879.611 931.032 465.516 4
0.4874 2839.180 764.993 382.497 4
0.4925 2921.643 781.837 390.919 4
0.4975 3089.788 881.772 440.886 4
0.5025 3103.949 974.580 487.290 4
0.5075 3141.171 1128.001 564.001 4
0.5126 3214.948 1214.023 607.012 4
0.5176 3198.725 1015.690 507.845 4
0.5226 3275.332 1129.583 564.791 4
0.5276 3303.371 1215.825 607.913 4
0.5327 3429.183 1339.394 669.697 4
0.5377 3571.018 1280.845 640.422 4
0.5427 3458.779 1427.102 713.551 4
0.5477 3601.962 1402.390 701.195 4
0.5528 3647.153 1456.354 728.177 4
0.5578 3730.548 1622.230 811.115 4
0.5628 3682.490 1832.798 916.399 4
0.5678 3695.169 1768.362 884.181 4
0.5729 3756.829 1662.028 831.014 4
0.5779 3583.037 1576.998 788.499 4
0.5829 3605.936 1513.917 756.958 4
0.5879 3455.427 1468.452 734.226 4
0.5930 3512.853 1298.703 649.351 4
0.5980 3613.321 1295.070 647.535 4
0.6030 3594.902 1364.113 682.057 4
0.6080 3710.967 1340.367 670.183 4
0.6131 3766.563 1447.716 723.858 4
0.6181 3750.429 1384.778 692.389 4
0.6231 3670.126 912.464 456.232 4
0.6281 3499.357 972.907 486.454 4
0.6332 3386.241 539.283 269.641 4
0.6382 3304.935 654.710 327.355 4
0.6432 3415.878 633.080 316.540 4
0.6482 3426.032 782.152 391.076 4
0.6533 3465.001 706.657 353.329 4
0.6583 3607.969 846.673 423.336 4
0.6633 3518.381 944.451 472.226 4
0.6683 3610.882 837.724 418.862 4
0.6734 3412.504 784.761 392.380 4
0.6784 3598.639 915.188 457.594 4
0.6834 3360.331 487.774 243.887 4
0.6884 3542.112 537.364 268.682 4
0.6935 3691.396 658.353 329.177 4
0.6985 3628.971 715.511 357.755 4
0.7035 3656.857 684.991 342.495 4
0.7085 3809.899 751.718 375.859 4
0.7136 3733.986 730.804 365.402 4
0.7186 3930.584 744.032 372.016 4
0.7236 4105.519 836.599 418.300 4
0.7286 4115.531 822.357 411.179 4
0.7337 3919.562 927.061 463.530 4
0.7387 4106.106 995.631 497.816 4
0.7437 4044.914 1223.363 611.682 4
0.7487 4039.936 1187.090 593.545 4
0.7538 4144.158 986.542 493.271 4
0.7588 4188.869 983.573 491.786 4
0.7638 4299.368 1074.163 537.081 4
0.7688 4305.539 1274.833 637.416 4
0.7739 4397.399 1393.891 696.945 4
0.7789 4479.708 1467.946 733.973 4
0.7839 4510.446 1490.163 745.082 4
0.7889 4543.573 1699.421 849.710 4
0.7940 4707.491 1662.639 831.320 4
0.7990 4616.390 1735.618 867.809 4
0.8040 4556.007 1481.159 740.580 4
0.8090 4617.831 1401.201 700.601 4
0.8141 4557.409 1534.029 767.015 4
0.8191 4473.340 1732.894 866.447 4
0.8241 4524.150 1840.397 920.199 4
0.8291 4508.376 1920.597 960.299 4
0.8342 4372.986 1668.278 834.139 4
0.8392 4263.243 1931.509 965.754 4
0.8442 4300.916 1906.449 953.224 4
0.8492 4345.201 1743.615 871.807 4
0.8543 4322.931 1681.831 840.916 4
0.8593 4366.760 1629.950 814.975 4
0.8643 4428.672 1350.557 675.278 4
0.8693 4536.499 1449.133 724.567 4
0.8744 4472.533 1344.935 672.468 4
0.8794 4430.519 1001.100 500.550 4
0.8844 4603.938 1117.038 558.519 4
0.8894 4716.923 1270.336 635.168 4
0.8945 4501.426 920.361 460.181 4
0.8995 4623.997 1178.617 589.308 4
0.9045 4501.995 976.017 488.008 4
0.9095 4272.639 1100.839 550.419 4
0.9146 4454.945 1008.903 504.452 4
0.9196 4580.791 995.522 497.761 4
0.9246 4451.549 1134.824 567.412 4
0.9296 4504.800 1003.728 501.864 4
0.9347 4214.352 777.413 388.706 4
0.9397 4421.819 1018.350 509.175 4
0.9447 4412.406 792.996 396.498 4
0.9497 4535.391 1144.827 572.413 4
0.9548 4459.535 1008.386 504.193 4
0.9598 4551.031 949.846 474.923 4
