step mean std sem n
0.0251 22.110 2.248 1.589 2
0.0302 29.135 2.017 1.008 4
0.0352 33.954 1.702 0.851 4
0.0402 36.258 7.928 3.964 4
0.0452 41.950 8.944 4.472 4
0.0503 43.793 8.684 4.342 4
0.0553 46.182 9.084 4.542 4
0.0603 49.843 11.416 5.708 4
0.0653 52.895 14.791 7.395 4
0.0704 52.855 12.511 6.255 4
0.0754 54.856 12.668 6.334 4
0.0804 51.702 14.785 7.392 4
0.0854 50.309 16.867 8.433 4
0.0905 51.735 18.791 9.395 4
0.0955 51.478 16.530 8.265 4
0.1005 52.754 19.185 9.592 4
0.1055 52.938 21.684 10.842 4
0.1106 52.812 17.276 8.638 4
0.1156 56.781 15.867 7.934 4
0.1206 58.451 16.664 8.332 4
0.1256 61.674 19.233 9.616 4
0.1307 61.373 19.444 9.722 4
0.1357 61.048 17.957 8.979 4
0.1407 60.959 16.561 8.280 4
0.1457 56.588 9.009 4.504 4
0.1508 54.587 13.490 6.745 4
0.1558 57.770 15.443 7.721 4
0.1608 62.002 14.168 7.084 4
0.1658 59.117 9.854 4.927 4
0.1709 60.328 10.572 5.286 4
0.1759 60.468 6.718 3.359 4
0.1809 61.328 7.492 3.746 4
0.1859 59.332 7.960 3.980 4
0.1910 60.127 6.442 3.221 4
0.1960 57.954 10.537 5.269 4
0.2010 51.941 13.116 6.558 4
0.2060 52.101 10.376 5.188 4
0.2111 52.172 11.814 5.907 4
0.2161 55.063 13.288 6.644 4
0.2211 53.650 15.977 7.989 4
0.2261 55.968 17.973 8.986 4
0.2312 57.660 18.199 9.100 4
0.2362 60.549 20.077 10.039 4
0.2412 65.003 22.036 11.018 4
0.2462 65.024 22.659 11.330 4
0.2513 67.847 23.767 11.883 4
0.2563 68.991 25.021 12.510 4
0.2613 70.526 25.249 12.625 4
0.2663 70.318 25.585 12.792 4
0.2714 71.305 25.584 12.792 4
0.2764 71.635 21.527 10.763 4
0.2814 73.552 22.389 11.194 4
0.2864 74.759 26.750 13.375 4
0.2915 71.331 20.601 10.301 4
0.2965 72.275 20.692 10.346 4
0.3015 68.506 17.902 8.951 4
0.3065 66.879 15.236 7.618 4
0.3116 66.157 13.931 6.966 4
0.3166 64.634 15.741 7.871 4
0.3216 65.690 15.703 7.851 4
0.3266 67.312 16.947 8.474 4
0.3317 64.543 16.194 8.097 4
0.3367 62.908 14.720 7.360 4
0.3417 66.548 16.256 8.128 4
0.3467 72.013 16.010 8.005 4
