step mean std sem n
0.0251 9.556 0.000 0.000 1
0.0302 11.600 0.000 0.000 1
0.0352 31.114 12.895 7.445 3
0.0402 29.179 9.190 5.306 3
0.0452 31.837 6.696 3.866 3
0.0503 42.047 14.247 7.123 4
0.0553 41.050 11.287 5.643 4
0.0603 41.559 13.082 6.541 4
0.0653 41.319 12.393 6.197 4
0.0704 41.604 14.111 7.055 4
0.0754 42.735 14.533 7.267 4
0.0804 40.153 12.246 6.123 4
0.0854 39.012 7.500 3.750 4
0.0905 39.535 4.646 2.323 4
0.0955 42.635 2.801 1.400 4
0.1005 43.901 4.037 2.019 4
0.1055 45.705 2.454 1.227 4
0.1106 49.022 3.250 1.625 4
0.1156 50.622 2.733 1.366 4
0.1206 49.656 2.790 1.395 4
0.1256 49.826 3.191 1.595 4
0.1307 53.450 5.649 2.825 4
0.1357 54.437 8.687 4.344 4
0.1407 54.823 7.156 3.578 4
0.1457 52.092 6.354 3.177 4
0.1508 53.014 6.321 3.161 4
0.1558 53.712 8.792 4.396 4
0.1608 55.478 9.642 4.821 4
0.1658 55.903 10.972 5.486 4
0.1709 57.055 11.297 5.649 4
0.1759 54.638 10.702 5.351 4
0.1809 54.628 9.815 4.908 4
0.1859 50.724 8.046 4.023 4
0.1910 50.869 7.899 3.949 4
0.1960 51.490 8.681 4.340 4
0.2010 52.560 9.432 4.716 4
0.2060 48.080 3.208 1.604 4
0.2111 48.925 2.651 1.325 4
0.2161 49.719 3.306 1.653 4
0.2211 49.569 5.327 2.664 4
0.2261 50.231 8.093 4.046 4
0.2312 52.365 10.435 5.217 4
0.2362 51.722 10.371 5.185 4
0.2412 53.219 7.106 3.553 4
0.2462 54.703 10.939 5.470 4
0.2513 57.650 12.122 6.061 4
0.2563 56.549 9.649 4.824 4
0.2613 57.083 7.365 3.682 4
0.2663 60.185 3.383 1.692 4
0.2714 61.647 1.084 0.542 4
0.2764 64.120 3.643 1.821 4
0.2814 65.689 6.696 3.348 4
0.2864 68.438 6.880 3.440 4
0.2915 71.727 9.439 4.720 4
0.2965 74.471 10.679 5.339 4
0.3015 73.609 12.531 6.266 4
0.3065 72.627 12.219 6.109 4
0.3116 73.220 16.722 8.361 4
0.3166 72.941 18.409 9.204 4
0.3216 72.813 19.129 9.565 4
0.3266 69.111 14.770 7.385 4
0.3317 69.403 10.622 5.311 4
0.3367 69.762 7.393 3.697 4
0.3417 68.069 3.483 1.741 4
0.3467 67.776 7.355 3.677 4
0.3518 70.927 6.075 3.038 4
0.3568 72.627 7.677 3.838 4
0.3618 74.571 6.516 3.258 4
0.3668 77.952 6.997 3.498 4
0.3719 80.919 7.887 3.944 4
0.3769 83.224 6.774 3.387 4
0.3819 87.001 5.562 2.781 4
0.3869 84.294 6.973 3.486 4
0.3920 83.115 6.705 3.353 4
0.3970 84.931 8.605 4.302 4
0.4020 87.425 8.424 4.212 4
0.4070 86.609 6.390 3.195 4
0.4121 83.097 10.684 5.342 4
0.4171 83.456 13.164 6.582 4
0.4221 81.128 14.858 7.429 4
0.4271 81.798 14.557 7.279 4
0.4322 81.217 15.813 7.907 4
0.4372 79.965 15.014 7.507 4
0.4422 75.311 12.951 6.475 4
0.4472 79.695 10.754 5.377 4
0.4523 81.955 13.419 6.710 4
0.4573 83.659 11.819 5.909 4
0.4623 85.523 12.097 6.048 4
0.4673 85.226 10.933 5.467 4
0.4724 89.507 10.422 5.211 4
0.4774 93.559 6.855 3.427 4
0.4824 94.491 5.849 2.924 4
0.4874 95.224 11.144 5.572 4
0.4925 93.539 14.254 7.127 4
0.4975 89.398 15.923 7.962 4
0.5025 92.850 18.518 9.259 4
0.5075 93.432 15.080 7.540 4
0.5126 92.637 14.043 7.022 4
0.5176 90.128 17.219 8.609 4
0.5226 89.904 13.170 6.585 4
0.5276 87.911 14.829 7.415 4
0.5327 89.940 13.981 6.990 4
0.5377 93.197 11.677 5.839 4
0.5427 96.971 9.622 4.811 4
0.5477 97.042 13.901 6.950 4
0.5528 96.558 10.843 5.422 4
0.5578 95.354 14.158 7.079 4
0.5628 97.426 16.021 8.011 4
0.5678 94.265 17.013 8.506 4
0.5729 93.039 15.818 7.909 4
0.5779 88.850 18.385 9.192 4
0.5829 93.680 16.608 8.304 4
0.5879 95.523 20.803 10.402 4
0.5930 91.493 19.465 9.733 4
0.5980 91.684 18.107 9.054 4
0.6030 90.592 21.115 10.558 4
0.6080 90.477 22.746 11.373 4
0.6131 90.335 25.081 12.541 4
0.6181 93.558 28.341 14.170 4
0.6231 94.594 23.123 11.562 4
0.6281 96.254 23.960 11.980 4
0.6332 92.368 22.235 11.118 4
0.6382 89.388 15.112 7.556 4
0.6432 87.469 15.868 7.934 4
0.6482 90.174 15.494 7.747 4
0.6533 91.985 14.900 7.450 4
0.6583 93.396 17.331 8.665 4
0.6633 91.968 14.912 7.456 4
0.6683 95.001 15.883 7.941 4
0.6734 91.341 11.632 5.816 4
0.6784 90.798 13.682 6.841 4
0.6834 87.774 17.673 8.837 4
0.6884 89.251 17.150 8.575 4
0.6935 88.409 19.249 9.625 4
0.6985 86.392 20.480 10.240 4
0.7035 85.568 21.577 10.789 4
0.7085 82.592 21.377 10.689 4
0.7136 87.091 21.853 10.926 4
0.7186 90.371 24.839 12.420 4
0.7236 89.871 21.776 10.888 4
0.7286 93.397 20.617 10.309 4
0.7337 95.179 20.687 10.343 4
0.7387 94.163 14.809 7.404 4
0.7437 95.052 9.556 4.778 4
0.7487 94.443 10.768 5.384 4
0.7538 94.712 13.904 6.952 4
0.7588 96.775 13.486 6.743 4
0.7638 92.714 16.611 8.305 4
0.7688 96.352 18.677 9.339 4
0.7739 101.493 19.724 9.862 4
0.7789 104.506 17.171 8.586 4
0.7839 103.744 15.262 7.631 4
0.7889 103.761 16.026 8.013 4
0.7940 106.918 17.067 8.534 4
0.7990 107.106 14.592 7.296 4
0.8040 107.594 14.892 7.446 4
0.8090 111.094 16.338 8.169 4
0.8141 116.753 15.675 7.837 4
0.8191 118.534 18.437 9.218 4
0.8241 115.360 18.888 9.444 4
0.8291 114.883 26.071 13.035 4
0.8342 120.007 25.249 12.624 4
0.8392 120.502 24.129 12.065 4
0.8442 124.219 24.085 12.043 4
0.8492 120.473 17.772 8.886 4
0.8543 123.605 19.962 9.981 4
0.8593 123.232 17.973 8.986 4
0.8643 120.422 19.920 9.960 4
0.8693 113.382 14.060 7.030 4
0.8744 115.600 10.314 5.157 4
0.8794 116.206 8.217 4.108 4
0.8844 115.726 6.053 3.026 4
0.8894 112.789 5.596 2.798 4
0.8945 112.958 10.550 5.275 4
0.8995 107.354 7.492 3.746 4
0.9045 98.691 6.418 3.209 4
0.9095 100.515 4.067 2.033 4
0.9146 104.291 4.882 2.441 4
0.9196 105.151 7.620 3.810 4
0.9246 111.117 6.553 3.277 4
0.9296 107.144 10.689 5.344 4
0.9347 103.004 9.394 4.697 4
0.9397 102.089 7.408 3.704 4
0.9447 105.238 6.418 3.209 4
0.9497 109.555 7.428 3.714 4
0.9548 109.451 11.167 5.584 4
0.9598 110.822 6.433 3.217 4
0.9648 114.807 4.354 2.177 4
0.9698 110.659 5.866 2.933 4
0.9749 109.255 8.356 4.178 4
0.9799 109.707 10.529 5.265 4
0.9849 107.270 9.159 4.579 4
0.9899 110.619 11.144 5.572 4
0.9950 111.025 14.095 7.047 4
1.0000 105.000 13.638 6.819 4
