step mean std sem n
0.0201 67.216 0.000 0.000 1
0.0251 97.502 30.490 15.245 4
0.0302 140.183 30.043 15.021 4
0.0352 167.952 54.606 27.303 4
0.0402 203.318 57.068 28.534 4
0.0452 251.591 115.388 57.694 4
0.0503 286.089 147.856 73.928 4
0.0553 277.948 138.883 69.441 4
0.0603 295.889 138.586 69.293 4
0.0653 286.254 60.402 30.201 4
0.0704 296.466 44.149 22.075 4
0.0754 324.729 55.791 27.896 4
0.0804 349.413 68.429 34.215 4
0.0854 328.879 108.262 54.131 4
0.0905 326.372 154.670 77.335 4
0.0955 334.307 191.471 95.735 4
0.1005 313.922 198.808 99.404 4
0.1055 281.926 170.164 85.082 4
0.1106 261.618 76.631 38.316 4
0.1156 256.939 61.082 30.541 4
0.1206 297.890 79.500 39.750 4
0.1256 339.711 75.403 37.702 4
0.1307 350.500 75.230 37.615 4
0.1357 403.679 82.604 41.302 4
0.1407 454.483 94.117 47.059 4
0.1457 471.765 88.420 44.210 4
0.1508 514.168 130.965 65.483 4
0.1558 553.865 109.922 54.961 4
0.1608 515.355 138.495 69.247 4
0.1658 503.181 97.926 48.963 4
0.1709 465.105 81.181 40.590 4
0.1759 421.580 74.494 37.247 4
0.1809 383.109 142.604 71.302 4
0.1859 396.874 183.776 91.888 4
0.1910 391.239 196.010 98.005 4
0.1960 396.715 193.434 96.717 4
0.2010 410.062 159.744 79.872 4
0.2060 435.536 171.672 85.836 4
0.2111 462.623 189.741 94.870 4
0.2161 500.337 168.503 84.252 4
0.2211 509.093 177.607 88.804 4
0.2261 571.696 194.729 97.365 4
0.2312 587.110 223.034 111.517 4
0.2362 599.321 193.903 96.951 4
0.2412 576.102 203.426 101.713 4
0.2462 563.376 144.238 72.119 4
0.2513 593.193 139.492 69.746 4
0.2563 607.836 203.440 101.720 4
0.2613 624.189 157.633 78.816 4
0.2663 572.650 91.823 45.911 4
0.2714 563.540 62.537 31.269 4
0.2764 587.445 61.632 30.816 4
0.2814 559.438 84.402 42.201 4
0.2864 601.261 91.713 45.856 4
0.2915 562.645 97.453 48.726 4
0.2965 547.986 58.163 29.082 4
0.3015 601.420 76.294 38.147 4
0.3065 624.482 92.668 46.334 4
0.3116 633.040 98.015 49.008 4
0.3166 677.475 69.455 34.728 4
0.3216 698.100 53.857 26.929 4
0.3266 671.951 51.546 25.773 4
0.3317 698.728 75.034 37.517 4
0.3367 686.108 74.607 37.303 4
0.3417 735.400 94.955 47.477 4
0.3467 713.241 89.236 44.618 4
0.3518 721.869 83.215 41.608 4
0.3568 732.654 101.757 50.878 4
0.3618 725.975 127.706 63.853 4
0.3668 678.665 59.340 29.670 4
0.3719 739.250 123.751 61.876 4
0.3769 731.848 144.900 72.450 4
0.3819 694.853 147.428 73.714 4
0.3869 762.248 157.913 78.956 4
0.3920 776.471 125.782 62.891 4
0.3970 784.881 103.845 51.922 4
0.4020 780.770 122.727 61.364 4
0.4070 760.536 157.981 78.991 4
0.4121 730.269 118.475 59.237 4
0.4171 724.746 75.602 37.801 4
0.4221 704.618 55.032 27.516 4
0.4271 649.634 96.634 48.317 4
0.4322 628.882 115.001 57.500 4
0.4372 586.152 179.426 89.713 4
0.4422 601.303 152.465 76.232 4
