step mean std sem n
0.0201 83.336 59.334 29.667 4
0.0251 87.088 54.764 27.382 4
0.0302 111.863 65.667 32.833 4
0.0352 133.555 75.462 37.731 4
0.0402 200.479 121.477 60.738 4
0.0452 228.493 139.151 69.575 4
0.0503 232.433 144.865 72.433 4
0.0553 264.657 164.557 82.279 4
0.0603 248.706 172.187 86.094 4
0.0653 203.389 162.541 81.270 4
0.0704 261.977 202.288 101.144 4
0.0754 262.411 152.285 76.143 4
0.0804 276.616 140.812 70.406 4
0.0854 294.246 161.657 80.828 4
0.0905 328.633 186.264 93.132 4
0.0955 352.469 185.222 92.611 4
0.1005 359.794 222.324 111.162 4
0.1055 365.722 235.513 117.756 4
0.1106 386.773 242.849 121.424 4
0.1156 408.222 243.387 121.694 4
0.1206 448.326 236.055 118.027 4
0.1256 455.651 218.327 109.163 4
0.1307 470.833 209.513 104.756 4
0.1357 486.326 243.461 121.731 4
0.1407 477.224 216.386 108.193 4
0.1457 451.784 222.792 111.396 4
0.1508 440.310 227.435 113.718 4
0.1558 418.195 210.248 105.124 4
0.1608 430.371 273.029 136.515 4
0.1658 445.156 229.524 114.762 4
0.1709 465.314 187.054 93.527 4
0.1759 499.550 136.919 68.459 4
0.1809 502.188 34.743 17.371 4
0.1859 503.171 30.966 15.483 4
0.1910 503.879 47.170 23.585 4
0.1960 546.825 77.739 38.870 4
0.2010 590.758 89.070 44.535 4
0.2060 525.172 119.793 59.896 4
0.2111 554.413 135.934 67.967 4
0.2161 529.794 251.059 125.530 4
0.2211 541.475 252.258 126.129 4
0.2261 545.701 286.751 143.375 4
0.2312 534.537 300.718 150.359 4
0.2362 529.950 271.850 135.925 4
0.2412 557.268 338.068 169.034 4
0.2462 556.966 349.509 174.754 4
0.2513 566.228 312.248 156.124 4
0.2563 572.413 336.932 168.466 4
0.2613 605.477 361.910 180.955 4
0.2663 622.230 351.546 175.773 4
0.2714 644.540 360.850 180.425 4
0.2764 671.816 337.759 168.880 4
0.2814 722.080 358.790 179.395 4
0.2864 741.702 370.429 185.215 4
0.2915 748.913 412.471 206.235 4
0.2965 693.058 352.742 176.371 4
0.3015 690.419 317.169 158.584 4
0.3065 669.685 281.128 140.564 4
0.3116 624.961 313.669 156.834 4
0.3166 611.000 329.251 164.625 4
0.3216 588.487 378.980 189.490 4
0.3266 623.545 361.573 180.786 4
0.3317 651.472 374.537 187.269 4
0.3367 654.698 316.737 158.369 4
