idx game dhns lo hi pos neg hatch em ep
1 Freeway -0.1573 -0.5535 0.1038 nan -0.1573 nan 0.3962 0.2611
2 UpNDown -0.1122 -0.1849 -0.0331 nan -0.1122 nan 0.0727 0.0791
3 DemonAttack -0.0976 -0.2522 0.0651 nan -0.0976 nan 0.1546 0.1627
4 Qbert -0.0626 -0.1710 0.0605 nan -0.0626 nan 0.1084 0.1231
5 Assault -0.0385 -0.1000 0.0242 nan -0.0385 nan 0.0615 0.0627
6 ChopperCommand -0.0277 -0.1003 0.0531 nan -0.0277 nan 0.0726 0.0808
7 BattleZone -0.0237 -0.3168 0.2904 nan -0.0237 nan 0.2931 0.3140
8 Asterix -0.0035 -0.0182 0.0106 nan -0.0035 nan 0.0147 0.0141
9 PrivateEye -0.0009 -0.0014 -0.0003 nan -0.0009 nan 0.0005 0.0006
10 Seaquest 0.0027 0.0007 0.0047 0.0027 nan nan 0.0020 0.0019
11 Alien 0.0125 -0.0210 0.0455 0.0125 nan nan 0.0335 0.0330
12 Amidar 0.0138 -0.0001 0.0281 0.0138 nan nan 0.0140 0.0142
13 MsPacman 0.0176 -0.0374 0.0768 0.0176 nan nan 0.0550 0.0592
14 Hero 0.0232 -0.0542 0.0969 0.0232 nan nan 0.0773 0.0737
15 Gopher 0.0425 -0.0258 0.1140 0.0425 nan nan 0.0683 0.0715
16 Frostbite 0.0472 -0.1724 0.2579 0.0472 nan nan 0.2196 0.2107
17 Pong 0.0565 -0.0025 0.1223 0.0565 nan nan 0.0590 0.0658
18 Kangaroo 0.1016 -0.0199 0.2726 0.1016 nan nan 0.1215 0.1710
19 KungFuMaster 0.1118 -0.1742 0.4736 0.1118 nan nan 0.2860 0.3618
20 RoadRunner 0.1195 -0.5300 0.7585 0.1195 nan nan 0.6496 0.6390
21 CrazyClimber 0.1322 -0.0809 0.3902 0.1322 nan nan 0.2131 0.2580
22 Krull 0.1514 -0.6105 0.8008 0.1514 nan nan 0.7619 0.6494
23 BankHeist 0.2234 -0.0086 0.4737 0.2234 nan nan 0.2320 0.2504
24 Jamesbond 0.2534 -0.0023 0.4965 0.2534 nan nan 0.2557 0.2431
25 Breakout 0.4276 -0.0016 1.1313 0.4276 nan nan 0.4293 0.7037
26 Boxing 0.5101 -0.0575 1.0316 0.5101 nan nan 0.5676 0.5214
