episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,451,1.2754,8.2941,1503,500,1503,500,1.9838,1.0965,9.71202e-10,0.0013199,0.00185074,0.00219299
0,Hankel a0 rollout,443,1.1276,3.4488,1503,500,1503,500,1.8847,1.0838,1.66704e-06,0.00125395,0.00182665,0.0021676
0,Hankel a1 rollout,484,11.4273,18.9207,1503,500,1503,500,1.9912,1.0292,5.54232e-07,0.00132483,0.00195178,0.00205837
0,Hankel a2 rollout,432,1.1513,1.9210,1503,500,1503,500,1.7842,1.1062,2.32502e-06,0.00118712,0.00189367,0.00221248
0,Hankel a3 rollout,403,1.0898,3.4788,1503,500,1503,500,2.2391,1.1920,2.95864e-06,0.00148972,0.00184819,0.00238398
0,Hankel a4 rollout,435,1.1266,5.5275,1503,500,1503,500,1.8269,1.1109,1.04947e-06,0.00121547,0.00184088,0.00222183
0,Hankel a5 rollout,341,1.0222,2.4173,1503,500,1503,500,2.3945,1.4048,2.08626e-06,0.00159314,0.00175871,0.00280969
0,Hankel a6 rollout,368,1.0675,2.0858,1503,500,1503,500,2.0341,1.2790,2.35165e-06,0.00135335,0.00187329,0.00255792
0,Hankel a7 rollout,476,2.6584,5.4288,1503,500,1503,500,1.7872,1.0390,8.06088e-08,0.0011891,0.00193442,0.0020781
100,Hankel Q rollout,75,1.0063,1.4889,1125,375,1125,375,1.9013,1.5261,0.000144181,0.00169001,0.00231283,0.00406971
100,Hankel a0 rollout,370,1.7959,2.4339,1125,375,1125,375,1.2133,1.0110,0.00071015,0.00107853,0.00263319,0.00269588
100,Hankel a1 rollout,372,8.0086,2.7435,1125,375,1125,375,1.2410,1.0073,0.000589464,0.0011031,0.0026358,0.00268622
100,Hankel a2 rollout,371,2.6125,2.4650,1125,375,1125,375,1.2747,1.0101,0.000510706,0.00113303,0.00263255,0.0026936
100,Hankel a3 rollout,371,2.2742,2.7085,1125,375,1125,375,1.2690,1.0107,0.000579558,0.001128,0.00262033,0.00269524
100,Hankel a4 rollout,371,11.5937,2.8154,1125,375,1125,375,1.1902,1.0090,0.000608167,0.00105796,0.00260854,0.00269073
100,Hankel a5 rollout,371,2.6118,2.3679,1125,375,1125,375,1.1206,1.0096,0.000784411,0.000996097,0.00263058,0.00269217
100,Hankel a6 rollout,372,8.4556,2.6621,1125,375,1125,375,1.1948,1.0080,0.000623269,0.00106207,0.0026234,0.0026881
100,Hankel a7 rollout,371,4.4408,2.6509,1125,375,1125,375,1.2851,1.0083,0.000590921,0.00114232,0.00261213,0.0026888
200,Hankel Q rollout,19,1.0142,1.4068,477,159,477,159,4.1144,2.6649,7.51704e-05,0.00862557,0.00433066,0.0167606
