episode,reward,steps
0,1.820538,55
1,-115.93961,221
2,-8.169819,76
3,-22.363614,30
4,-18.313763,91
5,-114.392061,204
6,-2.317082,38
7,-7.512663,22
8,-323.323337,1000
9,-8.579215,15
10,-39.205015,54
11,-19.012661,133
12,-41.086195,135
13,-21.086287,30
14,-15.44541,18
15,-59.412965,289
16,-45.325206,133
17,1.6655,32
18,-9.079223,74
19,-16.465075,16
20,-4.166625,42
21,6.315913,102
22,-13.611362,89
23,-102.915919,141
24,-10.654673,62
25,15.380749,34
26,-307.670974,1000
27,-10.789142,43
28,-257.855733,1000
29,-24.991143,59
30,-154.711697,362
31,8.548844,15
32,-16.872432,116
33,-16.134101,48
34,-339.375561,1000
35,-61.175972,74
36,-29.063,105
37,-333.121778,1000
38,-108.967076,248
39,-316.712738,1000
40,-13.103553,14
41,-20.371006,64
42,8.873382,16
43,2.512312,14
44,18.527685,107
45,-11.849681,35
46,-3.489822,15
47,-20.302638,39
48,-16.017638,28
49,-79.335073,99
50,-30.800982,75
51,-8.110086,13
52,-48.519677,190
53,-19.88296,25
54,-420.459897,1000
55,-14.443527,76
56,-86.602536,129
57,-35.263727,171
58,-73.973406,121
59,-2.489555,16
60,-1.130249,170
61,-31.101591,68
62,-18.245335,42
63,-497.303362,1000
64,-25.163362,42
65,-421.579979,1000
66,-65.585382,135
67,-41.42154,136
68,-48.602925,58
69,-40.608747,40
70,4.804674,37
71,-27.564186,25
72,-416.853222,1000
73,-18.221299,55
74,-95.238968,134
75,-8.446945,15
76,-10.072446,75
77,-58.186985,234
78,-3.471191,15
79,-27.048115,132
80,-4.906231,26
81,-62.393412,127
82,-309.937246,1000
83,6.926743,79
84,-16.525159,133
85,-36.081979,75
86,-153.904159,591
87,-34.042142,300
88,-16.538256,109
89,-212.390655,644
90,-101.692643,629
91,-2.962296,229
92,31.839044,177
93,29.099691,358
94,-12.557616,456
95,-39.777876,134
96,47.703393,1000
97,61.428343,1000
98,212.716258,594
99,58.482594,174
100,52.853723,134
101,167.45046,489
102,225.703366,1000
103,5.50909,26
104,312.765146,1000
105,315.975876,1000
106,178.03833,643
107,231.760525,712
108,309.43423,1000
109,200.419796,1000
110,245.104965,1000
111,30.91777,117
112,511.009511,1000
113,107.887299,174
114,180.778664,306
115,39.341471,76
116,559.982453,1000
117,49.401522,167
118,100.239436,131
119,262.916414,1000
120,362.993363,1000
121,17.261233,26
122,19.041765,51
123,27.504854,39
124,5.564559,26
125,380.870988,533
126,170.198425,308
127,277.308629,1000
128,113.915409,131
129,162.890564,320
130,245.696136,1000
131,383.68437,1000
132,41.893622,53
133,83.835572,139
134,734.927198,1000
135,195.135157,619
136,142.513475,183
137,67.316364,256
138,442.700048,1000
139,206.713195,321
140,441.562516,1000
141,288.141271,1000
142,39.037616,67
143,255.018348,258
144,46.10856,115
145,409.436455,1000
146,481.442093,1000
147,0.597307,12
148,266.161058,348
149,503.970533,1000
150,618.403055,1000
151,194.021472,238
152,566.1684,1000
153,312.306567,324
154,48.646423,70
155,593.069446,1000
156,100.158156,144
157,534.409766,1000
158,764.981505,1000
159,123.043004,167
160,401.880895,723
161,105.03541,125
162,41.640725,51
163,524.215959,519
164,513.367288,1000
165,460.032966,1000
166,105.044142,100
167,125.353008,114
168,626.864263,1000
169,78.075487,88
170,163.303217,307
171,511.906977,1000
172,379.197263,447
173,303.422312,393
174,89.174799,77
175,344.098454,362
176,713.11175,1000
177,90.399552,105
178,121.344672,144
179,476.160758,1000
180,615.780258,1000
181,631.659135,1000
182,66.306329,68
183,635.434889,1000
184,668.676078,1000
185,142.004157,169
186,58.387711,52
187,38.097515,31
188,757.219013,939
189,689.767025,1000
190,45.948335,48
191,622.602394,1000
192,99.090604,95
193,201.414059,338
194,16.033707,24
195,692.739869,1000
196,76.094194,81
197,249.274714,245
198,28.648753,35
199,195.846204,193
200,226.040402,319
201,509.459828,1000
202,100.991186,123
203,373.564414,355
204,160.895489,203
205,700.08677,1000
206,77.015991,101
207,692.004119,1000
208,281.258461,316
209,175.859397,208
210,66.319805,121
211,86.644471,94
212,142.057359,138
213,475.675616,1000
214,599.00884,630
215,688.026211,1000
216,622.49182,1000
217,181.149329,210
218,451.477291,1000
219,559.908677,534
220,90.781764,84
221,32.214081,31
222,538.55393,498
223,312.279628,290
224,552.598805,1000
225,1141.6546,1000
226,125.587516,142
227,396.098594,532
228,132.999032,134
229,214.216519,228
230,789.062271,1000
231,937.872763,1000
232,258.260414,233
233,850.56468,1000
234,410.932023,347
235,219.363962,214
236,185.563753,139
237,679.883693,1000
238,56.481053,181
239,99.180732,150
240,389.748514,344
241,784.434215,1000
242,920.32039,1000
243,252.805203,212
244,779.586402,1000
245,794.613932,1000
246,98.498093,87
247,962.95777,1000
248,679.828827,1000
249,786.457653,1000
250,881.080835,1000
251,668.034052,1000
252,780.330674,1000
253,69.599998,54
254,711.203246,1000
255,76.303075,46
256,194.150597,150
257,99.190746,102
258,381.012615,325
259,37.183428,40
260,818.17769,1000
261,807.546413,1000
262,552.657602,447
263,752.757127,1000
264,776.632793,1000
265,88.359712,68
266,825.412262,1000
267,78.083218,60
268,756.503865,1000
269,775.042517,1000
270,453.438489,403
271,356.070114,292
272,219.638782,189
273,755.50153,1000
274,80.505634,76
275,304.533318,238
276,153.531573,117
277,276.580818,170
278,858.224642,1000
279,638.779011,404
280,1088.118973,1000
281,975.051994,1000
282,603.859366,427
283,966.823803,1000
284,88.919246,70
285,215.46114,200
286,838.574976,1000
287,314.285569,240
288,78.991014,58
289,780.814131,1000
290,209.474881,163
291,778.730111,1000
292,354.262502,254
293,115.876462,107
294,798.219228,1000
295,24.836635,39
296,369.241032,236
297,827.221072,1000
298,217.129113,170
299,91.369467,79
300,919.464664,1000
301,396.154835,294
302,186.09556,171
303,127.995874,101
304,38.808036,35
305,662.400271,1000
306,597.50927,433
307,787.214325,1000
308,220.806406,177
309,861.677751,1000
310,712.189713,1000
311,109.719102,99
312,113.95047,96
313,1006.587457,686
314,707.15988,509
315,89.12587,65
316,773.732134,1000
317,717.430466,1000
318,808.68946,1000
319,815.978343,1000
320,40.552359,37
321,1478.381052,1000
322,1375.207229,1000
323,803.10873,1000
324,63.4164,57
325,1166.426264,1000
326,817.208356,1000
327,1522.154849,1000
328,290.923239,176
329,206.136221,164
330,1212.264094,1000
331,984.911637,1000
332,1002.733621,1000
333,936.147829,1000
334,578.753209,349
335,245.536766,143
336,742.895435,1000
337,350.219357,330
338,1460.64888,1000
339,109.938085,88
340,84.416703,68
341,1567.32369,1000
342,872.087622,1000
343,880.462518,1000
344,172.677524,151
345,148.867144,89
346,1035.039166,1000
347,552.689071,342
348,822.994186,532
349,80.788387,46
350,834.842812,1000
351,13.631411,29
352,975.331939,615
353,861.0319,1000
354,1154.974035,721
355,223.52299,138
356,472.033227,323
357,57.220321,58
358,747.325024,1000
359,602.115792,397
360,581.332173,364
361,675.950341,406
362,159.713808,95
363,1617.792623,1000
364,53.425882,37
365,1141.217592,1000
366,138.460913,87
367,1063.162968,1000
368,272.681129,165
369,705.695521,1000
370,768.757296,520
371,1780.70261,1000
372,1141.775421,1000
373,502.213019,304
374,1652.048776,1000
375,897.037782,1000
376,674.048544,388
377,1023.575249,1000
378,930.244514,581
379,74.842849,45
380,754.411668,1000
381,941.146188,1000
382,1539.143017,1000
383,304.781879,215
384,562.311561,1000
385,264.126251,217
386,809.947008,462
387,222.754101,138
388,1147.54399,668
389,1710.443155,1000
390,1138.422126,1000
391,921.379384,492
392,1174.321044,1000
393,504.708403,346
394,252.633051,152
395,1653.664769,1000
396,165.737072,125
397,1428.730475,1000
398,23.626755,22
399,236.38855,189
400,1717.233687,1000
401,969.082075,645
402,341.849233,287
403,328.5716,170
404,928.651996,1000
405,360.725452,187
406,1835.213424,1000
407,219.456093,145
408,163.279244,76
409,1757.106132,1000
410,1778.070283,1000
411,1341.139771,756
412,1881.781878,1000
413,1917.043901,1000
414,699.840051,1000
415,2005.677552,1000
416,1609.9322,1000
417,980.408757,556
418,1123.164748,618
419,272.757154,126
420,858.577874,1000
421,1864.531081,1000
422,657.945528,1000
423,809.938078,506
424,1837.911809,1000
425,1420.239472,770
426,1515.709267,1000
427,1251.090015,1000
428,1527.457123,1000
429,1508.282885,833
430,560.628917,333
431,1014.440004,530
432,718.835251,348
