episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,109,1.0996,28.5424,1503,500,1503,500,12.0129,4.5696,2.88373e-06,0.00799259,2.49103e-05,0.00913918
0,Hankel a0 rollout,13,1.0027,5.8331,1503,500,1503,500,45.6512,33.7439,4.72017e-05,0.0303734,0.000156393,0.0674877
0,Hankel a1 rollout,1,1.0007,3.9827,1503,500,1503,500,1.0792,1.0408,0.00062814,0.000718018,0.00199008,0.00208159
0,Hankel a2 rollout,87,1.0560,15.9154,1503,500,1503,500,12.4219,5.6975,5.05449e-06,0.00826471,3.25995e-05,0.0113951
0,Hankel a3 rollout,40,1.0147,3.8005,1503,500,1503,500,18.0328,11.5732,1.65828e-05,0.0119978,6.87495e-05,0.0231464
0,Hankel a4 rollout,4,1.0017,2.2822,1503,500,1503,500,16.2820,13.1166,0.000150604,0.010833,0.000596733,0.0262331
0,Hankel a5 rollout,40,1.0065,6.4138,1503,500,1503,500,23.7215,12.1554,9.18582e-06,0.0157828,6.9676e-05,0.0243108
0,Hankel a6 rollout,5,1.0017,2.9275,1503,500,1503,500,90.5433,84.6999,0.000115001,0.0602417,0.000413404,0.1694
0,Hankel a7 rollout,4,1.0018,4.4959,1503,500,1503,500,56.9020,58.8156,0.000153749,0.0378589,0.000573034,0.117631
100,Hankel Q rollout,1,1.0001,1.2396,1503,500,1503,500,1.0186,1.0086,0.000662545,0.000677703,0.00199864,0.00201714
100,Hankel a0 rollout,31,1.2711,2.9409,1503,500,1503,500,26.8625,14.6948,4.17299e-06,0.0178726,0.000145521,0.0293895
100,Hankel a1 rollout,22,1.4187,2.3332,1503,500,1503,500,23.1744,19.0941,1.20642e-05,0.0154187,0.000202019,0.0381882
100,Hankel a2 rollout,1,1.0008,1.0314,1503,500,1503,500,1.0051,1.0030,0.000609728,0.000668732,0.00186856,0.00200608
100,Hankel a3 rollout,21,1.0671,2.3474,1503,500,1503,500,27.5340,18.9465,4.183e-05,0.0183193,0.000206212,0.037893
100,Hankel a4 rollout,4,1.0027,1.3296,1503,500,1503,500,15.1120,16.5453,0.000142729,0.0100545,0.00103588,0.0330906
100,Hankel a5 rollout,6,1.1012,1.6463,1503,500,1503,500,35.0520,33.9672,0.000145113,0.0233214,0.000707238,0.0679344
100,Hankel a6 rollout,24,1.0077,2.2910,1503,500,1503,500,25.0538,16.5426,3.16427e-05,0.0166692,0.000178452,0.0330853
100,Hankel a7 rollout,1,1.0004,1.2438,1503,500,1503,500,1.0127,1.0021,0.000629921,0.00067376,0.00193037,0.00200411
200,Hankel Q rollout,19,1.0096,1.2071,225,74,225,74,2.9697,2.0121,0.00184947,0.0131986,0.0106394,0.027191
200,Hankel a0 rollout,74,25.2123,2.5055,225,74,225,74,1.2357,1.0000,0.00308975,0.00549202,0.0135135,0.0135135
200,Hankel a1 rollout,74,5.7308,1.9738,225,74,225,74,1.2985,1.0000,0.00347672,0.00577106,0.0135135,0.0135135
200,Hankel a2 rollout,74,5.4328,2.1153,225,74,225,74,1.1944,1.0000,0.00327027,0.00530824,0.0135135,0.0135135
200,Hankel a3 rollout,74,10.0251,2.0738,225,74,225,74,1.4264,1.0000,0.00284763,0.0063395,0.0135135,0.0135135
200,Hankel a4 rollout,74,23.3397,2.0397,225,74,225,74,1.3086,1.0000,0.0036952,0.00581596,0.0135135,0.0135135
200,Hankel a5 rollout,74,5.8880,2.1776,225,74,225,74,1.4219,1.0000,0.00223657,0.00631947,0.0135135,0.0135135
200,Hankel a6 rollout,74,31.2892,2.3258,225,74,225,74,1.2561,1.0000,0.00328345,0.00558258,0.0135135,0.0135135
200,Hankel a7 rollout,74,9.5920,2.3979,225,74,225,74,1.2664,1.0000,0.00349531,0.00562832,0.0135135,0.0135135
300,Hankel Q rollout,3,1.0035,1.1126,36,11,36,11,8.2704,2.7554,0.00842109,0.229733,0.0308832,0.250495
300,Hankel a0 rollout,11,5.4567,2.1893,36,11,36,11,1.3290,1.0000,0.0144551,0.0369168,0.0909091,0.0909091
300,Hankel a1 rollout,11,3.1785,1.9438,36,11,36,11,1.7294,1.0000,0.0183664,0.0480392,0.0909091,0.0909091
300,Hankel a2 rollout,11,3.8360,1.8737,36,11,36,11,2.0662,1.0000,0.0087269,0.0573958,0.0909091,0.0909091
300,Hankel a3 rollout,11,6.0800,2.4208,36,11,36,11,1.5447,1.0000,0.0159577,0.0429076,0.0909091,0.0909091
300,Hankel a4 rollout,11,3.4022,1.8871,36,11,36,11,1.8548,1.0000,0.00811689,0.0515228,0.0909091,0.0909091
300,Hankel a5 rollout,11,1.5527,1.8123,36,11,36,11,1.6583,1.0000,0.0128139,0.0460629,0.0909091,0.0909091
300,Hankel a6 rollout,11,4.3127,2.1547,36,11,36,11,1.5444,1.0000,0.0118123,0.0428992,0.0909091,0.0909091
300,Hankel a7 rollout,11,5.1050,2.3101,36,11,36,11,1.4189,1.0000,0.0120001,0.0394145,0.0909091,0.0909091
400,Hankel Q rollout,18,1.0030,1.1255,609,202,609,202,1.9094,1.3094,0.000943402,0.00313529,0.0043311,0.00648242
400,Hankel a0 rollout,200,35.9289,2.1185,609,202,609,202,1.1969,1.0099,0.00135594,0.00196527,0.00483856,0.00499973
400,Hankel a1 rollout,200,41.7599,2.1312,609,202,609,202,1.1070,1.0096,0.00132946,0.00181771,0.00488686,0.00499778
400,Hankel a2 rollout,200,2.1883,1.9139,609,202,609,202,1.3224,1.0098,0.00120945,0.00217148,0.00480258,0.0049989
400,Hankel a3 rollout,201,4.9807,2.0635,609,202,609,202,1.1091,1.0050,0.00137801,0.00182111,0.00485227,0.00497512
400,Hankel a4 rollout,200,8.8664,1.7771,609,202,609,202,1.2089,1.0096,0.00139816,0.00198505,0.00488891,0.00499825
400,Hankel a5 rollout,200,12.7820,2.8560,609,202,609,202,1.1363,1.0068,0.00147838,0.00186581,0.00490932,0.00498403
400,Hankel a6 rollout,201,38.9886,2.3104,609,202,609,202,1.1984,1.0050,0.001395,0.00196775,0.00478772,0.00497512
400,Hankel a7 rollout,199,1.7327,2.0045,609,202,609,202,1.1577,1.0138,0.00137551,0.00190097,0.00486129,0.00501878
500,Hankel Q rollout,5,1.0018,1.1104,435,145,435,145,13.3830,4.5374,0.000505348,0.0307656,0.00199023,0.0312926
