grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03
0,10001,17,3,240,32,0,5.1489973068237305,2.008950710296631,1.88420569896698,1.8476492166519165,1.6512662172317505,1.5707292556762695,1.3951855897903442,1.295988917350769,1.1541587114334106,1.1269978284835815,1.0995185375213623,1.0767697095870972,1.0128669738769531,0.9629144668579102,0.9222412705421448,0.8662819266319275,0.8140004873275757,2.5579183101654053,1.3509470224380493,0.9457501173019409
0,10001,17,3,240,32,1,3.034491539001465,1.721052646636963,1.6382554769515991,1.5756951570510864,1.4184060096740723,1.3582000732421875,1.2670351266860962,1.2009893655776978,1.0907601118087769,1.0524481534957886,0.9777119755744934,0.9446536898612976,0.8947310447692871,0.859188973903656,0.8035787343978882,0.7670655846595764,0.7189236879348755,1.726776361465454,1.2917078733444214,0.8758300542831421
5000,15001,17,3,239,34,0,385.9234313964844,86.20116424560547,53.65821075439453,37.08999252319336,29.477479934692383,23.07301902770996,18.10912322998047,17.190067291259766,13.391972541809082,12.87976360321045,11.718342781066895,10.736007690429688,10.169329643249512,9.975871086120605,9.25643253326416,8.80742073059082,8.661860466003418,170.97235107421875,21.251434326171875,10.121869087219238
5000,15001,17,3,239,34,1,384.7082214355469,86.44956970214844,54.60469055175781,36.337520599365234,30.38553237915039,22.344289779663086,18.796405792236328,17.834409713745117,13.524833679199219,12.642651557922363,11.787862777709961,10.918767929077148,10.29286003112793,9.68521785736084,9.229702949523926,9.052447319030762,8.384917259216309,169.89303588867188,21.077194213867188,10.960836410522461
10000,20001,17,3,241,45,0,647.8806762695312,101.62459564208984,73.28472900390625,40.13566207885742,35.543243408203125,26.42504119873047,23.477497100830078,20.926753997802734,19.042152404785156,16.385526657104492,14.60615348815918,14.346488952636719,14.281805992126465,12.877786636352539,11.612589836120605,10.99293041229248,10.82630729675293,286.3482360839844,28.278989791870117,13.4083890914917
10000,20001,17,3,241,45,1,646.1488647460938,101.87507629394531,73.56778717041016,41.55154800415039,35.34783935546875,26.007911682128906,24.04865264892578,21.286714553833008,18.49919319152832,16.79891586303711,14.936403274536133,14.230636596679688,14.11758804321289,12.473271369934082,11.377045631408691,11.356714248657227,10.479354858398438,286.15057373046875,28.006126403808594,14.259434700012207
15000,25001,17,3,237,51,0,744.0784912109375,102.46654510498047,65.44637298583984,45.62067794799805,34.177913665771484,28.204984664916992,24.028667449951172,22.820568084716797,21.383785247802734,19.35329246520996,17.468984603881836,16.733444213867188,14.967177391052246,13.876672744750977,13.405571937561035,12.29051399230957,11.389777183532715,325.8718566894531,24.71293067932129,16.787534713745117
15000,25001,17,3,237,51,1,741.9041137695312,101.4941635131836,63.03178024291992,45.439109802246094,37.380615234375,26.751394271850586,24.74434471130371,21.721881866455078,20.335424423217773,18.683183670043945,16.20551872253418,15.76134967803955,15.685635566711426,13.628473281860352,13.183345794677734,12.985852241516113,11.803224563598633,325.8856506347656,26.542266845703125,16.484426498413086
20000,30001,17,3,236,51,0,823.125732421875,118.56707000732422,72.4597396850586,53.38298416137695,37.789642333984375,30.780420303344727,23.99199676513672,22.873022079467773,21.15089225769043,18.542795181274414,17.773710250854492,17.352460861206055,16.254262924194336,15.097746849060059,13.58582592010498,13.065896034240723,12.31783390045166,342.97918701171875,27.075708389282227,18.55364227294922
20000,30001,17,3,236,51,1,824.1137084960938,117.4879150390625,72.9495849609375,51.90230178833008,38.03953552246094,29.819164276123047,23.534103393554688,22.52382469177246,21.53158950805664,17.34386444091797,16.97165870666504,16.21314239501953,15.753365516662598,14.59417724609375,14.026476860046387,12.741909980773926,11.977363586425781,345.0615234375,25.25102996826172,17.402639389038086
25000,35001,17,3,244,65,0,901.230224609375,116.35647583007812,66.9991455078125,52.47978973388672,38.51000213623047,31.689720153808594,27.044876098632812,23.343868255615234,22.529983520507812,20.758249282836914,18.138639450073242,17.248756408691406,17.054534912109375,14.602764129638672,13.84499740600586,12.90857982635498,12.455492973327637,380.2344665527344,28.680028915405273,17.903478622436523
25000,35001,17,3,244,65,1,910.8814697265625,115.69153594970703,67.33984375,50.603721618652344,36.649757385253906,30.066497802734375,27.496082305908203,23.510944366455078,22.201704025268555,20.379762649536133,18.258745193481445,17.30495262145996,16.490333557128906,15.601970672607422,14.168745994567871,13.650141716003418,12.560456275939941,384.55206298828125,27.29857063293457,17.305889129638672
30000,40001,17,3,248,70,0,993.965576171875,109.33441925048828,82.51859283447266,47.639774322509766,38.53441619873047,33.74490737915039,28.489498138427734,25.464475631713867,22.802886962890625,20.32896614074707,18.848934173583984,18.287267684936523,17.378639221191406,16.04416275024414,15.143932342529297,14.799777030944824,13.915454864501953,414.1374816894531,31.394275665283203,18.829126358032227
30000,40001,17,3,248,70,1,995.4140014648438,111.88365173339844,79.70733642578125,46.47140121459961,37.43288803100586,33.15747833251953,27.38117027282715,25.55727195739746,22.887426376342773,20.52474021911621,19.354881286621094,18.39290428161621,17.171998977661133,16.16571617126465,15.105387687683105,14.326396942138672,13.0615873336792,413.6274719238281,30.119352340698242,19.28650665283203
35000,45001,17,3,245,65,0,1073.688232421875,113.68497467041016,77.7406005859375,51.30327224731445,41.20760726928711,32.9111328125,27.35826873779297,25.6200008392334,20.835071563720703,20.19643211364746,18.39158058166504,17.210325241088867,16.539365768432617,15.145216941833496,13.905128479003906,13.462479591369629,13.105050086975098,446.19708251953125,28.55889892578125,18.894081115722656
35000,45001,17,3,245,65,1,1075.222412109375,112.378662109375,75.6330337524414,51.46061325073242,42.47164535522461,32.84190368652344,26.854379653930664,24.55906867980957,20.884626388549805,19.370899200439453,18.44260597229004,17.550809860229492,15.357552528381348,14.923599243164062,14.739738464355469,14.103809356689453,13.18343448638916,447.8494873046875,27.831180572509766,18.246192932128906
40000,50001,17,3,241,70,0,1136.3309326171875,120.2229232788086,70.00288391113281,49.384979248046875,40.53645324707031,31.290416717529297,27.518747329711914,22.82170867919922,21.644611358642578,19.580163955688477,18.53291130065918,17.11163330078125,15.470288276672363,14.82381534576416,13.203072547912598,12.772933959960938,12.214316368103027,476.3008117675781,30.723974227905273,16.11433219909668
40000,50001,17,3,241,70,1,1137.04345703125,119.17737579345703,69.97589874267578,48.48059844970703,42.31707000732422,31.732969284057617,25.966205596923828,22.449993133544922,21.772371292114258,18.615163803100586,17.66263198852539,16.50606346130371,15.189926147460938,14.309261322021484,14.021116256713867,13.133834838867188,12.622111320495605,475.8203430175781,30.122739791870117,16.91573143005371
45000,55001,17,3,239,81,0,1257.614501953125,104.01424407958984,73.74151611328125,48.56484603881836,39.9168586730957,29.97867774963379,26.89801025390625,24.022905349731445,20.547775268554688,18.927684783935547,17.021549224853516,16.499614715576172,16.344343185424805,15.720260620117188,14.441514015197754,13.464591026306152,12.326566696166992,525.8529663085938,34.15106964111328,18.513946533203125
45000,55001,17,3,239,81,1,1264.150390625,106.08428955078125,74.3078384399414,50.35185623168945,39.79512023925781,30.59444808959961,27.1358699798584,21.830795288085938,20.67633628845215,19.746553421020508,18.578733444213867,17.167823791503906,15.96570110321045,15.587600708007812,14.869922637939453,13.671674728393555,11.580992698669434,529.7430419921875,35.336448669433594,18.812105178833008
