episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,462,1.1892,2.3951,1503,500,1503,500,1.3183,1.0548,0.000509084,0.000877144,0.00184492,0.00210969
0,Hankel a0 rollout,488,1.9197,5.0830,1503,500,1503,500,1.3054,1.0144,0.000439541,0.000868525,0.0019418,0.00202889
0,Hankel a1 rollout,450,1.0830,2.3274,1503,500,1503,500,1.7657,1.0900,0.000198764,0.00117478,0.0017982,0.00218003
0,Hankel a2 rollout,396,1.0360,4.8498,1503,500,1503,500,2.2810,1.2019,0.000172054,0.0015176,0.00174266,0.00240385
0,Hankel a3 rollout,325,1.0107,3.5776,1503,500,1503,500,2.2587,1.4532,0.000411703,0.00150282,0.00164481,0.00290643
0,Hankel a4 rollout,90,1.0031,1.9109,1503,500,1503,500,8.2420,5.1592,4.31614e-05,0.00548371,0.000483897,0.0103184
0,Hankel a5 rollout,441,1.1599,5.8038,1503,500,1503,500,2.3007,1.1256,7.53868e-05,0.00153071,0.00176825,0.00225119
0,Hankel a6 rollout,375,1.0199,2.0288,1503,500,1503,500,1.7451,1.1865,0.000291769,0.0011611,0.00175769,0.00237301
0,Hankel a7 rollout,485,2.1719,7.1534,1503,500,1503,500,1.7246,1.0301,0.000346494,0.00114742,0.00189899,0.00206025
100,Hankel Q rollout,6,1.0609,1.5959,21,7,21,7,1.9725,1.1601,0.0165322,0.0939294,0.0756215,0.165728
100,Hankel a0 rollout,7,5.2434,1.6413,21,7,21,7,1.7957,1.0000,0.0280811,0.0855074,0.142857,0.142857
100,Hankel a1 rollout,7,4.1707,1.6832,21,7,21,7,1.4229,1.0000,0.0272087,0.0677583,0.142857,0.142857
100,Hankel a2 rollout,7,4.1275,2.0376,21,7,21,7,1.6763,1.0000,0.0242638,0.0798218,0.142857,0.142857
100,Hankel a3 rollout,7,3.2910,1.6392,21,7,21,7,1.9060,1.0000,0.0156663,0.0907619,0.142857,0.142857
100,Hankel a4 rollout,7,3.2553,1.9883,21,7,21,7,2.0182,1.0000,0.0194111,0.0961035,0.142857,0.142857
100,Hankel a5 rollout,7,3.9450,1.7356,21,7,21,7,1.3045,1.0000,0.0335287,0.0621195,0.142857,0.142857
100,Hankel a6 rollout,7,3.1980,1.8149,21,7,21,7,1.8460,1.0000,0.016788,0.0879026,0.142857,0.142857
100,Hankel a7 rollout,7,3.0665,1.8087,21,7,21,7,1.5622,1.0000,0.0263409,0.0743888,0.142857,0.142857
200,Hankel Q rollout,11,1.0183,1.2528,42,13,42,13,1.9248,1.1764,0.00967082,0.0458281,0.0611473,0.0904897
200,Hankel a0 rollout,13,2.7184,1.9919,42,13,42,13,1.7064,1.0000,0.0114747,0.0406276,0.0769231,0.0769231
200,Hankel a1 rollout,13,5.3247,2.1763,42,13,42,13,1.9602,1.0000,0.008475,0.0466704,0.0769231,0.0769231
200,Hankel a2 rollout,13,3.2270,1.9191,42,13,42,13,1.6040,1.0000,0.0124135,0.0381909,0.0769231,0.0769231
200,Hankel a3 rollout,13,5.0586,2.2750,42,13,42,13,1.5946,1.0000,0.0107093,0.0379678,0.0769231,0.0769231
200,Hankel a4 rollout,13,7.5129,2.2455,42,13,42,13,1.6387,1.0000,0.0134263,0.0390177,0.0769231,0.0769231
200,Hankel a5 rollout,13,2.5809,2.0153,42,13,42,13,1.9982,1.0000,0.00879784,0.0475758,0.0769231,0.0769231
200,Hankel a6 rollout,13,5.2800,2.0886,42,13,42,13,1.5942,1.0000,0.00669869,0.0379581,0.0769231,0.0769231
200,Hankel a7 rollout,13,4.8600,2.2031,42,13,42,13,1.6030,1.0000,0.0098979,0.0381665,0.0769231,0.0769231
300,Hankel Q rollout,22,1.0381,1.5241,81,27,81,27,1.6807,1.1955,0.00703703,0.0207493,0.026881,0.0442761
300,Hankel a0 rollout,27,2.5167,1.7191,81,27,81,27,1.6932,1.0000,0.0041294,0.0209037,0.037037,0.037037
300,Hankel a1 rollout,27,12.1155,1.8799,81,27,81,27,1.3944,1.0000,0.0073044,0.0172148,0.037037,0.037037
300,Hankel a2 rollout,27,8.0707,1.9161,81,27,81,27,1.3337,1.0000,0.00808714,0.0164652,0.037037,0.037037
300,Hankel a3 rollout,27,13.5683,1.9451,81,27,81,27,1.2726,1.0000,0.00844859,0.0157114,0.037037,0.037037
300,Hankel a4 rollout,27,4.1530,1.6832,81,27,81,27,1.2702,1.0000,0.00941462,0.0156812,0.037037,0.037037
300,Hankel a5 rollout,27,7.1303,2.1537,81,27,81,27,1.5582,1.0000,0.00768748,0.0192368,0.037037,0.037037
300,Hankel a6 rollout,27,14.8162,1.7526,81,27,81,27,1.5059,1.0000,0.00739295,0.0185908,0.037037,0.037037
300,Hankel a7 rollout,27,8.1792,1.9522,81,27,81,27,1.4231,1.0000,0.00537125,0.0175688,0.037037,0.037037
400,Hankel Q rollout,97,1.0723,1.4882,1503,500,1503,500,3.4538,3.7614,1.43711e-05,0.00229793,0.00063636,0.00752272
400,Hankel a0 rollout,484,2.5136,3.4705,1503,500,1503,500,2.2889,1.0317,3.45809e-06,0.00152291,0.00183269,0.00206344
400,Hankel a1 rollout,481,2.8548,3.0746,1503,500,1503,500,2.3227,1.0382,9.5018e-06,0.00154537,0.00177194,0.00207632
400,Hankel a2 rollout,487,3.9722,3.5044,1503,500,1503,500,2.3118,1.0262,7.64937e-07,0.00153814,0.00177761,0.00205241
400,Hankel a3 rollout,482,2.9175,3.0983,1503,500,1503,500,2.3869,1.0361,2.3884e-07,0.0015881,0.00180613,0.00207229
400,Hankel a4 rollout,484,2.7414,3.2641,1503,500,1503,500,2.3340,1.0319,4.75505e-06,0.00155292,0.00184171,0.00206383
400,Hankel a5 rollout,489,8.6948,3.9275,1503,500,1503,500,2.1653,1.0216,1.43246e-07,0.00144067,0.00187127,0.00204318
400,Hankel a6 rollout,486,9.5270,3.3555,1503,500,1503,500,2.2643,1.0284,9.27062e-07,0.00150652,0.00182679,0.00205673
400,Hankel a7 rollout,481,3.2871,2.7511,1503,500,1503,500,2.3176,1.0378,2.34271e-06,0.00154199,0.00177581,0.00207568
500,Hankel Q rollout,95,1.0685,1.4256,555,185,555,185,2.0986,1.5150,5.56646e-05,0.00378127,0.0044768,0.00818899
500,Hankel a0 rollout,183,2.6516,2.4513,555,185,555,185,1.6073,1.0109,0.000389032,0.00289601,0.00514284,0.00546426
500,Hankel a1 rollout,183,6.8397,2.3473,555,185,555,185,1.7143,1.0109,0.000294633,0.0030888,0.00525061,0.00546432
500,Hankel a2 rollout,184,5.5188,2.5230,555,185,555,185,1.7915,1.0054,0.000300177,0.00322798,0.00520497,0.00543478
500,Hankel a3 rollout,184,22.6919,2.8153,555,185,555,185,1.7514,1.0054,0.000172486,0.00315576,0.0052783,0.00543478
500,Hankel a4 rollout,184,38.1414,2.6291,555,185,555,185,1.6266,1.0054,0.00025384,0.00293077,0.00520046,0.00543478
500,Hankel a5 rollout,183,2.6259,2.3321,555,185,555,185,1.7868,1.0109,0.00042172,0.00321949,0.00520856,0.00546411
500,Hankel a6 rollout,183,6.4032,2.2952,555,185,555,185,1.8072,1.0108,0.000291329,0.00325615,0.00525573,0.00546402
500,Hankel a7 rollout,183,3.8567,2.3332,555,185,555,185,1.9412,1.0108,0.000433504,0.00349765,0.00520425,0.00546391
600,Hankel Q rollout,22,1.0434,1.3774,129,43,129,43,2.0949,1.6278,0.00137174,0.0162393,0.0164318,0.0378567
600,Hankel a0 rollout,43,2.1980,2.2227,129,43,129,43,1.6819,1.0000,0.00259627,0.0130378,0.0232558,0.0232558
600,Hankel a1 rollout,43,6.8790,2.0867,129,43,129,43,1.3996,1.0000,0.00372534,0.0108494,0.0232558,0.0232558
600,Hankel a2 rollout,43,2.2240,2.1339,129,43,129,43,1.4923,1.0000,0.00342101,0.0115682,0.0232558,0.0232558
600,Hankel a3 rollout,43,8.1565,2.5946,129,43,129,43,1.5569,1.0000,0.00267453,0.0120689,0.0232558,0.0232558
600,Hankel a4 rollout,43,10.1142,2.2269,129,43,129,43,1.3823,1.0000,0.0053927,0.0107158,0.0232558,0.0232558
600,Hankel a5 rollout,43,2.1058,2.2541,129,43,129,43,1.5865,1.0000,0.00366471,0.0122987,0.0232558,0.0232558
600,Hankel a6 rollout,43,9.9157,2.0438,129,43,129,43,1.4176,1.0000,0.00298675,0.0109891,0.0232558,0.0232558
600,Hankel a7 rollout,43,2.3255,2.2984,129,43,129,43,1.7403,1.0000,0.00234967,0.0134906,0.0232558,0.0232558
700,Hankel Q rollout,51,1.0084,1.2699,576,192,576,192,1.8412,1.6734,0.000922717,0.00319649,0.00418358,0.00871544
700,Hankel a0 rollout,189,1.5434,2.1316,576,192,576,192,1.2719,1.0143,0.00143911,0.00220818,0.00500783,0.00528283
700,Hankel a1 rollout,191,8.7854,2.1635,576,192,576,192,1.2790,1.0052,0.00132002,0.00222046,0.00512063,0.00523558
700,Hankel a2 rollout,190,15.4727,2.2816,576,192,576,192,1.2073,1.0089,0.00144446,0.00209608,0.00509464,0.00525445
700,Hankel a3 rollout,191,11.8402,2.6973,576,192,576,192,1.1799,1.0052,0.00153453,0.00204841,0.00503075,0.0052356
700,Hankel a4 rollout,190,5.9993,2.2347,576,192,576,192,1.1524,1.0105,0.00156008,0.00200073,0.00510224,0.00526277
700,Hankel a5 rollout,189,1.6537,2.3355,576,192,576,192,1.1953,1.0130,0.00141745,0.00207524,0.00503382,0.00527619
700,Hankel a6 rollout,191,24.8427,2.1072,576,192,576,192,1.2065,1.0052,0.00140437,0.00209469,0.00496833,0.0052356
700,Hankel a7 rollout,189,1.4143,2.2146,576,192,576,192,1.2074,1.0156,0.00122063,0.00209617,0.00502169,0.0052897
800,Hankel Q rollout,117,1.2062,1.6662,1503,500,1503,500,2.0666,2.1740,0.000152959,0.00137498,0.0010291,0.00434804
800,Hankel a0 rollout,490,1.5065,2.2494,1503,500,1503,500,1.3520,1.0126,0.000493551,0.000899511,0.00195375,0.00202518
800,Hankel a1 rollout,495,5.3115,2.1811,1503,500,1503,500,1.2484,1.0086,0.000244748,0.000830633,0.00196479,0.0020172
800,Hankel a2 rollout,496,9.6020,2.1928,1503,500,1503,500,1.3551,1.0080,0.000301598,0.000901564,0.00197061,0.00201599
800,Hankel a3 rollout,495,4.8733,2.3117,1503,500,1503,500,1.4260,1.0091,0.000289809,0.000948742,0.00196296,0.00201818
800,Hankel a4 rollout,494,3.0897,1.8731,1503,500,1503,500,1.1937,1.0109,0.000409818,0.000794212,0.0019645,0.00202184
800,Hankel a5 rollout,493,2.3658,2.0254,1503,500,1503,500,1.6296,1.0127,0.000385451,0.00108421,0.00192682,0.00202543
800,Hankel a6 rollout,494,6.3914,1.9217,1503,500,1503,500,1.3019,1.0111,0.000307005,0.000866232,0.00194323,0.00202225
800,Hankel a7 rollout,494,3.0442,2.1088,1503,500,1503,500,1.7430,1.0116,0.000326044,0.00115966,0.00195917,0.00202318
900,Hankel Q rollout,4,1.0197,1.1085,45,14,45,14,6.2596,2.4800,0.00727319,0.139102,0.0270809,0.17714
900,Hankel a0 rollout,14,1.4409,2.1744,45,14,45,14,1.6545,1.0000,0.0113163,0.0367665,0.0714286,0.0714286
900,Hankel a1 rollout,14,3.8562,1.8953,45,14,45,14,1.8180,1.0000,0.0131813,0.0404005,0.0714286,0.0714286
900,Hankel a2 rollout,14,6.5396,2.2172,45,14,45,14,1.5785,1.0000,0.0155594,0.0350786,0.0714286,0.0714286
