episode,reward,steps
0,-8.276417,25
1,-12.207148,26
2,-12.386464,139
3,-17.77881,146
4,-25.073012,26
5,-75.7425,113
6,-34.684585,40
7,-99.072627,163
8,-191.861829,640
9,-31.454738,105
10,7.418075,57
11,-105.38854,216
12,-14.084402,45
13,-37.965422,65
14,3.425404,81
15,-26.384673,30
16,-6.647935,35
17,-277.966825,1000
18,-314.636983,1000
19,4.54683,20
20,-1.610094,20
21,-264.432055,1000
22,-14.299065,47
23,-43.326025,70
24,-11.816408,27
25,-65.77163,142
26,-32.59726,105
27,-5.624256,30
28,-25.185831,104
29,-5.832805,57
30,-28.603994,33
31,-13.968021,26
32,-19.694577,88
33,-13.621897,38
34,-30.572476,34
35,-21.268653,26
36,-13.55572,56
37,-29.847486,101
38,5.809673,118
39,6.910256,93
40,-28.196683,178
41,-91.946852,98
42,-23.081956,32
43,-22.994167,90
44,-5.212048,173
45,-326.76292,1000
46,-17.770104,71
47,-6.568369,34
48,-62.160377,147
49,-18.500682,17
50,-25.96323,17
51,-13.162336,62
52,-8.36318,18
53,-2.345709,68
54,-31.246597,120
55,-15.223313,21
56,-9.548884,21
57,-19.727022,92
58,9.556939,18
59,-4.219703,35
60,-13.599031,16
61,-35.265703,55
62,-27.105177,70
63,-49.434193,86
64,-6.03265,42
65,-26.628623,37
66,2.976984,24
67,-39.557572,95
68,-12.358148,23
69,-6.916436,41
70,-15.778752,32
71,-31.146086,68
72,-0.128654,69
73,-14.471419,63
74,-63.64185,121
75,-46.421371,110
76,-28.913191,199
77,17.052412,57
78,102.392594,1000
79,585.784125,1000
80,671.189895,1000
81,374.743602,1000
82,17.678552,133
83,72.970341,1000
84,-13.626984,21
85,20.685629,26
86,-4.061854,1000
87,-0.682845,128
88,-25.113971,35
89,30.619401,1000
90,3.222207,110
91,-0.78104,34
92,-2.016199,204
93,-9.298738,152
94,-9.565218,82
95,178.199521,1000
96,-2.636833,51
97,-9.570864,31
98,-29.456446,27
99,20.841207,59
100,11.745225,36
101,15.4976,91
102,-1.170013,13
103,46.379373,121
104,26.703314,259
105,-29.138859,106
106,-10.389221,31
107,17.158607,119
108,-33.605454,53
109,23.732022,209
110,17.890815,1000
111,-2.211992,32
112,3.508561,143
113,16.409479,73
114,4.175615,50
115,9.911147,120
116,34.850196,173
117,0.319734,26
118,40.053393,1000
119,2.160915,15
120,96.746052,1000
121,15.499343,96
122,-0.718848,29
123,-14.251063,132
124,304.045801,1000
125,-11.33365,71
126,-4.847088,100
127,-33.57644,379
128,-0.832291,15
129,19.65209,42
130,2.186966,62
131,244.776195,1000
132,-1.994979,14
133,-0.580938,25
134,-3.788392,43
135,9.270655,24
136,393.634082,1000
137,15.706814,49
138,340.688697,1000
139,408.89484,1000
140,-63.052471,125
141,15.577637,28
142,2.86983,64
143,1.209548,24
144,427.081891,1000
145,-6.46685,12
146,345.450301,1000
147,-8.19341,19
148,0.831298,21
149,-42.855569,147
150,-17.766316,72
151,17.714802,63
152,32.59079,81
153,11.830093,116
154,3.187017,71
155,-1.702992,39
156,-16.73917,58
157,-23.607192,73
158,-39.134029,287
159,2.122838,88
160,-3.218487,15
161,10.128073,42
162,286.995421,1000
163,20.661508,50
164,7.776026,108
165,-4.039997,13
166,-17.41841,119
167,543.706949,1000
168,-10.774374,34
169,-10.345129,29
170,20.993616,34
171,-21.179019,22
172,79.981049,148
173,-0.961223,39
174,2.030879,131
175,59.172234,130
176,22.491876,116
177,-58.729852,312
178,19.251831,82
179,567.939224,1000
180,37.544647,83
181,9.952034,263
182,-7.431761,26
183,-19.073412,15
184,5.323669,169
185,-6.416652,43
186,27.116148,145
187,559.698419,1000
188,52.57698,123
189,54.439608,242
190,42.649753,135
191,-2.346935,15
192,40.291658,137
193,519.636391,1000
194,16.758363,54
195,-42.302922,134
196,556.843606,1000
197,34.429463,86
198,-3.27758,24
199,14.521522,47
200,532.518548,1000
201,2.430061,401
202,21.840425,27
203,433.220128,1000
204,-9.4575,91
205,-16.572987,48
206,37.315069,31
207,9.316954,58
208,30.778732,58
209,-24.8071,148
210,589.720323,1000
211,713.834991,1000
212,22.924213,43
213,57.574726,85
214,-8.548061,30
215,-9.751747,16
216,28.042026,130
217,-69.975951,96
218,38.336068,144
219,-107.169934,143
220,29.850423,80
221,33.289207,116
222,-1.457444,14
223,19.038685,164
224,-36.505575,214
225,-22.282423,56
226,15.554629,84
227,39.020494,48
228,10.576341,70
229,8.719801,46
230,18.308285,36
231,681.706875,1000
232,645.32104,1000
233,556.069545,1000
234,25.204899,80
235,1.366888,13
236,20.669266,44
237,31.458514,52
238,-0.796526,18
239,8.131319,22
240,557.027985,1000
241,23.662059,51
242,51.130594,46
243,650.931355,1000
244,10.312215,15
245,603.491893,1000
246,608.560552,1000
247,23.99557,68
248,3.978073,25
249,-38.242999,65
250,9.127928,53
251,585.437834,1000
252,9.669255,107
253,25.529473,66
254,2.330733,22
255,-14.293967,259
256,14.302378,34
257,32.635061,49
258,-143.791481,431
259,39.316157,97
260,682.503243,1000
261,27.87223,76
262,458.412827,1000
263,75.674993,77
264,65.261461,189
265,400.742398,1000
266,538.621511,1000
267,-6.5791,33
268,645.079247,1000
269,3.546725,28
270,-0.744269,13
271,-20.548031,38
272,-8.026595,26
273,716.756154,1000
274,542.165673,1000
275,20.316189,61
276,29.975819,293
277,4.137857,30
278,667.000087,1000
279,-10.338186,51
280,560.857583,1000
281,564.532472,1000
282,46.091421,68
283,-6.367535,13
284,451.560952,1000
285,42.711724,61
286,-1.010429,56
287,604.549877,1000
288,659.460324,1000
289,602.300295,1000
290,-4.124272,18
291,659.437465,1000
292,21.896077,138
293,-7.865599,574
294,4.326593,45
295,645.063813,1000
296,-6.221902,64
297,576.085765,1000
298,-6.99616,25
299,-13.228217,95
300,-4.663955,46
301,86.009216,197
302,616.237924,1000
303,636.13942,1000
304,12.303722,20
305,21.461013,69
306,42.668353,89
307,-3.181412,62
