episode,reward,steps
0,-68.76235,152
1,-2.41499,67
2,3.454801,16
3,-41.536885,111
4,1.210333,16
5,-25.943137,24
6,-45.234961,89
7,-13.215166,30
8,-84.875953,194
9,-142.332278,264
10,-63.95311,141
11,-29.670793,26
12,-64.418065,69
13,-8.632722,32
14,-85.928174,230
15,-3.43052,61
16,-65.094308,143
17,4.16514,45
18,-315.212311,1000
19,-46.293326,92
20,-84.24064,243
21,-264.183996,1000
22,-10.222271,31
23,-7.92427,56
24,-5.138538,32
25,-15.155509,61
26,-14.614108,95
27,-24.323854,25
28,-155.823229,338
29,-10.16661,22
30,10.405738,13
31,-20.410444,61
32,-21.812824,65
33,-16.625171,97
34,-29.133353,66
35,-10.108541,17
36,-366.831851,1000
37,-121.576062,137
38,-59.35957,163
39,-11.092237,14
40,-13.589855,20
41,-3.435335,43
42,-117.449322,111
43,-30.534689,78
44,-319.571986,1000
45,-36.805173,176
46,-57.130082,122
47,-9.338647,33
48,-0.996998,19
49,-343.882351,1000
50,-51.96082,130
51,-38.587453,113
52,-2.075836,15
53,-7.021112,76
54,-29.247798,20
55,-9.111407,13
56,-247.629839,1000
57,767.692642,1000
58,646.111486,838
59,734.861282,1000
60,56.106352,40
61,147.621798,201
62,106.591818,141
63,588.689044,1000
64,3.395262,81
65,111.323506,122
66,10.651612,31
67,160.856921,1000
68,-11.274981,16
69,58.512207,1000
70,49.938958,1000
71,-36.107824,272
72,-153.191098,362
73,44.788329,1000
74,56.052787,108
75,-234.95788,1000
76,-129.114931,1000
77,-115.56043,179
78,-29.370095,41
79,301.549727,1000
80,85.667405,322
81,54.981002,77
82,24.674981,66
83,5.044687,49
84,13.605057,24
85,-56.4146,111
86,16.832679,37
87,-20.773906,84
88,42.220523,203
89,592.519632,1000
90,93.031293,219
91,2.896906,87
92,1.602091,73
93,99.995194,303
94,31.271738,34
95,17.292471,24
96,1.103444,13
97,420.284939,1000
98,22.716177,20
99,14.611543,31
100,71.016111,150
101,383.009971,1000
102,340.529662,1000
103,537.196671,1000
104,455.969343,1000
105,117.777008,159
106,408.894841,1000
107,539.837966,1000
108,67.777254,89
109,577.242287,1000
110,489.291352,872
111,391.035091,1000
112,461.809663,1000
113,531.45589,1000
114,436.276056,1000
115,523.852373,1000
116,621.501824,1000
117,604.350786,1000
118,595.281511,1000
119,453.906134,1000
120,514.199945,1000
121,72.512287,193
122,572.104319,1000
123,533.244246,1000
124,497.932119,1000
125,601.23769,1000
126,482.185775,1000
127,308.047556,1000
128,605.717545,1000
129,377.842304,1000
130,603.344381,1000
131,578.040794,1000
132,585.820968,1000
133,641.596629,1000
134,459.793839,1000
135,573.309016,1000
136,11.563165,15
137,553.589828,1000
138,612.616758,1000
139,570.686521,1000
140,621.242158,1000
141,617.727702,1000
142,570.408158,1000
143,625.835404,1000
144,572.711314,1000
145,9.698898,23
146,655.456187,1000
147,625.454847,1000
148,388.322734,1000
149,37.264311,37
150,106.062956,98
151,394.125624,1000
152,64.217523,52
153,298.64623,1000
154,32.689831,34
155,456.957287,1000
156,514.305265,1000
157,571.422115,1000
158,591.376326,1000
159,-1.388989,17
160,59.223201,69
161,42.416157,53
162,310.042063,889
163,45.525163,47
164,700.518477,1000
165,602.346694,1000
166,332.165232,1000
167,644.799893,1000
168,604.868696,1000
169,293.741697,1000
170,581.043147,1000
171,536.967715,1000
172,654.241796,1000
173,591.379453,1000
174,600.126712,1000
175,625.279834,1000
176,658.392944,1000
177,510.29986,1000
178,552.856319,1000
179,610.682882,1000
180,519.202645,1000
181,618.03256,1000
182,622.790343,1000
183,591.140575,1000
184,581.434704,1000
185,697.232506,1000
186,576.32357,1000
187,554.638066,1000
188,661.423607,1000
189,545.888787,1000
190,42.72612,75
191,39.45352,29
192,599.008981,1000
193,574.821847,1000
194,568.883998,1000
195,643.660214,1000
196,690.187414,1000
197,203.767717,1000
198,694.144938,1000
199,685.805442,1000
200,734.543954,1000
201,698.072368,1000
202,676.806823,1000
203,473.750281,1000
204,161.671256,1000
205,111.210468,1000
206,645.652148,1000
207,270.385353,1000
208,628.543371,1000
209,63.474375,59
210,649.313772,1000
211,268.441326,1000
212,386.701542,1000
213,275.154211,1000
214,695.06485,1000
215,62.374756,73
216,522.739114,1000
217,642.273788,1000
218,421.634956,1000
219,664.554446,1000
220,446.353251,1000
221,665.948894,1000
222,699.766189,1000
223,355.524788,1000
224,781.660698,1000
225,699.630852,1000
226,351.738359,1000
227,640.380066,1000
228,586.325571,1000
229,525.431701,1000
230,686.656439,1000
231,98.401029,93
232,511.246748,1000
233,608.886669,1000
234,576.606645,1000
235,603.48513,1000
236,553.733577,1000
237,721.115569,1000
238,642.428873,1000
239,453.99243,1000
240,442.468509,1000
241,623.882698,1000
242,482.289782,1000
243,373.451511,1000
244,666.511948,1000
245,650.678224,1000
246,551.084798,1000
247,148.283643,170
248,680.193218,1000
249,722.366404,1000
250,763.688452,1000
251,696.845098,1000
252,718.18732,1000
253,665.519362,1000
254,593.238811,1000
255,533.605966,1000
256,474.1156,1000
257,355.907076,1000
