episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,462,1.1892,2.3951,1503,500,1503,500,1.3183,1.0548,0.000509084,0.000877144,0.00184492,0.00210969
0,Hankel a0 rollout,488,1.9197,5.0830,1503,500,1503,500,1.3054,1.0144,0.000439541,0.000868525,0.0019418,0.00202889
0,Hankel a1 rollout,450,1.0830,2.3274,1503,500,1503,500,1.7657,1.0900,0.000198764,0.00117478,0.0017982,0.00218003
0,Hankel a2 rollout,396,1.0360,4.8498,1503,500,1503,500,2.2810,1.2019,0.000172054,0.0015176,0.00174266,0.00240385
0,Hankel a3 rollout,325,1.0107,3.5776,1503,500,1503,500,2.2587,1.4532,0.000411703,0.00150282,0.00164481,0.00290643
0,Hankel a4 rollout,90,1.0031,1.9109,1503,500,1503,500,8.2420,5.1592,4.31614e-05,0.00548371,0.000483897,0.0103184
0,Hankel a5 rollout,441,1.1599,5.8038,1503,500,1503,500,2.3007,1.1256,7.53868e-05,0.00153071,0.00176825,0.00225119
0,Hankel a6 rollout,375,1.0199,2.0288,1503,500,1503,500,1.7451,1.1865,0.000291769,0.0011611,0.00175769,0.00237301
0,Hankel a7 rollout,485,2.1719,7.1534,1503,500,1503,500,1.7246,1.0301,0.000346494,0.00114742,0.00189899,0.00206025
100,Hankel Q rollout,1,1.0005,1.0754,1503,500,1503,500,1.0583,1.0268,0.000631534,0.00070415,0.00192582,0.00205361
100,Hankel a0 rollout,484,1.1743,1.9550,1503,500,1503,500,1.0898,1.0175,0.000590904,0.000725056,0.00195126,0.00203497
100,Hankel a1 rollout,496,15.9571,3.3268,1503,500,1503,500,1.2023,1.0075,0.000587614,0.000799965,0.00195874,0.00201491
100,Hankel a2 rollout,484,1.1939,2.4932,1503,500,1503,500,1.1303,1.0191,0.000590253,0.000752061,0.00196395,0.00203816
100,Hankel a3 rollout,497,7.6224,3.1885,1503,500,1503,500,1.1894,1.0056,0.000582945,0.000791363,0.00198475,0.00201111
100,Hankel a4 rollout,493,1.6060,2.8246,1503,500,1503,500,1.1485,1.0095,0.000516449,0.000764119,0.00198085,0.00201893
100,Hankel a5 rollout,494,1.7780,2.9207,1503,500,1503,500,1.1457,1.0081,0.000562366,0.000762272,0.00197904,0.00201625
100,Hankel a6 rollout,494,1.8193,3.1255,1503,500,1503,500,1.1692,1.0112,0.000545792,0.000777922,0.00195443,0.00202246
100,Hankel a7 rollout,495,16.1040,3.8991,1503,500,1503,500,1.1394,1.0086,0.000600814,0.000758116,0.00197756,0.00201728
200,Hankel Q rollout,3,1.0016,1.0519,1503,500,1503,500,4.8854,2.4731,0.00022376,0.00325041,0.000885809,0.00494616
200,Hankel a0 rollout,490,1.5053,3.0987,1503,500,1503,500,1.1588,1.0153,0.000562179,0.000771021,0.00195772,0.00203063
200,Hankel a1 rollout,496,12.6802,3.1932,1503,500,1503,500,1.1481,1.0075,0.000578059,0.000763855,0.00197571,0.00201493
200,Hankel a2 rollout,492,1.6815,2.8955,1503,500,1503,500,1.1277,1.0106,0.000553042,0.000750308,0.00196249,0.00202116
200,Hankel a3 rollout,496,9.9447,2.2243,1503,500,1503,500,1.0821,1.0071,0.000593048,0.000719939,0.00196819,0.00201411
200,Hankel a4 rollout,496,2.7240,3.1119,1503,500,1503,500,1.2094,1.0076,0.000499708,0.000804628,0.00196184,0.00201522
200,Hankel a5 rollout,493,1.5873,2.8718,1503,500,1503,500,1.1680,1.0120,0.000601171,0.000777091,0.00195723,0.00202394
200,Hankel a6 rollout,495,2.2131,2.2767,1503,500,1503,500,1.1535,1.0077,0.000544255,0.000767462,0.00196124,0.00201532
200,Hankel a7 rollout,487,1.3494,2.1979,1503,500,1503,500,1.1324,1.0148,0.000534197,0.000753414,0.00195703,0.00202969
300,Hankel Q rollout,4,1.0017,1.0602,936,312,936,312,6.4576,3.8431,0.000270875,0.00689912,0.00189071,0.0123177
300,Hankel a0 rollout,311,14.5690,2.4818,936,312,936,312,1.1408,1.0032,0.000913666,0.00121881,0.00316309,0.00321543
300,Hankel a1 rollout,310,3.5139,1.9226,936,312,936,312,1.1437,1.0064,0.00090785,0.00122194,0.00314151,0.00322576
300,Hankel a2 rollout,310,18.7102,2.8437,936,312,936,312,1.2608,1.0058,0.00089285,0.00134704,0.00317248,0.00322356
300,Hankel a3 rollout,309,17.6906,2.2343,936,312,936,312,1.1180,1.0088,0.000957813,0.00119445,0.00315162,0.00323339
300,Hankel a4 rollout,310,20.7591,2.2446,936,312,936,312,1.1332,1.0051,0.000968572,0.00121072,0.00317301,0.00322156
300,Hankel a5 rollout,310,3.7808,2.4137,936,312,936,312,1.2175,1.0065,0.000835,0.00130073,0.00312762,0.0032258
300,Hankel a6 rollout,310,35.6951,2.3164,936,312,936,312,1.1010,1.0064,0.000967649,0.00117627,0.00312939,0.0032257
300,Hankel a7 rollout,304,1.3066,1.8110,936,312,936,312,1.1671,1.0203,0.000852037,0.00124695,0.00311375,0.00327015
400,Hankel Q rollout,2,1.0011,1.0563,705,235,705,235,2.9455,2.8032,0.00068301,0.00417805,0.00210843,0.0119287
400,Hankel a0 rollout,233,40.7394,2.6556,705,235,705,235,1.1941,1.0082,0.00114587,0.00169369,0.00420022,0.00429022
400,Hankel a1 rollout,233,9.6828,2.0800,705,235,705,235,1.3317,1.0086,0.00101992,0.0018889,0.00418882,0.00429179
400,Hankel a2 rollout,233,4.2575,2.5272,705,235,705,235,1.2722,1.0084,0.00108912,0.00180453,0.00420725,0.00429122
400,Hankel a3 rollout,233,13.5841,2.0523,705,235,705,235,1.1408,1.0084,0.00117686,0.00161819,0.00419319,0.00429089
400,Hankel a4 rollout,234,20.8815,1.9302,705,235,705,235,1.1787,1.0043,0.00112017,0.0016719,0.00414682,0.0042735
400,Hankel a5 rollout,230,1.4177,1.8750,705,235,705,235,1.4308,1.0169,0.000968938,0.00202954,0.00415714,0.00432718
400,Hankel a6 rollout,234,31.0390,2.1702,705,235,705,235,1.2250,1.0043,0.00109044,0.00173758,0.00414152,0.0042735
400,Hankel a7 rollout,225,1.2428,1.6239,705,235,705,235,1.3344,1.0269,0.00108916,0.00189274,0.00412614,0.00436964
500,Hankel Q rollout,7,1.0070,1.0899,198,65,198,65,9.9890,3.7540,0.00104812,0.0504493,0.00516893,0.0577534
500,Hankel a0 rollout,65,8.4908,2.1464,198,65,198,65,1.3767,1.0000,0.00414782,0.00695286,0.0153846,0.0153846
500,Hankel a1 rollout,65,4.6316,1.9220,198,65,198,65,1.4126,1.0000,0.00340468,0.00713427,0.0153846,0.0153846
500,Hankel a2 rollout,65,1.6514,1.8216,198,65,198,65,1.3617,1.0000,0.00340515,0.00687734,0.0153846,0.0153846
500,Hankel a3 rollout,65,17.3908,1.7863,198,65,198,65,1.2822,1.0000,0.00435678,0.00647578,0.0153846,0.0153846
500,Hankel a4 rollout,65,11.9893,1.7392,198,65,198,65,1.2419,1.0000,0.00353587,0.00627203,0.0153846,0.0153846
500,Hankel a5 rollout,65,1.8991,1.9916,198,65,198,65,1.4703,1.0000,0.00285967,0.00742588,0.0153846,0.0153846
500,Hankel a6 rollout,65,10.0699,1.7369,198,65,198,65,1.2325,1.0000,0.00353598,0.00622453,0.0153846,0.0153846
500,Hankel a7 rollout,59,1.0589,1.2195,198,65,198,65,1.9604,1.0932,0.00177561,0.00990122,0.00924396,0.0168181
600,Hankel Q rollout,6,1.0036,1.0757,150,50,150,50,7.3979,3.1638,0.00165904,0.0493196,0.010414,0.0632766
600,Hankel a0 rollout,50,9.3867,2.0417,150,50,150,50,1.3211,1.0000,0.0054151,0.00880764,0.02,0.02
600,Hankel a1 rollout,50,10.0765,1.9596,150,50,150,50,1.4270,1.0000,0.00396537,0.00951349,0.02,0.02
600,Hankel a2 rollout,50,2.8174,1.8868,150,50,150,50,1.4121,1.0000,0.00430533,0.00941413,0.02,0.02
600,Hankel a3 rollout,50,15.8097,1.7024,150,50,150,50,1.2226,1.0000,0.00494809,0.00815065,0.02,0.02
600,Hankel a4 rollout,50,16.2027,1.4516,150,50,150,50,1.2223,1.0000,0.00523499,0.00814846,0.02,0.02
600,Hankel a5 rollout,50,3.5805,2.5484,150,50,150,50,1.4160,1.0000,0.00479043,0.00944028,0.02,0.02
600,Hankel a6 rollout,50,19.4086,2.0288,150,50,150,50,1.4621,1.0000,0.00442087,0.00974727,0.02,0.02
600,Hankel a7 rollout,49,1.2722,1.5492,150,50,150,50,1.4322,1.0204,0.00413831,0.00954776,0.0185139,0.0204079
700,Hankel Q rollout,6,1.0031,1.0595,213,70,213,70,6.3816,2.4629,0.000867493,0.0299607,0.00380218,0.035184
700,Hankel a0 rollout,70,14.2283,1.8164,213,70,213,70,1.2583,1.0000,0.00369396,0.00590761,0.0142857,0.0142857
700,Hankel a1 rollout,70,12.4915,1.9267,213,70,213,70,1.1753,1.0000,0.00401616,0.00551761,0.0142857,0.0142857
700,Hankel a2 rollout,69,1.8764,1.8429,213,70,213,70,1.3984,1.0145,0.00324887,0.00656505,0.0134583,0.0144927
700,Hankel a3 rollout,70,9.0940,1.6418,213,70,213,70,1.1693,1.0000,0.00342888,0.00548977,0.0142857,0.0142857
700,Hankel a4 rollout,70,11.2409,1.3993,213,70,213,70,1.2110,1.0000,0.00378318,0.00568564,0.0142857,0.0142857
700,Hankel a5 rollout,70,2.3325,2.1309,213,70,213,70,1.3559,1.0000,0.00319029,0.00636593,0.0142857,0.0142857
700,Hankel a6 rollout,70,17.9218,1.9326,213,70,213,70,1.2618,1.0000,0.00350539,0.0059239,0.0142857,0.0142857
700,Hankel a7 rollout,67,1.1358,1.4441,213,70,213,70,1.3922,1.0413,0.00277409,0.00653632,0.0122582,0.0148763
800,Hankel Q rollout,4,1.0020,1.0990,243,80,243,80,19.2738,6.8004,0.00172038,0.0793161,0.00445382,0.0850044
800,Hankel a0 rollout,80,8.5920,1.8614,243,80,243,80,1.3103,1.0000,0.00278997,0.00539236,0.0125,0.0125
800,Hankel a1 rollout,80,3.5384,1.6203,243,80,243,80,1.3127,1.0000,0.00311577,0.00540216,0.0125,0.0125
800,Hankel a2 rollout,80,2.2519,1.8491,243,80,243,80,1.4062,1.0000,0.00312209,0.00578684,0.0125,0.0125
800,Hankel a3 rollout,80,7.3815,1.6809,243,80,243,80,1.1770,1.0000,0.00324058,0.00484363,0.0125,0.0125
800,Hankel a4 rollout,80,18.7007,1.4401,243,80,243,80,1.1834,1.0000,0.00332486,0.00487013,0.0125,0.0125
800,Hankel a5 rollout,80,4.5029,2.2309,243,80,243,80,1.1665,1.0000,0.00311337,0.00480058,0.0125,0.0125
800,Hankel a6 rollout,80,5.3065,1.8143,243,80,243,80,1.4091,1.0000,0.00297253,0.00579866,0.0125,0.0125
800,Hankel a7 rollout,76,1.1198,1.4477,243,80,243,80,1.3580,1.0425,0.00310895,0.00558831,0.0118519,0.0130311
900,Hankel Q rollout,180,1.5202,2.4628,1503,500,1503,500,4.4754,2.3004,8.13582e-06,0.00297765,0.000340165,0.00460075
900,Hankel a0 rollout,494,4.8165,2.0174,1503,500,1503,500,1.7746,1.0117,0.000155917,0.0011807,0.00191192,0.00202346
900,Hankel a1 rollout,493,4.9273,2.1780,1503,500,1503,500,1.5428,1.0136,0.000158414,0.00102648,0.0019125,0.00202729
900,Hankel a2 rollout,492,2.9125,2.1184,1503,500,1503,500,1.5499,1.0145,0.000108771,0.0010312,0.00193802,0.00202906
900,Hankel a3 rollout,495,11.2803,2.0602,1503,500,1503,500,1.5636,1.0095,0.000155896,0.00104031,0.00196237,0.00201898
