episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,5,1.0048,15.1639,1503,500,1503,500,118.1660,97.7366,0.000133265,0.0786201,0.000400281,0.195473
0,Hankel a0 rollout,1,1.0003,4.7685,1503,500,1503,500,1.0285,1.0225,0.000661776,0.000684292,0.00199608,0.00204507
0,Hankel a1 rollout,4,1.0028,11.1715,1503,500,1503,500,140.1978,91.9821,0.000166411,0.0932786,0.000501305,0.183964
0,Hankel a2 rollout,2,1.0012,8.5027,1503,500,1503,500,103.0445,100.1256,0.000331286,0.0685592,0.00100023,0.200251
0,Hankel a3 rollout,8,1.0444,41.4533,1503,500,1503,500,150.5236,62.1202,8.33997e-05,0.100149,0.000251295,0.12424
0,Hankel a4 rollout,1,1.0002,3.9907,1503,500,1503,500,1.0360,1.0303,0.000662865,0.000689286,0.00199536,0.00206064
0,Hankel a5 rollout,1,1.0003,4.4588,1503,500,1503,500,1.0116,1.0052,0.00065833,0.000673053,0.00199247,0.00201033
100,Hankel Q rollout,2,1.0012,1.1001,1503,500,1503,500,13.9723,8.9245,0.000323625,0.0092963,0.000992919,0.0178489
100,Hankel a0 rollout,476,3.6528,1.0967,1503,500,1503,500,1.1510,1.0388,0.000543961,0.000765816,0.00194092,0.00207757
100,Hankel a1 rollout,489,4.4636,1.2283,1503,500,1503,500,1.0734,1.0135,0.000609589,0.00071416,0.00196678,0.00202696
100,Hankel a2 rollout,477,4.1303,1.1833,1503,500,1503,500,1.3802,1.0331,0.000430555,0.000918274,0.0019293,0.00206614
100,Hankel a3 rollout,482,3.6515,1.3523,1503,500,1503,500,1.1676,1.0201,0.000575234,0.000776857,0.00196531,0.00204025
100,Hankel a4 rollout,481,3.5567,1.1472,1503,500,1503,500,1.1970,1.0300,0.000569703,0.000796418,0.0019587,0.00205996
100,Hankel a5 rollout,489,5.8256,1.2936,1503,500,1503,500,1.1575,1.0185,0.000605347,0.000770116,0.00195708,0.00203708
200,Hankel Q rollout,1,1.0006,1.0475,1503,500,1503,500,1.0357,1.0110,0.000621415,0.000689089,0.00189774,0.00202204
200,Hankel a0 rollout,477,12.5922,1.0971,1503,500,1503,500,1.1862,1.0338,0.000582504,0.000789229,0.00193396,0.00206755
200,Hankel a1 rollout,489,8.5327,1.3117,1503,500,1503,500,1.0932,1.0145,0.00059193,0.000727353,0.001958,0.00202902
200,Hankel a2 rollout,482,5.7457,1.2505,1503,500,1503,500,1.2078,1.0268,0.000576871,0.000803616,0.00190299,0.00205364
200,Hankel a3 rollout,485,2.9113,1.3348,1503,500,1503,500,1.1928,1.0236,0.000551899,0.000793597,0.00195519,0.00204711
200,Hankel a4 rollout,475,14.8441,1.1009,1503,500,1503,500,1.1138,1.0457,0.000606225,0.000741024,0.00195714,0.00209139
200,Hankel a5 rollout,491,8.7225,1.3650,1503,500,1503,500,1.1387,1.0137,0.000584046,0.000757589,0.00193929,0.00202741
300,Hankel Q rollout,2,1.0011,1.0627,1503,500,1503,500,10.8377,10.3349,0.0003263,0.00721071,0.00100392,0.0206699
300,Hankel a0 rollout,479,10.2462,1.1000,1503,500,1503,500,1.1859,1.0341,0.000530643,0.000789052,0.00195728,0.00206826
300,Hankel a1 rollout,489,9.8019,1.2955,1503,500,1503,500,1.1040,1.0182,0.000591766,0.000734514,0.00197711,0.00203635
300,Hankel a2 rollout,488,4.2935,1.2842,1503,500,1503,500,1.1439,1.0175,0.000555623,0.000761058,0.00196952,0.00203492
